id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2998362,dongsi_aq,2018-05-14 00:00:00,141.0,,61.0,1.7,44.0,16.0
2998363,tiantan_aq,2018-05-14 00:00:00,136.0,154.0,70.0,1.4,26.0,3.0
2998364,guanyuan_aq,2018-05-14 00:00:00,157.0,182.0,73.0,1.3,34.0,8.0
2998365,wanshouxigong_aq,2018-05-14 00:00:00,115.0,159.0,64.0,1.4,35.0,5.0
2998366,aotizhongxin_aq,2018-05-14 00:00:00,149.0,,65.0,1.6,40.0,8.0
2998367,nongzhanguan_aq,2018-05-14 00:00:00,138.0,145.0,57.0,1.8,41.0,15.0
2998368,wanliu_aq,2018-05-14 00:00:00,123.0,132.0,81.0,1.2,30.0,7.0
2998369,beibuxinqu_aq,2018-05-14 00:00:00,110.0,157.0,62.0,1.3,20.0,2.0
2998370,zhiwuyuan_aq,2018-05-14 00:00:00,,,,,,
2998371,fengtaihuayuan_aq,2018-05-14 00:00:00,131.0,143.0,81.0,1.3,24.0,6.0
2998372,yungang_aq,2018-05-14 00:00:00,140.0,,43.0,1.0,53.0,4.0
2998373,gucheng_aq,2018-05-14 00:00:00,127.0,,48.0,1.2,63.0,3.0
2998374,fangshan_aq,2018-05-14 00:00:00,104.0,153.0,67.0,1.2,37.0,3.0
2998375,daxing_aq,2018-05-14 00:00:00,138.0,184.0,57.0,1.7,42.0,6.0
2998376,yizhuang_aq,2018-05-14 00:00:00,,,49.0,1.8,55.0,12.0
2998377,tongzhou_aq,2018-05-14 00:00:00,148.0,186.0,44.0,1.8,57.0,21.0
2998378,shunyi_aq,2018-05-14 00:00:00,134.0,153.0,43.0,2.1,73.0,21.0
2998379,pingchang_aq,2018-05-14 00:00:00,122.0,126.0,74.0,1.0,17.0,4.0
2998380,mentougou_aq,2018-05-14 00:00:00,108.0,110.0,30.0,0.9,85.0,2.0
2998381,pinggu_aq,2018-05-14 00:00:00,106.0,128.0,34.0,1.6,105.0,15.0
2998382,huairou_aq,2018-05-14 00:00:00,87.0,111.0,19.0,1.1,66.0,2.0
2998383,miyun_aq,2018-05-14 00:00:00,110.0,119.0,81.0,1.1,46.0,4.0
2998384,yanqin_aq,2018-05-14 00:00:00,139.0,166.0,47.0,1.0,70.0,2.0
2998385,dingling_aq,2018-05-14 00:00:00,105.0,,38.0,0.9,46.0,2.0
2998386,badaling_aq,2018-05-14 00:00:00,159.0,195.0,78.0,1.1,21.0,2.0
2998387,miyunshuiku_aq,2018-05-14 00:00:00,88.0,,16.0,0.9,107.0,5.0
2998388,donggaocun_aq,2018-05-14 00:00:00,131.0,,27.0,1.7,99.0,20.0
2998389,yongledian_aq,2018-05-14 00:00:00,158.0,,48.0,1.4,42.0,7.0
2998390,yufa_aq,2018-05-14 00:00:00,174.0,,58.0,1.3,29.0,5.0
2998391,liulihe_aq,2018-05-14 00:00:00,129.0,222.0,65.0,1.0,24.0,3.0
2998392,qianmen_aq,2018-05-14 00:00:00,139.0,160.0,69.0,1.5,45.0,8.0
2998393,yongdingmennei_aq,2018-05-14 00:00:00,142.0,154.0,81.0,1.4,25.0,6.0
2998394,xizhimenbei_aq,2018-05-14 00:00:00,155.0,,87.0,1.4,26.0,6.0
2998395,nansanhuan_aq,2018-05-14 00:00:00,139.0,188.0,96.0,1.5,19.0,9.0
2998396,dongsihuan_aq,2018-05-14 00:00:00,180.0,,96.0,1.9,21.0,22.0
2998418,dongsi_aq,2018-05-14 01:00:00,152.0,,60.0,1.7,62.0,19.0
2998419,tiantan_aq,2018-05-14 01:00:00,154.0,172.0,64.0,1.7,46.0,6.0
2998420,guanyuan_aq,2018-05-14 01:00:00,181.0,212.0,65.0,1.7,58.0,13.0
2998421,wanshouxigong_aq,2018-05-14 01:00:00,144.0,238.0,54.0,1.8,68.0,11.0
2998422,aotizhongxin_aq,2018-05-14 01:00:00,136.0,,60.0,1.2,52.0,9.0
2998423,nongzhanguan_aq,2018-05-14 01:00:00,149.0,160.0,52.0,1.9,61.0,21.0
2998424,wanliu_aq,2018-05-14 01:00:00,128.0,163.0,73.0,1.3,48.0,9.0
2998425,beibuxinqu_aq,2018-05-14 01:00:00,113.0,147.0,48.0,1.3,49.0,2.0
2998426,zhiwuyuan_aq,2018-05-14 01:00:00,,,,,,
2998427,fengtaihuayuan_aq,2018-05-14 01:00:00,158.0,167.0,70.0,1.4,48.0,9.0
2998428,yungang_aq,2018-05-14 01:00:00,146.0,,42.0,1.1,71.0,8.0
2998429,gucheng_aq,2018-05-14 01:00:00,134.0,,41.0,1.2,80.0,4.0
2998430,fangshan_aq,2018-05-14 01:00:00,109.0,170.0,53.0,1.2,71.0,7.0
2998431,daxing_aq,2018-05-14 01:00:00,144.0,200.0,61.0,1.8,56.0,12.0
2998432,yizhuang_aq,2018-05-14 01:00:00,,,54.0,1.9,68.0,17.0
2998433,tongzhou_aq,2018-05-14 01:00:00,154.0,210.0,46.0,1.8,68.0,25.0
2998434,shunyi_aq,2018-05-14 01:00:00,142.0,168.0,38.0,2.2,93.0,24.0
2998435,pingchang_aq,2018-05-14 01:00:00,127.0,140.0,62.0,1.1,46.0,5.0
2998436,mentougou_aq,2018-05-14 01:00:00,118.0,128.0,32.0,1.0,97.0,4.0
2998437,pinggu_aq,2018-05-14 01:00:00,117.0,128.0,28.0,1.7,127.0,20.0
2998438,huairou_aq,2018-05-14 01:00:00,93.0,106.0,24.0,1.5,88.0,2.0
2998439,miyun_aq,2018-05-14 01:00:00,116.0,131.0,34.0,1.2,107.0,7.0
2998440,yanqin_aq,2018-05-14 01:00:00,144.0,160.0,29.0,0.9,109.0,3.0
2998441,dingling_aq,2018-05-14 01:00:00,115.0,,40.0,1.0,82.0,3.0
2998442,badaling_aq,2018-05-14 01:00:00,167.0,221.0,37.0,1.0,80.0,2.0
2998443,miyunshuiku_aq,2018-05-14 01:00:00,97.0,104.0,23.0,1.0,113.0,6.0
2998444,donggaocun_aq,2018-05-14 01:00:00,142.0,,29.0,1.6,106.0,19.0
2998445,yongledian_aq,2018-05-14 01:00:00,162.0,,50.0,1.5,64.0,10.0
2998446,yufa_aq,2018-05-14 01:00:00,188.0,224.0,53.0,1.3,54.0,8.0
2998447,liulihe_aq,2018-05-14 01:00:00,150.0,206.0,46.0,1.0,51.0,5.0
2998448,qianmen_aq,2018-05-14 01:00:00,152.0,178.0,75.0,1.8,53.0,13.0
2998449,yongdingmennei_aq,2018-05-14 01:00:00,158.0,165.0,79.0,1.6,42.0,11.0
2998450,xizhimenbei_aq,2018-05-14 01:00:00,168.0,,80.0,1.4,44.0,9.0
2998451,nansanhuan_aq,2018-05-14 01:00:00,145.0,180.0,79.0,1.5,48.0,11.0
2998452,dongsihuan_aq,2018-05-14 01:00:00,182.0,,84.0,1.9,45.0,27.0
2998474,dongsi_aq,2018-05-14 02:00:00,162.0,,61.0,1.8,87.0,17.0
2998475,tiantan_aq,2018-05-14 02:00:00,153.0,176.0,60.0,1.8,69.0,9.0
2998476,guanyuan_aq,2018-05-14 02:00:00,184.0,186.0,59.0,1.6,92.0,13.0
2998477,wanshouxigong_aq,2018-05-14 02:00:00,159.0,256.0,63.0,1.9,83.0,14.0
