id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
3016912,dongsi_aq,2018-05-28 00:00:00,161.0,679.0,25.0,0.3,54.0,2.0
3016913,tiantan_aq,2018-05-28 00:00:00,128.0,514.0,43.0,0.4,39.0,2.0
3016914,guanyuan_aq,2018-05-28 00:00:00,151.0,560.0,29.0,0.3,55.0,2.0
3016915,wanshouxigong_aq,2018-05-28 00:00:00,114.0,399.0,34.0,0.5,43.0,2.0
3016916,aotizhongxin_aq,2018-05-28 00:00:00,163.0,616.0,32.0,0.2,51.0,2.0
3016917,nongzhanguan_aq,2018-05-28 00:00:00,129.0,529.0,37.0,0.2,37.0,2.0
3016918,wanliu_aq,2018-05-28 00:00:00,128.0,484.0,27.0,0.3,58.0,2.0
3016919,beibuxinqu_aq,2018-05-28 00:00:00,145.0,722.0,17.0,0.4,57.0,2.0
3016920,zhiwuyuan_aq,2018-05-28 00:00:00,,,,,,
3016921,fengtaihuayuan_aq,2018-05-28 00:00:00,130.0,586.0,36.0,0.3,54.0,2.0
3016922,yungang_aq,2018-05-28 00:00:00,127.0,381.0,8.0,0.2,61.0,2.0
3016923,gucheng_aq,2018-05-28 00:00:00,135.0,428.0,29.0,0.3,66.0,
3016924,fangshan_aq,2018-05-28 00:00:00,102.0,476.0,31.0,0.3,66.0,2.0
3016925,daxing_aq,2018-05-28 00:00:00,121.0,803.0,38.0,0.3,48.0,2.0
3016926,yizhuang_aq,2018-05-28 00:00:00,262.0,618.0,42.0,0.5,36.0,2.0
3016927,tongzhou_aq,2018-05-28 00:00:00,177.0,880.0,41.0,0.3,33.0,2.0
3016928,shunyi_aq,2018-05-28 00:00:00,191.0,711.0,39.0,0.3,37.0,2.0
3016929,pingchang_aq,2018-05-28 00:00:00,133.0,677.0,20.0,0.3,59.0,2.0
3016930,mentougou_aq,2018-05-28 00:00:00,,,,,,
3016931,pinggu_aq,2018-05-28 00:00:00,65.0,328.0,49.0,0.5,32.0,2.0
3016932,huairou_aq,2018-05-28 00:00:00,149.0,661.0,10.0,0.3,57.0,2.0
3016933,miyun_aq,2018-05-28 00:00:00,246.0,464.0,18.0,0.2,71.0,2.0
3016934,yanqin_aq,2018-05-28 00:00:00,,474.0,18.0,0.3,71.0,3.0
3016935,dingling_aq,2018-05-28 00:00:00,111.0,555.0,9.0,0.2,67.0,2.0
3016936,badaling_aq,2018-05-28 00:00:00,164.0,645.0,31.0,0.3,47.0,4.0
3016937,miyunshuiku_aq,2018-05-28 00:00:00,119.0,534.0,7.0,0.2,80.0,2.0
3016938,donggaocun_aq,2018-05-28 00:00:00,106.0,401.0,12.0,0.1,44.0,2.0
3016939,yongledian_aq,2018-05-28 00:00:00,131.0,521.0,46.0,0.4,30.0,2.0
3016940,yufa_aq,2018-05-28 00:00:00,177.0,811.0,38.0,0.4,24.0,6.0
3016941,liulihe_aq,2018-05-28 00:00:00,101.0,501.0,16.0,0.3,50.0,2.0
3016942,qianmen_aq,2018-05-28 00:00:00,132.0,564.0,44.0,0.4,47.0,2.0
3016943,yongdingmennei_aq,2018-05-28 00:00:00,74.0,495.0,45.0,0.3,37.0,7.0
3016944,xizhimenbei_aq,2018-05-28 00:00:00,125.0,529.0,42.0,0.3,46.0,2.0
3016945,nansanhuan_aq,2018-05-28 00:00:00,117.0,609.0,65.0,0.5,26.0,3.0
3016946,dongsihuan_aq,2018-05-28 00:00:00,174.0,622.0,44.0,0.4,39.0,2.0
3016968,dongsi_aq,2018-05-28 01:00:00,122.0,915.0,12.0,0.2,73.0,2.0
3016969,tiantan_aq,2018-05-28 01:00:00,113.0,514.0,24.0,0.4,66.0,3.0
3016970,guanyuan_aq,2018-05-28 01:00:00,156.0,658.0,16.0,0.3,74.0,2.0
3016971,wanshouxigong_aq,2018-05-28 01:00:00,82.0,530.0,20.0,0.4,67.0,2.0
3016972,aotizhongxin_aq,2018-05-28 01:00:00,120.0,573.0,10.0,0.1,85.0,2.0
3016973,nongzhanguan_aq,2018-05-28 01:00:00,100.0,476.0,14.0,0.2,68.0,2.0
3016974,wanliu_aq,2018-05-28 01:00:00,113.0,517.0,18.0,0.3,76.0,2.0
3016975,beibuxinqu_aq,2018-05-28 01:00:00,58.0,533.0,10.0,0.3,80.0,2.0
3016976,zhiwuyuan_aq,2018-05-28 01:00:00,,,,,,
3016977,fengtaihuayuan_aq,2018-05-28 01:00:00,109.0,513.0,25.0,0.3,67.0,2.0
3016978,yungang_aq,2018-05-28 01:00:00,109.0,383.0,4.0,0.2,71.0,2.0
3016979,gucheng_aq,2018-05-28 01:00:00,99.0,323.0,15.0,0.3,79.0,
3016980,fangshan_aq,2018-05-28 01:00:00,105.0,536.0,15.0,0.2,88.0,2.0
3016981,daxing_aq,2018-05-28 01:00:00,73.0,676.0,14.0,0.2,83.0,2.0
3016982,yizhuang_aq,2018-05-28 01:00:00,225.0,475.0,21.0,0.4,71.0,2.0
3016983,tongzhou_aq,2018-05-28 01:00:00,143.0,910.0,17.0,0.3,74.0,2.0
3016984,shunyi_aq,2018-05-28 01:00:00,131.0,543.0,14.0,0.2,79.0,2.0
3016985,pingchang_aq,2018-05-28 01:00:00,64.0,440.0,13.0,0.2,78.0,2.0
3016986,mentougou_aq,2018-05-28 01:00:00,,,,,,
3016987,pinggu_aq,2018-05-28 01:00:00,109.0,372.0,19.0,0.2,76.0,2.0
3016988,huairou_aq,2018-05-28 01:00:00,156.0,449.0,7.0,0.2,85.0,2.0
3016989,miyun_aq,2018-05-28 01:00:00,184.0,374.0,11.0,0.2,93.0,2.0
3016990,yanqin_aq,2018-05-28 01:00:00,90.0,215.0,4.0,0.2,96.0,2.0
3016991,dingling_aq,2018-05-28 01:00:00,69.0,433.0,5.0,0.1,72.0,2.0
3016992,badaling_aq,2018-05-28 01:00:00,106.0,371.0,9.0,0.1,85.0,2.0
3016993,miyunshuiku_aq,2018-05-28 01:00:00,74.0,415.0,3.0,0.2,105.0,2.0
3016994,donggaocun_aq,2018-05-28 01:00:00,115.0,489.0,26.0,0.2,48.0,2.0
3016995,yongledian_aq,2018-05-28 01:00:00,169.0,654.0,31.0,0.4,57.0,2.0
3016996,yufa_aq,2018-05-28 01:00:00,150.0,642.0,27.0,0.3,63.0,5.0
3016997,liulihe_aq,2018-05-28 01:00:00,113.0,412.0,10.0,0.3,73.0,2.0
3016998,qianmen_aq,2018-05-28 01:00:00,111.0,704.0,25.0,0.3,69.0,2.0
3016999,yongdingmennei_aq,2018-05-28 01:00:00,75.0,545.0,20.0,0.3,65.0,7.0
3017000,xizhimenbei_aq,2018-05-28 01:00:00,104.0,514.0,33.0,0.3,62.0,3.0
3017001,nansanhuan_aq,2018-05-28 01:00:00,92.0,428.0,42.0,0.3,53.0,2.0
3017002,dongsihuan_aq,2018-05-28 01:00:00,141.0,587.0,26.0,0.4,66.0,2.0
3017024,dongsi_aq,2018-05-28 02:00:00,46.0,430.0,6.0,0.1,88.0,2.0
3017025,tiantan_aq,2018-05-28 02:00:00,45.0,292.0,17.0,0.3,86.0,2.0
3017026,guanyuan_aq,2018-05-28 02:00:00,44.0,328.0,11.0,0.2,91.0,2.0
3017027,wanshouxigong_aq,2018-05-28 02:00:00,28.0,338.0,12.0,0.3,85.0,2.0
3017028,aotizhongxin_aq,2018-05-28 02:00:00,35.0,288.0,7.0,0.1,95.0,2.0
3017029,nongzhanguan_aq,2018-05-28 02:00:00,35.0,277.0,9.0,0.1,81.0,2.0
3017030,wanliu_aq,2018-05-28 02:00:00,43.0,274.0,15.0,0.2,95.0,2.0
3017031,beibuxinqu_aq,2018-05-28 02:00:00,,127.0,6.0,0.3,86.0,2.0
3017032,zhiwuyuan_aq,2018-05-28 02:00:00,,,,,,
3017033,fengtaihuayuan_aq,2018-05-28 02:00:00,64.0,329.0,18.0,0.3,83.0,2.0
3017034,yungang_aq,2018-05-28 02:00:00,54.0,260.0,4.0,0.2,79.0,2.0
3017035,gucheng_aq,2018-05-28 02:00:00,55.0,191.0,12.0,0.3,88.0,
3017036,fangshan_aq,2018-05-28 02:00:00,62.0,791.0,13.0,0.2,98.0,2.0
3017037,daxing_aq,2018-05-28 02:00:00,61.0,623.0,12.0,0.2,88.0,2.0
3017038,yizhuang_aq,2018-05-28 02:00:00,201.0,420.0,9.0,0.3,95.0,2.0
3017039,tongzhou_aq,2018-05-28 02:00:00,73.0,490.0,,0.2,84.0,2.0
3017040,shunyi_aq,2018-05-28 02:00:00,78.0,413.0,6.0,0.2,98.0,2.0
3017041,pingchang_aq,2018-05-28 02:00:00,24.0,297.0,9.0,0.2,87.0,2.0
