id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
2280597,shunyi_meo,2018-04-08 00:00:00,Sunny/clear,7.8,1008.5,40.0,1.6,55.0
2280598,hadian_meo,2018-04-08 00:00:00,Sunny/clear,7.3,1006.2,40.0,0.8,255.0
2280599,yanqing_meo,2018-04-08 00:00:00,Sunny/clear,4.3,954.2,48.0,0.9,237.0
2280600,miyun_meo,2018-04-08 00:00:00,Sunny/clear,6.4,1003.3,51.0,1.9,74.0
2280601,huairou_meo,2018-04-08 00:00:00,Sunny/clear,6.5,1002.7,46.0,1.1,94.0
2280602,shangdianzi_meo,2018-04-08 00:00:00,Sunny/clear,5.5,976.5,45.0,2.2,82.0
2280603,pinggu_meo,2018-04-08 00:00:00,Sunny/clear,5.5,1008.0,47.0,1.1,60.0
2280604,tongzhou_meo,2018-04-08 00:00:00,Sunny/clear,7.6,1009.5,42.0,1.2,338.0
2280605,chaoyang_meo,2018-04-08 00:00:00,Sunny/clear,9.1,1007.7,33.0,1.4,62.0
2280606,pingchang_meo,2018-04-08 00:00:00,Sunny/clear,9.6,1002.5,32.0,1.1,356.0
2280607,zhaitang_meo,2018-04-08 00:00:00,Sunny/clear,3.6,959.9,54.0,0.7,160.0
2280608,mentougou_meo,2018-04-08 00:00:00,Sunny/clear,7.5,1001.6,37.0,1.6,100.0
2280609,beijing_meo,2018-04-08 00:00:00,Sunny/clear,9.0,1008.0,30.0,3.2,71.0
2280610,shijingshan_meo,2018-04-08 00:00:00,Sunny/clear,8.1,1004.2,36.0,1.1,70.0
2280611,fengtai_meo,2018-04-08 00:00:00,Sunny/clear,9.8,1005.2,30.0,1.9,99.0
2280612,daxing_meo,2018-04-08 00:00:00,Sunny/clear,9.4,1007.1,29.0,3.3,56.0
2280613,fangshan_meo,2018-04-08 00:00:00,Sunny/clear,9.4,1005.8,28.0,1.7,76.0
2280614,xiayunling_meo,2018-04-08 00:00:00,Sunny/clear,3.7,962.9,54.0,0.8,158.0
2282130,shunyi_meo,2018-04-08 01:00:00,Sunny/clear,10.5,1008.7,31.0,1.2,67.0
2282131,hadian_meo,2018-04-08 01:00:00,Sunny/clear,10.9,1006.4,31.0,0.6,86.0
2282132,yanqing_meo,2018-04-08 01:00:00,Sunny/clear,6.5,954.5,42.0,1.4,244.0
2282133,miyun_meo,2018-04-08 01:00:00,Sunny/clear,9.9,1003.7,40.0,1.4,18.0
2282134,huairou_meo,2018-04-08 01:00:00,Sunny/clear,9.6,1003.0,35.0,3.7,111.0
2282135,shangdianzi_meo,2018-04-08 01:00:00,Sunny/clear,9.3,976.9,32.0,3.4,78.0
2282136,pinggu_meo,2018-04-08 01:00:00,Sunny/clear,8.6,1008.3,36.0,1.4,282.0
2282137,tongzhou_meo,2018-04-08 01:00:00,Sunny/clear,11.3,1009.8,27.0,0.3,3.0
2282138,chaoyang_meo,2018-04-08 01:00:00,Sunny/clear,10.2,1008.0,29.0,1.1,255.0
2282139,pingchang_meo,2018-04-08 01:00:00,Sunny/clear,11.2,1002.6,31.0,2.3,165.0
2282140,zhaitang_meo,2018-04-08 01:00:00,Sunny/clear,8.1,959.9,37.0,1.3,75.0
2282141,mentougou_meo,2018-04-08 01:00:00,Sunny/clear,10.7,1001.8,27.0,2.3,92.0
2282142,beijing_meo,2018-04-08 01:00:00,Sunny/clear,11.2,1008.3,25.0,1.4,79.0
2282143,shijingshan_meo,2018-04-08 01:00:00,Sunny/clear,11.0,1004.4,28.0,1.6,82.0
2282144,fengtai_meo,2018-04-08 01:00:00,Sunny/clear,11.9,1005.4,26.0,1.9,78.0
2282145,daxing_meo,2018-04-08 01:00:00,Sunny/clear,11.0,1007.5,26.0,2.7,59.0
2282146,fangshan_meo,2018-04-08 01:00:00,Sunny/clear,11.7,1006.0,21.0,3.8,80.0
2282147,xiayunling_meo,2018-04-08 01:00:00,Sunny/clear,8.9,962.8,34.0,0.5,16.0
2283663,shunyi_meo,2018-04-08 02:00:00,Sunny/clear,12.4,1008.8,27.0,1.5,42.0
2283664,hadian_meo,2018-04-08 02:00:00,Sunny/clear,13.6,1006.3,28.0,0.9,23.0
2283665,yanqing_meo,2018-04-08 02:00:00,Sunny/clear,8.8,954.6,39.0,0.8,360.0
2283666,miyun_meo,2018-04-08 02:00:00,Sunny/clear,12.6,1003.6,28.0,1.4,107.0
2283667,huairou_meo,2018-04-08 02:00:00,Sunny/clear,12.1,1003.0,28.0,2.8,104.0
2283668,shangdianzi_meo,2018-04-08 02:00:00,Sunny/clear,11.5,977.1,26.0,3.4,80.0
2283669,pinggu_meo,2018-04-08 02:00:00,Sunny/clear,12.2,1008.3,28.0,2.0,215.0
2283670,tongzhou_meo,2018-04-08 02:00:00,Sunny/clear,13.0,1009.8,24.0,1.3,18.0
2283671,chaoyang_meo,2018-04-08 02:00:00,Sunny/clear,12.8,1008.0,26.0,1.5,218.0
2283672,pingchang_meo,2018-04-08 02:00:00,Sunny/clear,12.6,1002.8,27.0,2.3,103.0
2283673,zhaitang_meo,2018-04-08 02:00:00,Sunny/clear,12.0,959.7,27.0,1.3,32.0
2283674,mentougou_meo,2018-04-08 02:00:00,Sunny/clear,13.0,1001.8,24.0,2.8,105.0
2283675,beijing_meo,2018-04-08 02:00:00,Sunny/clear,13.2,1008.4,23.0,1.4,163.0
2283676,shijingshan_meo,2018-04-08 02:00:00,Sunny/clear,13.3,1004.4,24.0,1.6,66.0
2283677,fengtai_meo,2018-04-08 02:00:00,Sunny/clear,13.8,1005.4,24.0,1.4,84.0
2283678,daxing_meo,2018-04-08 02:00:00,Sunny/clear,13.0,1007.6,24.0,2.7,82.0
2283679,fangshan_meo,2018-04-08 02:00:00,Sunny/clear,14.1,1006.3,18.0,1.6,69.0
2283680,xiayunling_meo,2018-04-08 02:00:00,Sunny/clear,13.8,962.9,23.0,1.7,336.0
2285196,shunyi_meo,2018-04-08 03:00:00,Sunny/clear,14.4,1008.3,24.0,1.6,118.0
2285197,hadian_meo,2018-04-08 03:00:00,Sunny/clear,15.8,1005.8,22.0,2.2,35.0
2285198,yanqing_meo,2018-04-08 03:00:00,Sunny/clear,11.1,953.8,31.0,1.0,6.0
2285199,miyun_meo,2018-04-08 03:00:00,Sunny/clear,14.3,1003.0,23.0,2.3,96.0
2285200,huairou_meo,2018-04-08 03:00:00,Sunny/clear,14.0,1002.5,26.0,2.4,143.0
2285201,shangdianzi_meo,2018-04-08 03:00:00,Sunny/clear,13.6,976.4,21.0,4.0,68.0
2285202,pinggu_meo,2018-04-08 03:00:00,Sunny/clear,14.8,1007.6,21.0,2.0,163.0
2285203,tongzhou_meo,2018-04-08 03:00:00,Sunny/clear,14.7,1009.5,22.0,2.3,118.0
2285204,chaoyang_meo,2018-04-08 03:00:00,Sunny/clear,14.5,1007.6,22.0,0.7,82.0
2285205,pingchang_meo,2018-04-08 03:00:00,Sunny/clear,14.9,1002.1,24.0,1.6,95.0
2285206,zhaitang_meo,2018-04-08 03:00:00,Sunny/clear,16.3,959.0,17.0,1.3,166.0
2285207,mentougou_meo,2018-04-08 03:00:00,Sunny/clear,15.2,1001.2,22.0,2.7,88.0
2285208,beijing_meo,2018-04-08 03:00:00,Sunny/clear,14.9,1007.9,21.0,0.6,42.0
2285209,shijingshan_meo,2018-04-08 03:00:00,Sunny/clear,15.0,1003.7,22.0,1.4,142.0
2285210,fengtai_meo,2018-04-08 03:00:00,Sunny/clear,16.3,1004.8,21.0,2.3,137.0
2285211,daxing_meo,2018-04-08 03:00:00,Sunny/clear,14.9,1007.1,22.0,1.5,41.0
2285212,fangshan_meo,2018-04-08 03:00:00,Sunny/clear,15.3,1005.6,15.0,2.7,156.0
2285213,xiayunling_meo,2018-04-08 03:00:00,Sunny/clear,16.7,962.5,18.0,2.6,211.0
2286729,shunyi_meo,2018-04-08 04:00:00,Sunny/clear,15.3,1007.3,23.0,2.5,97.0
2286730,hadian_meo,2018-04-08 04:00:00,Sunny/clear,17.7,1005.0,20.0,1.4,36.0
2286731,yanqing_meo,2018-04-08 04:00:00,Sunny/clear,15.0,952.9,23.0,0.9,63.0
2286732,miyun_meo,2018-04-08 04:00:00,Sunny/clear,15.9,1002.2,21.0,1.0,149.0
2286733,huairou_meo,2018-04-08 04:00:00,Sunny/clear,16.2,1001.7,22.0,3.0,138.0
2286734,shangdianzi_meo,2018-04-08 04:00:00,Sunny/clear,15.5,975.7,20.0,3.5,137.0
2286735,pinggu_meo,2018-04-08 04:00:00,Sunny/clear,16.7,1006.8,19.0,2.0,199.0
2286736,tongzhou_meo,2018-04-08 04:00:00,Sunny/clear,16.0,1008.7,21.0,1.4,86.0
2286737,chaoyang_meo,2018-04-08 04:00:00,Sunny/clear,16.2,1006.7,21.0,2.1,116.0
2286738,pingchang_meo,2018-04-08 04:00:00,Sunny/clear,16.7,1001.2,21.0,2.8,94.0
2286739,zhaitang_meo,2018-04-08 04:00:00,Sunny/clear,17.7,958.1,15.0,2.5,96.0
2286740,mentougou_meo,2018-04-08 04:00:00,Sunny/clear,16.5,1000.6,20.0,3.9,80.0
2286741,beijing_meo,2018-04-08 04:00:00,Sunny/clear,16.0,1007.1,20.0,1.7,157.0
2286742,shijingshan_meo,2018-04-08 04:00:00,Sunny/clear,17.2,1003.0,19.0,1.3,160.0
2286743,fengtai_meo,2018-04-08 04:00:00,Sunny/clear,17.7,1004.2,19.0,2.1,82.0
2286744,daxing_meo,2018-04-08 04:00:00,Sunny/clear,16.9,1006.2,20.0,2.7,114.0
2286745,fangshan_meo,2018-04-08 04:00:00,Sunny/clear,17.2,1005.0,12.0,2.6,149.0
2286746,xiayunling_meo,2018-04-08 04:00:00,Sunny/clear,17.4,961.9,18.0,0.9,298.0
2288262,shunyi_meo,2018-04-08 05:00:00,Sunny/clear,17.1,1006.5,21.0,2.0,122.0
2288263,hadian_meo,2018-04-08 05:00:00,Sunny/clear,18.5,1004.3,19.0,2.3,199.0
2288264,yanqing_meo,2018-04-08 05:00:00,Sunny/clear,17.0,952.3,17.0,3.2,308.0
2288265,miyun_meo,2018-04-08 05:00:00,Sunny/clear,17.3,1001.5,20.0,0.9,279.0
2288266,huairou_meo,2018-04-08 05:00:00,Sunny/clear,17.3,1000.9,20.0,2.3,42.0
2288267,shangdianzi_meo,2018-04-08 05:00:00,Sunny/clear,16.2,975.0,19.0,2.1,135.0
2288268,pinggu_meo,2018-04-08 05:00:00,Sunny/clear,17.5,1006.2,18.0,3.9,212.0
2288269,tongzhou_meo,2018-04-08 05:00:00,Sunny/clear,17.5,1007.8,19.0,2.0,127.0
2288270,chaoyang_meo,2018-04-08 05:00:00,Sunny/clear,17.3,1006.0,19.0,3.0,176.0
2288271,pingchang_meo,2018-04-08 05:00:00,Sunny/clear,18.5,1000.4,18.0,2.9,164.0
2288272,zhaitang_meo,2018-04-08 05:00:00,Sunny/clear,18.4,957.8,14.0,2.3,325.0
2288273,mentougou_meo,2018-04-08 05:00:00,Sunny/clear,18.0,999.8,18.0,2.9,79.0
2288274,beijing_meo,2018-04-08 05:00:00,Sunny/clear,17.9,1006.4,19.0,1.8,253.0
2288275,shijingshan_meo,2018-04-08 05:00:00,Sunny/clear,18.4,1002.2,17.0,2.1,106.0
2288276,fengtai_meo,2018-04-08 05:00:00,Sunny/clear,19.0,1003.4,17.0,1.5,149.0
2288277,daxing_meo,2018-04-08 05:00:00,Sunny/clear,18.2,1005.7,17.0,2.0,218.0
2288278,fangshan_meo,2018-04-08 05:00:00,Sunny/clear,17.6,1004.4,12.0,1.8,251.0
2288279,xiayunling_meo,2018-04-08 05:00:00,Sunny/clear,17.9,961.5,19.0,3.3,191.0
2289795,shunyi_meo,2018-04-08 06:00:00,Sunny/clear,18.4,1006.2,19.0,2.4,185.0
2289796,hadian_meo,2018-04-08 06:00:00,Sunny/clear,18.9,1003.8,19.0,2.4,206.0
2289797,yanqing_meo,2018-04-08 06:00:00,Sunny/clear,17.1,951.9,16.0,4.2,248.0
2289798,miyun_meo,2018-04-08 06:00:00,Sunny/clear,18.2,1000.9,19.0,1.4,49.0
2289799,huairou_meo,2018-04-08 06:00:00,Sunny/clear,18.9,1000.6,19.0,2.7,180.0
2289800,shangdianzi_meo,2018-04-08 06:00:00,Sunny/clear,18.5,974.4,17.0,4.5,217.0
2289801,pinggu_meo,2018-04-08 06:00:00,Sunny/clear,18.8,1005.7,17.0,3.3,300.0
2289802,tongzhou_meo,2018-04-08 06:00:00,Sunny/clear,18.4,1007.4,16.0,1.3,281.0
