id,station_id,time,weather,temperature,pressure,humidity,wind_speed,wind_direction
3914644,shunyi_meo,2018-05-23 00:00:00,Hail,17.1,1005.4,30.0,2.3,51.0
3914645,hadian_meo,2018-05-23 00:00:00,Sunny/clear,15.2,1003.0,44.0,1.6,4.0
3914646,yanqing_meo,2018-05-23 00:00:00,Sunny/clear,12.8,952.1,42.0,0.1,999017.0
3914647,miyun_meo,2018-05-23 00:00:00,Hail,16.2,1000.6,37.0,0.4,29.0
3914648,huairou_meo,2018-05-23 00:00:00,Sunny/clear,15.6,1000.0,39.0,0.8,104.0
3914649,shangdianzi_meo,2018-05-23 00:00:00,Hail,15.9,974.7,21.0,4.9,227.0
3914650,pinggu_meo,2018-05-23 00:00:00,Sunny/clear,17.6,1005.4,27.0,2.4,77.0
3914651,tongzhou_meo,2018-05-23 00:00:00,Sunny/clear,17.7,1006.2,38.0,1.7,65.0
3914652,chaoyang_meo,2018-05-23 00:00:00,Hail,17.0,1004.4,40.0,1.8,47.0
3914653,pingchang_meo,2018-05-23 00:00:00,Sunny/clear,16.5,999.8,30.0,1.3,191.0
3914654,zhaitang_meo,2018-05-23 00:00:00,Sunny/clear,12.2,957.6,46.0,0.9,28.0
3914655,mentougou_meo,2018-05-23 00:00:00,Sunny/clear,17.1,998.4,35.0,1.4,3.0
3914656,beijing_meo,2018-05-23 00:00:00,Hail,19.6,1004.5,20.0,1.7,168.0
3914657,shijingshan_meo,2018-05-23 00:00:00,Sunny/clear,16.6,1000.9,34.0,2.4,61.0
3914658,fengtai_meo,2018-05-23 00:00:00,Sunny/clear,20.1,1001.7,32.0,1.3,304.0
3914659,daxing_meo,2018-05-23 00:00:00,Sunny/clear,19.0,1003.7,29.0,1.4,147.0
3914660,fangshan_meo,2018-05-23 00:00:00,Sunny/clear,18.7,1002.4,31.0,0.8,288.0
3914661,xiayunling_meo,2018-05-23 00:00:00,Sunny/clear,15.5,960.7,40.0,2.2,149.0
3916177,shunyi_meo,2018-05-23 01:00:00,Hail,19.6,1004.3,24.0,2.2,76.0
3916178,hadian_meo,2018-05-23 01:00:00,Sunny/clear,18.0,1002.1,36.0,1.2,42.0
3916179,yanqing_meo,2018-05-23 01:00:00,Sunny/clear,15.4,950.8,34.0,1.3,236.0
3916180,miyun_meo,2018-05-23 01:00:00,Hail,19.3,999.2,22.0,0.9,256.0
3916181,huairou_meo,2018-05-23 01:00:00,Hail,18.9,998.7,27.0,0.7,123.0
3916182,shangdianzi_meo,2018-05-23 01:00:00,Hail,17.6,973.1,16.0,5.5,254.0
3916183,pinggu_meo,2018-05-23 01:00:00,Sunny/clear,20.6,1004.0,17.0,2.1,79.0
3916184,tongzhou_meo,2018-05-23 01:00:00,Sunny/clear,19.5,1005.2,35.0,1.9,111.0
