id,station_id,time,weather,temperature,pressure,humidity,wind_speed,wind_direction
4043792,shunyi_meo,2018-05-27 00:00:00,Sunny/clear,22.4,1005.8,46.0,2.1,8.0
4043793,hadian_meo,2018-05-27 00:00:00,Sunny/clear,23.2,1003.5,39.0,0.6,169.0
4043794,yanqing_meo,2018-05-27 00:00:00,Sunny/clear,19.8,954.7,53.0,0.8,11.0
4043795,miyun_meo,2018-05-27 00:00:00,Sunny/clear,22.0,1001.0,55.0,1.8,61.0
4043796,huairou_meo,2018-05-27 00:00:00,Sunny/clear,22.2,1000.5,46.0,1.9,86.0
4043797,shangdianzi_meo,2018-05-27 00:00:00,Sunny/clear,19.3,975.9,54.0,4.1,49.0
4043798,pinggu_meo,2018-05-27 00:00:00,Sunny/clear,22.6,1004.9,48.0,1.6,293.0
4043799,tongzhou_meo,2018-05-27 00:00:00,Sunny/clear,22.7,1006.8,45.0,2.5,333.0
4043800,chaoyang_meo,2018-05-27 00:00:00,Sunny/clear,24.0,1005.2,39.0,1.5,40.0
4043801,pingchang_meo,2018-05-27 00:00:00,Sunny/clear,25.4,1000.3,28.0,1.2,305.0
4043802,zhaitang_meo,2018-05-27 00:00:00,Sunny/clear,18.7,959.9,45.0,1.0,156.0
4043803,mentougou_meo,2018-05-27 00:00:00,Sunny/clear,26.5,999.1,21.0,2.7,353.0
4043804,beijing_meo,2018-05-27 00:00:00,Sunny/clear,25.0,1005.4,37.0,0.9,34.0
4043805,shijingshan_meo,2018-05-27 00:00:00,Sunny/clear,26.3,1001.5,27.0,1.8,50.0
4043806,fengtai_meo,2018-05-27 00:00:00,Sunny/clear,27.2,1002.5,27.0,1.5,48.0
4043807,daxing_meo,2018-05-27 00:00:00,Sunny/clear,25.4,1004.6,30.0,1.6,334.0
4043808,fangshan_meo,2018-05-27 00:00:00,Sunny/clear,25.0,1003.4,45.0,0.2,999017.0
4043809,xiayunling_meo,2018-05-27 00:00:00,Sunny/clear,20.8,963.0,44.0,1.6,140.0
4045325,shunyi_meo,2018-05-27 01:00:00,Sunny/clear,24.7,1005.4,37.0,1.9,25.0
