id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
2643047,beijing_grid_000,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,14.0,971.2115,59.0,90.52,2.79
2643048,beijing_grid_001,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,14.0,957.7267,55.0,88.08,3.11
2643049,beijing_grid_002,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,8.0,944.2419,52.0,86.1,3.44
2643050,beijing_grid_003,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,8.0,928.9395,49.0,90.88,3.08
2643051,beijing_grid_004,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,8.0,911.8195,46.0,109.78,2.18
2643052,beijing_grid_005,2018-04-18 00:00:00,CLEAR_DAY,8.0,894.6995,43.0,144.22,1.76
2643053,beijing_grid_006,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,8.0,876.6131,41.0,210.32,1.64
2643054,beijing_grid_007,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,11.0,858.5267,39.0,242.45,3.03
2643055,beijing_grid_008,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,19.2,851.2563,38.0,243.87,4.59
2643056,beijing_grid_009,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,19.2,854.8019,38.0,237.44,6.08
2643057,beijing_grid_010,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,858.3475,38.0,233.58,7.62
2643058,beijing_grid_011,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,868.9907,41.0,219.64,6.68
2643059,beijing_grid_012,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,879.6339,44.0,202.52,6.24
2643060,beijing_grid_013,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,890.2131,47.0,183.42,5.3
2643061,beijing_grid_014,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,900.7283,49.0,152.22,4.2
2643062,beijing_grid_015,2018-04-18 00:00:00,CLEAR_DAY,12.0,911.2435,52.0,116.91,4.75
2643063,beijing_grid_016,2018-04-18 00:00:00,CLEAR_DAY,12.0,910.777,52.0,109.54,5.43
2643064,beijing_grid_017,2018-04-18 00:00:00,CLEAR_DAY,12.0,910.7827,53.0,108.69,5.99
2643065,beijing_grid_018,2018-04-18 00:00:00,CLEAR_DAY,12.0,902.1203,53.0,126.35,6.01
2643066,beijing_grid_019,2018-04-18 00:00:00,CLEAR_DAY,12.0,885.0259,55.0,160.62,7.38
2643067,beijing_grid_020,2018-04-18 00:00:00,CLEAR_DAY,12.0,867.9315,56.0,179.68,10.36
2643068,beijing_grid_021,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,14.0,980.2035,61.0,111.72,2.48
2643069,beijing_grid_022,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,14.0,969.9161,58.0,101.38,3.15
2643070,beijing_grid_023,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,15.0,959.6288,55.0,94.8,3.88
2643071,beijing_grid_024,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,14.0,945.8726,52.0,97.12,4.02
2643072,beijing_grid_025,2018-04-18 00:00:00,CLEAR_DAY,14.0,928.6477,49.0,108.32,3.64
2643073,beijing_grid_026,2018-04-18 00:00:00,CLEAR_DAY,20.0,911.4227,47.0,121.53,3.42
2643074,beijing_grid_027,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,20.0,897.6857,43.0,148.84,2.24
2643075,beijing_grid_028,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,20.0,883.9488,40.0,196.49,2.12
2643076,beijing_grid_029,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,19.2,872.9677,38.0,220.35,3.28
2643077,beijing_grid_030,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,18.8,864.7424,39.0,225.9,4.74
2643078,beijing_grid_031,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,856.5171,39.0,228.82,6.22
2643079,beijing_grid_032,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,872.1062,41.0,209.39,5.42
2643080,beijing_grid_033,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,887.6953,44.0,186.79,5.38
2643081,beijing_grid_034,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,900.023,46.0,163.62,4.99
2643082,beijing_grid_035,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,909.0893,48.0,131.26,4.61
2643083,beijing_grid_036,2018-04-18 00:00:00,CLEAR_DAY,12.0,918.1555,50.0,103.23,5.68
2643084,beijing_grid_037,2018-04-18 00:00:00,CLEAR_DAY,12.0,910.5088,52.0,105.92,5.54
2643085,beijing_grid_038,2018-04-18 00:00:00,CLEAR_DAY,12.0,902.8621,53.0,108.76,5.4
2643086,beijing_grid_039,2018-04-18 00:00:00,CLEAR_DAY,12.0,890.9587,54.0,133.54,5.11
2643087,beijing_grid_040,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,6.0,874.7987,55.0,170.99,6.95
2643088,beijing_grid_041,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,6.0,858.6387,56.0,188.5,10.33
2643089,beijing_grid_042,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,15.0,989.1955,63.0,134.94,2.56
2643090,beijing_grid_043,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,15.0,982.1056,60.0,113.73,3.35
2643091,beijing_grid_044,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,15.0,975.0157,58.0,101.57,4.4
2643092,beijing_grid_045,2018-04-18 00:00:00,CLEAR_DAY,14.0,962.8058,56.0,100.96,5.0
2643093,beijing_grid_046,2018-04-18 00:00:00,CLEAR_DAY,14.0,945.4758,53.0,107.7,5.1
2643094,beijing_grid_047,2018-04-18 00:00:00,CLEAR_DAY,14.0,928.1459,50.0,114.11,5.26
2643095,beijing_grid_048,2018-04-18 00:00:00,CLEAR_DAY,14.0,918.7584,45.0,127.51,3.96
2643096,beijing_grid_049,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,14.0,909.3708,41.0,151.04,3.06
2643097,beijing_grid_050,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,20.0,894.679,39.0,182.43,2.98
2643098,beijing_grid_051,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,18.8,874.6828,40.0,206.79,3.72
2643099,beijing_grid_052,2018-04-18 00:00:00,CLOUDY,12.0,854.6867,41.0,221.37,4.88
2643100,beijing_grid_053,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,875.2217,42.0,193.79,4.42
2643101,beijing_grid_054,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,895.7568,43.0,167.21,5.05
2643102,beijing_grid_055,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,909.8329,45.0,143.84,5.3
2643103,beijing_grid_056,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,917.4502,47.0,115.42,5.51
2643104,beijing_grid_057,2018-04-18 00:00:00,CLEAR_DAY,12.0,925.0675,49.0,93.77,6.84
2643105,beijing_grid_058,2018-04-18 00:00:00,CLEAR_DAY,12.0,910.0045,51.0,100.0,5.78
2643106,beijing_grid_059,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,12.0,894.9414,53.0,108.86,4.82
2643107,beijing_grid_060,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,6.0,879.7971,55.0,143.56,4.33
2643108,beijing_grid_061,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,6.0,864.5715,56.0,182.28,6.78
2643109,beijing_grid_062,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,6.0,849.3459,57.0,197.16,10.54
2643110,beijing_grid_063,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,15.0,996.2803,64.0,161.95,3.14
2643111,beijing_grid_064,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,15.0,990.194,62.0,122.72,3.81
2643112,beijing_grid_065,2018-04-18 00:00:00,CLEAR_DAY,15.0,987.0259,61.0,110.45,4.54
2643113,beijing_grid_066,2018-04-18 00:00:00,CLEAR_DAY,14.0,976.1555,59.0,104.89,5.4
2643114,beijing_grid_067,2018-04-18 00:00:00,CLEAR_DAY,14.0,959.0419,56.0,107.04,5.78
2643115,beijing_grid_068,2018-04-18 00:00:00,CLEAR_DAY,14.0,941.9283,54.0,108.93,6.16
2643116,beijing_grid_069,2018-04-18 00:00:00,CLEAR_DAY,14.0,932.958,49.0,117.52,4.92
2643117,beijing_grid_070,2018-04-18 00:00:00,PARTLY_CLOUDY_DAY,14.0,923.9878,44.0,131.29,3.87
