id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
4079068,beijing_grid_000,2018-05-28 00:00:00,CLEAR_DAY,23.0,967.7681,20.0,0.16,8.06
4079069,beijing_grid_001,2018-05-28 00:00:00,CLEAR_DAY,23.0,954.7249,21.0,337.68,10.03
4079070,beijing_grid_002,2018-05-28 00:00:00,CLEAR_DAY,18.0,941.6818,21.0,323.93,12.97
4079071,beijing_grid_003,2018-05-28 00:00:00,CLEAR_DAY,18.0,926.7314,22.0,318.81,15.96
4079072,beijing_grid_004,2018-05-28 00:00:00,CLEAR_DAY,18.0,909.8738,24.0,318.11,18.61
4079073,beijing_grid_005,2018-05-28 00:00:00,HAZE,18.0,893.0162,26.0,317.58,21.26
4079074,beijing_grid_006,2018-05-28 00:00:00,HAZE,18.0,875.077,27.0,317.92,20.24
4079075,beijing_grid_007,2018-05-28 00:00:00,HAZE,17.0,857.1377,28.0,318.29,19.21
4079076,beijing_grid_008,2018-05-28 00:00:00,HAZE,15.8,850.1905,29.0,316.93,18.91
4079077,beijing_grid_009,2018-05-28 00:00:00,HAZE,15.8,854.2353,29.0,313.94,19.37
4079078,beijing_grid_010,2018-05-28 00:00:00,HAZE,18.0,858.2802,29.0,311.08,19.89
4079079,beijing_grid_011,2018-05-28 00:00:00,HAZE,18.0,869.0258,27.0,314.72,23.85
4079080,beijing_grid_012,2018-05-28 00:00:00,HAZE,18.0,879.7713,26.0,317.32,27.89
4079081,beijing_grid_013,2018-05-28 00:00:00,HAZE,18.0,890.4113,24.0,319.55,31.01
4079082,beijing_grid_014,2018-05-28 00:00:00,HAZE,17.0,900.9458,24.0,321.72,33.21
4079083,beijing_grid_015,2018-05-28 00:00:00,HAZE,17.0,911.4802,24.0,323.61,35.46
4079084,beijing_grid_016,2018-05-28 00:00:00,HAZE,17.0,911.3713,24.0,323.53,34.5
4079085,beijing_grid_017,2018-05-28 00:00:00,WIND,17.0,911.2625,25.0,323.45,33.53
4079086,beijing_grid_018,2018-05-28 00:00:00,WIND,15.0,902.6737,27.0,324.38,33.24
4079087,beijing_grid_019,2018-05-28 00:00:00,HAZE,15.0,885.605,31.0,326.31,33.65
4079088,beijing_grid_020,2018-05-28 00:00:00,HAZE,15.0,868.5362,35.0,328.19,34.1
4079089,beijing_grid_021,2018-05-28 00:00:00,CLEAR_DAY,23.0,976.4018,20.0,9.97,7.62
4079090,beijing_grid_022,2018-05-28 00:00:00,CLEAR_DAY,23.0,966.4766,20.0,344.33,8.43
4079091,beijing_grid_023,2018-05-28 00:00:00,CLEAR_DAY,25.0,956.5515,21.0,326.07,10.52
4079092,beijing_grid_024,2018-05-28 00:00:00,CLEAR_DAY,25.0,943.1448,22.0,319.1,12.8
4079093,beijing_grid_025,2018-05-28 00:00:00,CLEAR_DAY,20.5,926.2565,23.0,318.2,14.7
4079094,beijing_grid_026,2018-05-28 00:00:00,HAZE,25.0,909.3682,24.0,317.5,16.6
4079095,beijing_grid_027,2018-05-28 00:00:00,HAZE,20.5,895.8373,25.0,318.38,16.53
4079096,beijing_grid_028,2018-05-28 00:00:00,HAZE,20.5,882.3064,26.0,319.27,16.47
4079097,beijing_grid_029,2018-05-28 00:00:00,HAZE,15.8,871.6446,27.0,318.23,17.06
4079098,beijing_grid_030,2018-05-28 00:00:00,HAZE,19.6,863.852,27.0,315.57,18.35
4079099,beijing_grid_031,2018-05-28 00:00:00,HAZE,18.0,856.0593,28.0,313.27,19.68
4079100,beijing_grid_032,2018-05-28 00:00:00,HAZE,18.0,871.8456,26.0,315.59,24.36
4079101,beijing_grid_033,2018-05-28 00:00:00,HAZE,18.0,887.6318,24.0,317.15,29.08
4079102,beijing_grid_034,2018-05-28 00:00:00,HAZE,18.0,900.0664,23.0,318.4,32.42
4079103,beijing_grid_035,2018-05-28 00:00:00,HAZE,18.0,909.1493,23.0,319.58,34.38
4079104,beijing_grid_036,2018-05-28 00:00:00,HAZE,17.0,918.2322,22.0,320.64,36.35
4079105,beijing_grid_037,2018-05-28 00:00:00,HAZE,17.0,910.6558,24.0,320.52,35.52
4079106,beijing_grid_038,2018-05-28 00:00:00,WIND,17.0,903.0795,26.0,320.39,34.68
4079107,beijing_grid_039,2018-05-28 00:00:00,WIND,17.0,891.2433,28.0,321.19,34.37
4079108,beijing_grid_040,2018-05-28 00:00:00,HAZE,11.0,875.1474,32.0,322.92,34.61
4079109,beijing_grid_041,2018-05-28 00:00:00,HAZE,11.0,859.0514,36.0,324.62,34.88
4079110,beijing_grid_042,2018-05-28 00:00:00,CLEAR_DAY,25.0,985.0354,20.0,20.64,7.42
4079111,beijing_grid_043,2018-05-28 00:00:00,CLEAR_DAY,25.0,978.2283,20.0,353.9,6.99
4079112,beijing_grid_044,2018-05-28 00:00:00,CLEAR_DAY,25.0,971.4213,20.0,329.51,8.08
4079113,beijing_grid_045,2018-05-28 00:00:00,CLEAR_DAY,25.0,959.5583,21.0,319.59,9.63
4079114,beijing_grid_046,2018-05-28 00:00:00,CLEAR_DAY,25.0,942.6392,22.0,318.35,10.78
4079115,beijing_grid_047,2018-05-28 00:00:00,CLEAR_DAY,25.0,924.097,23.0,318.25,11.76
4079116,beijing_grid_048,2018-05-28 00:00:00,HAZE,25.0,916.5976,23.0,319.11,12.83
4079117,beijing_grid_049,2018-05-28 00:00:00,HAZE,25.0,907.475,24.0,320.64,13.72
4079118,beijing_grid_050,2018-05-28 00:00:00,HAZE,20.5,893.0987,24.0,319.84,15.22
4079119,beijing_grid_051,2018-05-28 00:00:00,HAZE,19.6,873.4686,26.0,317.4,17.35
4079120,beijing_grid_052,2018-05-28 00:00:00,HAZE,18.0,853.8385,27.0,315.5,19.49
4079121,beijing_grid_053,2018-05-28 00:00:00,HAZE,18.0,874.6654,25.0,316.41,24.88
4079122,beijing_grid_054,2018-05-28 00:00:00,CLEAR_DAY,18.0,902.8894,22.0,317.03,31.93
4079123,beijing_grid_055,2018-05-28 00:00:00,HAZE,18.0,909.7214,22.0,317.35,33.84
4079124,beijing_grid_056,2018-05-28 00:00:00,HAZE,18.0,917.3528,21.0,317.59,35.58
4079125,beijing_grid_057,2018-05-28 00:00:00,HAZE,18.0,924.9842,21.0,317.81,37.33
4079126,beijing_grid_058,2018-05-28 00:00:00,HAZE,17.0,909.9403,23.0,317.67,36.63
4079127,beijing_grid_059,2018-05-28 00:00:00,HAZE,17.0,894.8965,26.0,317.53,35.93
4079128,beijing_grid_060,2018-05-28 00:00:00,HAZE,11.0,879.813,30.0,318.22,35.61
4079129,beijing_grid_061,2018-05-28 00:00:00,HAZE,11.0,864.6898,34.0,319.72,35.68
4079130,beijing_grid_062,2018-05-28 00:00:00,HAZE,11.0,849.5665,38.0,321.21,35.78
4079131,beijing_grid_063,2018-05-28 00:00:00,CLEAR_DAY,25.0,991.8386,20.0,29.11,7.62
4079132,beijing_grid_064,2018-05-28 00:00:00,CLEAR_DAY,25.0,987.4175,20.0,4.96,6.26
4079133,beijing_grid_065,2018-05-28 00:00:00,CLEAR_DAY,25.0,982.9963,20.0,335.67,6.37
4079134,beijing_grid_066,2018-05-28 00:00:00,CLEAR_DAY,25.0,972.4549,21.0,321.74,7.31
4079135,beijing_grid_067,2018-05-28 00:00:00,HAZE,25.0,955.7931,22.0,319.45,7.93
4079136,beijing_grid_068,2018-05-28 00:00:00,HAZE,25.0,939.1314,23.0,317.5,8.56
4079137,beijing_grid_069,2018-05-28 00:00:00,HAZE,25.0,930.5259,23.0,320.33,9.89
4079138,beijing_grid_070,2018-05-28 00:00:00,HAZE,25.0,921.9205,22.0,322.48,11.25
4079139,beijing_grid_071,2018-05-28 00:00:00,HAZE,20.5,905.715,23.0,321.65,13.47
4079140,beijing_grid_072,2018-05-28 00:00:00,HAZE,19.6,881.9096,24.0,319.16,16.56
4079141,beijing_grid_073,2018-05-28 00:00:00,HAZE,18.0,858.1041,25.0,317.45,19.67
4079142,beijing_grid_074,2018-05-28 00:00:00,HAZE,18.0,880.6859,24.0,316.6,25.68
4079143,beijing_grid_075,2018-05-28 00:00:00,HAZE,18.0,903.2677,22.0,316.08,31.69
4079144,beijing_grid_076,2018-05-28 00:00:00,HAZE,18.0,916.2834,21.0,315.59,35.35
4079145,beijing_grid_077,2018-05-28 00:00:00,HAZE,18.0,919.733,20.0,315.02,36.64
4079146,beijing_grid_078,2018-05-28 00:00:00,HAZE,18.0,923.1826,20.0,314.49,37.94
4079147,beijing_grid_079,2018-05-28 00:00:00,HAZE,18.0,905.4187,23.0,314.68,37.29
4079148,beijing_grid_080,2018-05-28 00:00:00,HAZE,17.0,887.6549,27.0,314.88,36.65
4079149,beijing_grid_081,2018-05-28 00:00:00,HAZE,11.0,871.7234,30.0,315.72,36.29
4079150,beijing_grid_082,2018-05-28 00:00:00,HAZE,11.0,857.6242,35.0,317.2,36.23
4079151,beijing_grid_083,2018-05-28 00:00:00,HAZE,11.0,843.5249,39.0,318.68,36.19
4079152,beijing_grid_084,2018-05-28 00:00:00,CLEAR_DAY,25.0,996.8114,20.0,34.64,8.1
4079153,beijing_grid_085,2018-05-28 00:00:00,CLEAR_DAY,25.0,994.044,21.0,14.83,6.16
4079154,beijing_grid_086,2018-05-28 00:00:00,CLEAR_DAY,25.0,991.2766,21.0,344.62,5.45
4079155,beijing_grid_087,2018-05-28 00:00:00,HAZE,25.0,981.8347,21.0,326.59,5.85
4079156,beijing_grid_088,2018-05-28 00:00:00,HAZE,25.0,965.7183,22.0,322.26,6.13
4079157,beijing_grid_089,2018-05-28 00:00:00,HAZE,25.0,949.6018,23.0,318.32,6.44
4079158,beijing_grid_090,2018-05-28 00:00:00,HAZE,25.0,937.6222,23.0,322.22,7.73
4079159,beijing_grid_091,2018-05-28 00:00:00,HAZE,25.0,925.6427,22.0,324.99,9.05
4079160,beijing_grid_092,2018-05-28 00:00:00,HAZE,25.0,909.4936,22.0,323.68,11.79
4079161,beijing_grid_093,2018-05-28 00:00:00,HAZE,19.6,889.1749,23.0,320.75,15.99
4079162,beijing_grid_094,2018-05-28 00:00:00,HAZE,18.0,868.8561,23.0,319.04,20.21
4079163,beijing_grid_095,2018-05-28 00:00:00,HAZE,18.0,889.907,22.0,316.21,26.76
4079164,beijing_grid_096,2018-05-28 00:00:00,HAZE,18.0,910.9579,20.0,314.5,33.36
4079165,beijing_grid_097,2018-05-28 00:00:00,HAZE,18.0,919.7522,20.0,313.2,36.97
4079166,beijing_grid_098,2018-05-28 00:00:00,HAZE,18.0,916.2898,20.0,311.88,37.6
4079167,beijing_grid_099,2018-05-28 00:00:00,HAZE,18.0,912.8274,21.0,310.6,38.24
4079168,beijing_grid_100,2018-05-28 00:00:00,HAZE,18.0,897.091,24.0,311.43,37.54
4079169,beijing_grid_101,2018-05-28 00:00:00,HAZE,11.0,881.3547,27.0,312.3,36.84
4079170,beijing_grid_102,2018-05-28 00:00:00,HAZE,11.0,866.9746,31.0,313.57,36.4
