id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2991791,CD1,2018-05-09 00:00:00,,19.7,16.8,,,
2991792,BL0,2018-05-09 00:00:00,,,,,,
2991793,GR4,2018-05-09 00:00:00,9.1,20.2,17.6,,,
2991794,MY7,2018-05-09 00:00:00,12.7,20.9,,,,
2991795,HV1,2018-05-09 00:00:00,3.8,7.5,15.7,,,
2991796,GN3,2018-05-09 00:00:00,7.5,15.1,28.1,,,
2991797,GR9,2018-05-09 00:00:00,8.6,17.8,19.1,,,
2991798,LW2,2018-05-09 00:00:00,14.7,16.7,51.7,,,
2991799,GN0,2018-05-09 00:00:00,,11.9,28.8,,,
2991800,KF1,2018-05-09 00:00:00,,,,,,
2991801,CD9,2018-05-09 00:00:00,,,37.5,,,
2991802,CT3,2018-05-09 00:00:00,29.0,,,,,
2991803,CT2,2018-05-09 00:00:00,8.0,,,,,
2991804,BX9,2018-05-09 00:00:00,8.2,,,,,
2991805,BX1,2018-05-09 00:00:00,,,18.9,,,
2991806,TH4,2018-05-09 00:00:00,,,,,,
2991807,ST5,2018-05-09 00:00:00,14.0,,20.4,,,
2991808,RB7,2018-05-09 00:00:00,10.0,,15.6,,,
2991809,TD5,2018-05-09 00:00:00,10.8,,,,,
2991847,CD1,2018-05-09 01:00:00,,19.8,17.5,,,
2991848,BL0,2018-05-09 01:00:00,,17.8,,,,
2991849,GR4,2018-05-09 01:00:00,9.1,20.0,20.7,,,
2991850,MY7,2018-05-09 01:00:00,13.6,22.4,,,,
2991851,HV1,2018-05-09 01:00:00,5.6,12.0,17.8,,,
2991852,GN3,2018-05-09 01:00:00,10.8,17.2,21.6,,,
2991853,GR9,2018-05-09 01:00:00,10.4,21.0,17.7,,,
2991854,LW2,2018-05-09 01:00:00,12.7,19.6,33.0,,,
2991855,GN0,2018-05-09 01:00:00,,18.7,28.0,,,
2991856,KF1,2018-05-09 01:00:00,,18.2,,,,
2991857,CD9,2018-05-09 01:00:00,,,30.1,,,
2991858,CT3,2018-05-09 01:00:00,2.0,,,,,
2991859,CT2,2018-05-09 01:00:00,13.0,,,,,
2991860,BX9,2018-05-09 01:00:00,11.2,,,,,
2991861,BX1,2018-05-09 01:00:00,,,20.4,,,
2991862,TH4,2018-05-09 01:00:00,,,,,,
2991863,ST5,2018-05-09 01:00:00,14.0,,18.1,,,
2991864,RB7,2018-05-09 01:00:00,16.0,,17.2,,,
2991865,TD5,2018-05-09 01:00:00,9.2,,,,,
2991903,CD1,2018-05-09 02:00:00,,20.5,18.8,,,
2991904,BL0,2018-05-09 02:00:00,,,,,,
2991905,GR4,2018-05-09 02:00:00,10.2,18.8,18.3,,,
2991906,MY7,2018-05-09 02:00:00,12.1,26.2,,,,
2991907,HV1,2018-05-09 02:00:00,6.5,12.1,20.5,,,
2991908,GN3,2018-05-09 02:00:00,11.0,19.1,31.4,,,
2991909,GR9,2018-05-09 02:00:00,9.5,24.1,29.1,,,
2991910,LW2,2018-05-09 02:00:00,14.4,23.7,26.6,,,
2991911,GN0,2018-05-09 02:00:00,,24.7,31.4,,,
2991912,KF1,2018-05-09 02:00:00,,19.7,,,,
2991913,CD9,2018-05-09 02:00:00,,,42.0,,,
2991914,CT3,2018-05-09 02:00:00,3.0,,,,,
2991915,CT2,2018-05-09 02:00:00,14.0,,,,,
2991916,BX9,2018-05-09 02:00:00,10.9,,,,,
2991917,BX1,2018-05-09 02:00:00,,,18.7,,,
2991918,TH4,2018-05-09 02:00:00,,,,,,
2991919,ST5,2018-05-09 02:00:00,17.0,,16.6,,,
2991920,RB7,2018-05-09 02:00:00,13.0,,20.0,,,
2991921,TD5,2018-05-09 02:00:00,8.8,,,,,
2991959,CD1,2018-05-09 03:00:00,,19.3,21.2,,,
2991960,BL0,2018-05-09 03:00:00,,22.0,,,,
2991961,GR4,2018-05-09 03:00:00,9.0,23.4,18.0,,,
2991962,MY7,2018-05-09 03:00:00,15.4,26.9,,,,
2991963,HV1,2018-05-09 03:00:00,11.9,17.4,23.6,,,
2991964,GN3,2018-05-09 03:00:00,11.8,22.6,31.4,,,
2991965,GR9,2018-05-09 03:00:00,11.4,26.5,38.8,,,
2991966,LW2,2018-05-09 03:00:00,19.7,26.3,38.8,,,
2991967,GN0,2018-05-09 03:00:00,,25.9,30.7,,,
2991968,KF1,2018-05-09 03:00:00,,,,,,
2991969,CD9,2018-05-09 03:00:00,,,50.3,,,
2991970,CT3,2018-05-09 03:00:00,5.0,,,,,
2991971,CT2,2018-05-09 03:00:00,15.0,,,,,
2991972,BX9,2018-05-09 03:00:00,11.0,,,,,
2991973,BX1,2018-05-09 03:00:00,,,20.0,,,
2991974,TH4,2018-05-09 03:00:00,,,,,,
2991975,ST5,2018-05-09 03:00:00,12.0,,20.7,,,
2991976,RB7,2018-05-09 03:00:00,16.0,,26.6,,,
2991977,TD5,2018-05-09 03:00:00,7.8,,,,,
2992015,CD1,2018-05-09 04:00:00,,18.5,30.7,,,
2992016,BL0,2018-05-09 04:00:00,,,,,,
2992017,GR4,2018-05-09 04:00:00,11.9,20.6,21.5,,,
2992018,MY7,2018-05-09 04:00:00,15.9,28.4,,,,
2992019,HV1,2018-05-09 04:00:00,11.1,17.4,30.5,,,
2992020,GN3,2018-05-09 04:00:00,13.8,23.5,42.9,,,
2992021,GR9,2018-05-09 04:00:00,,,,,,
2992022,LW2,2018-05-09 04:00:00,16.0,22.6,47.4,,,
2992023,GN0,2018-05-09 04:00:00,,21.6,42.5,,,
2992024,KF1,2018-05-09 04:00:00,13.4,19.0,,,,
2992025,CD9,2018-05-09 04:00:00,,,55.9,,,
2992026,CT3,2018-05-09 04:00:00,13.0,14.2,,,,
2992027,CT2,2018-05-09 04:00:00,14.0,,,,,
2992028,BX9,2018-05-09 04:00:00,14.7,,,,,
2992029,BX1,2018-05-09 04:00:00,,26.0,27.1,,,
2992030,TH4,2018-05-09 04:00:00,,,,,,
2992031,ST5,2018-05-09 04:00:00,15.0,21.0,24.3,,,
2992032,RB7,2018-05-09 04:00:00,16.0,,31.0,,,
2992033,TD5,2018-05-09 04:00:00,6.6,,,,,
2992071,CD1,2018-05-09 05:00:00,,25.6,44.4,,,
2992072,BL0,2018-05-09 05:00:00,,18.7,,,,
2992073,GR4,2018-05-09 05:00:00,10.8,27.5,27.5,,,
2992074,MY7,2018-05-09 05:00:00,20.5,37.2,,,,
2992075,HV1,2018-05-09 05:00:00,12.3,25.8,41.1,,,
2992076,GN3,2018-05-09 05:00:00,17.2,25.0,44.6,,,
2992077,GR9,2018-05-09 05:00:00,14.5,30.8,48.2,,,
2992078,LW2,2018-05-09 05:00:00,10.2,26.2,41.5,,,
2992079,GN0,2018-05-09 05:00:00,,25.4,41.2,,,
2992080,KF1,2018-05-09 05:00:00,,,,,,
2992081,CD9,2018-05-09 05:00:00,,,71.0,,,
2992082,CT3,2018-05-09 05:00:00,9.0,19.2,,,,
2992083,CT2,2018-05-09 05:00:00,20.0,,,,,
2992084,BX9,2018-05-09 05:00:00,15.5,,,,,
2992085,BX1,2018-05-09 05:00:00,,26.1,33.8,,,
2992086,TH4,2018-05-09 05:00:00,,,,,,
2992087,ST5,2018-05-09 05:00:00,19.0,47.0,35.6,,,
2992088,RB7,2018-05-09 05:00:00,18.0,,40.8,,,
2992089,TD5,2018-05-09 05:00:00,9.5,,,,,
2992127,CD1,2018-05-09 06:00:00,,33.1,65.0,,,
2992128,BL0,2018-05-09 06:00:00,,,,,,
2992129,GR4,2018-05-09 06:00:00,16.6,24.4,34.4,,,
2992130,MY7,2018-05-09 06:00:00,20.3,35.7,,,,
2992131,HV1,2018-05-09 06:00:00,7.5,14.9,30.0,,,
2992132,GN3,2018-05-09 06:00:00,14.6,25.9,49.7,,,
2992133,GR9,2018-05-09 06:00:00,13.7,25.8,37.5,,,
2992134,LW2,2018-05-09 06:00:00,20.2,29.3,42.4,,,
2992135,GN0,2018-05-09 06:00:00,,26.6,44.9,,,
2992136,KF1,2018-05-09 06:00:00,,,,,,
2992137,CD9,2018-05-09 06:00:00,,,75.3,,,
2992138,CT3,2018-05-09 06:00:00,15.0,25.4,,,,
2992139,CT2,2018-05-09 06:00:00,18.0,,,,,
2992140,BX9,2018-05-09 06:00:00,14.5,,,,,
2992141,BX1,2018-05-09 06:00:00,,24.1,29.5,,,
2992142,TH4,2018-05-09 06:00:00,,,,,,
2992143,ST5,2018-05-09 06:00:00,16.0,38.0,58.5,,,
2992144,RB7,2018-05-09 06:00:00,24.0,,43.8,,,
2992145,TD5,2018-05-09 06:00:00,13.8,,,,,
2992183,CD1,2018-05-09 07:00:00,24.0,34.3,68.2,,,
2992184,BL0,2018-05-09 07:00:00,,27.4,,,,
2992185,GR4,2018-05-09 07:00:00,,22.6,,,,
2992186,MY7,2018-05-09 07:00:00,17.5,30.2,,,,
2992187,HV1,2018-05-09 07:00:00,11.0,19.1,36.7,,,
2992188,GN3,2018-05-09 07:00:00,15.9,25.5,50.7,,,
2992189,GR9,2018-05-09 07:00:00,13.5,25.6,33.2,,,
