id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
3016948,CD1,2018-05-28 00:00:00,40.8,47.5,56.5,,,
3016949,BL0,2018-05-28 00:00:00,,,,,,
3016950,GR4,2018-05-28 00:00:00,40.0,47.0,44.7,,,
3016951,MY7,2018-05-28 00:00:00,33.0,42.1,,,,
3016952,HV1,2018-05-28 00:00:00,46.6,55.1,33.0,,,
3016953,GN3,2018-05-28 00:00:00,56.6,68.3,58.3,,,
3016954,GR9,2018-05-28 00:00:00,42.0,52.2,,,,
3016955,LW2,2018-05-28 00:00:00,,,,,,
3016956,GN0,2018-05-28 00:00:00,,57.9,60.6,,,
3016957,KF1,2018-05-28 00:00:00,11.3,15.0,,,,
3016958,CD9,2018-05-28 00:00:00,,,93.0,,,
3016959,CT3,2018-05-28 00:00:00,,,,,,
3016960,CT2,2018-05-28 00:00:00,54.0,,,,,
3016961,BX9,2018-05-28 00:00:00,56.1,,,,,
3016962,BX1,2018-05-28 00:00:00,,35.0,31.5,,,
3016963,TH4,2018-05-28 00:00:00,,74.0,64.0,,,
3016964,ST5,2018-05-28 00:00:00,,20.0,34.6,,,
3016965,RB7,2018-05-28 00:00:00,,65.8,22.8,,,
3016966,TD5,2018-05-28 00:00:00,9.9,,,,,
3017004,CD1,2018-05-28 01:00:00,56.3,64.9,40.8,,,
3017005,BL0,2018-05-28 01:00:00,,,,,,
3017006,GR4,2018-05-28 01:00:00,46.8,54.3,32.9,,,
3017007,MY7,2018-05-28 01:00:00,55.3,69.6,,,,
3017008,HV1,2018-05-28 01:00:00,46.4,53.2,32.2,,,
3017009,GN3,2018-05-28 01:00:00,56.9,68.9,32.9,,,
3017010,GR9,2018-05-28 01:00:00,54.1,67.6,57.4,,,
3017011,LW2,2018-05-28 01:00:00,,,,,,
3017012,GN0,2018-05-28 01:00:00,,54.0,33.2,,,
3017013,KF1,2018-05-28 01:00:00,43.4,53.3,,,,
3017014,CD9,2018-05-28 01:00:00,,,79.0,,,
3017015,CT3,2018-05-28 01:00:00,,69.6,51.5,,,
3017016,CT2,2018-05-28 01:00:00,67.0,,,,,
3017017,BX9,2018-05-28 01:00:00,40.7,,,,,
3017018,BX1,2018-05-28 01:00:00,,28.1,10.8,,,
3017019,TH4,2018-05-28 01:00:00,,75.1,42.9,,,
3017020,ST5,2018-05-28 01:00:00,,19.0,29.6,,,
3017021,RB7,2018-05-28 01:00:00,,58.0,15.7,,,
3017022,TD5,2018-05-28 01:00:00,12.9,,,,,
3017060,CD1,2018-05-28 02:00:00,58.4,69.7,40.6,,,
3017061,BL0,2018-05-28 02:00:00,,,,,,
3017062,GR4,2018-05-28 02:00:00,41.3,42.7,20.8,,,
3017063,MY7,2018-05-28 02:00:00,60.9,70.5,,,,
3017064,HV1,2018-05-28 02:00:00,34.3,40.6,18.7,,,
3017065,GN3,2018-05-28 02:00:00,49.3,59.0,21.3,,,
3017066,GR9,2018-05-28 02:00:00,47.6,59.1,45.1,,,
3017067,LW2,2018-05-28 02:00:00,,,,,,
3017068,GN0,2018-05-28 02:00:00,,50.1,35.5,,,
3017069,KF1,2018-05-28 02:00:00,45.1,54.8,,,,
3017070,CD9,2018-05-28 02:00:00,,,74.7,,,
3017071,CT3,2018-05-28 02:00:00,,74.6,49.6,,,
3017072,CT2,2018-05-28 02:00:00,62.0,,,,,
3017073,BX9,2018-05-28 02:00:00,41.2,,,,,
3017074,BX1,2018-05-28 02:00:00,,32.3,14.1,,,
3017075,TH4,2018-05-28 02:00:00,,69.6,45.4,,,
3017076,ST5,2018-05-28 02:00:00,,,,,,
3017077,RB7,2018-05-28 02:00:00,,,,,,
3017078,TD5,2018-05-28 02:00:00,12.7,,,,,
3017116,CD1,2018-05-28 03:00:00,58.5,69.6,34.0,,,
3017117,BL0,2018-05-28 03:00:00,,,,,,
3017118,GR4,2018-05-28 03:00:00,37.0,37.1,17.5,,,
3017119,MY7,2018-05-28 03:00:00,59.7,71.4,,,,
3017120,HV1,2018-05-28 03:00:00,36.8,42.6,15.5,,,
3017121,GN3,2018-05-28 03:00:00,46.5,54.6,24.7,,,
3017122,GR9,2018-05-28 03:00:00,47.6,55.5,44.1,,,
3017123,LW2,2018-05-28 03:00:00,,,,,,
3017124,GN0,2018-05-28 03:00:00,,46.4,40.8,,,
3017125,KF1,2018-05-28 03:00:00,49.9,60.7,,,,
3017126,CD9,2018-05-28 03:00:00,,,63.4,,,
3017127,CT3,2018-05-28 03:00:00,,,,,,
3017128,CT2,2018-05-28 03:00:00,62.0,,,,,
3017129,BX9,2018-05-28 03:00:00,38.2,,,,,
3017130,BX1,2018-05-28 03:00:00,,31.1,13.0,,,
3017131,TH4,2018-05-28 03:00:00,,71.7,47.7,,,
3017132,ST5,2018-05-28 03:00:00,,,,,,
3017133,RB7,2018-05-28 03:00:00,,,,,,
3017134,TD5,2018-05-28 03:00:00,14.2,,,,,
3017172,CD1,2018-05-28 04:00:00,53.0,62.7,22.5,,,
3017173,BL0,2018-05-28 04:00:00,,,,,,
3017174,GR4,2018-05-28 04:00:00,37.7,42.4,18.8,,,
3017175,MY7,2018-05-28 04:00:00,54.1,66.1,,,,
3017176,HV1,2018-05-28 04:00:00,29.8,33.7,15.0,,,
3017177,GN3,2018-05-28 04:00:00,42.6,54.3,37.3,,,
3017178,GR9,2018-05-28 04:00:00,42.9,55.0,43.9,,,
3017179,LW2,2018-05-28 04:00:00,,,,,,
3017180,GN0,2018-05-28 04:00:00,,49.7,45.8,,,
3017181,KF1,2018-05-28 04:00:00,48.5,58.6,,,,
3017182,CD9,2018-05-28 04:00:00,,,50.8,,,
3017183,CT3,2018-05-28 04:00:00,,,32.3,,,
3017184,CT2,2018-05-28 04:00:00,60.0,,,,,
3017185,BX9,2018-05-28 04:00:00,36.9,,,,,
3017186,BX1,2018-05-28 04:00:00,,39.4,18.4,,,
3017187,TH4,2018-05-28 04:00:00,52.4,64.8,36.1,,,
3017188,ST5,2018-05-28 04:00:00,,,,,,
3017189,RB7,2018-05-28 04:00:00,,,,,,
3017190,TD5,2018-05-28 04:00:00,13.9,,,,,
3017228,CD1,2018-05-28 05:00:00,46.5,57.1,30.0,,,
3017229,BL0,2018-05-28 05:00:00,44.4,56.8,33.5,,,
3017230,GR4,2018-05-28 05:00:00,34.0,42.8,20.8,,,
3017231,MY7,2018-05-28 05:00:00,48.7,58.8,,,,
3017232,HV1,2018-05-28 05:00:00,30.0,37.5,21.1,,,
3017233,GN3,2018-05-28 05:00:00,45.5,58.5,30.4,,,
3017234,GR9,2018-05-28 05:00:00,46.7,56.4,45.3,,,
