id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
3878505,london_grid_000,2018-05-22 00:00:00,RAIN,14.25,1014.6155,84.0,354.87,19.63
3878506,london_grid_001,2018-05-22 00:00:00,RAIN,13.53,1013.6811,87.0,354.17,17.7
3878507,london_grid_002,2018-05-22 00:00:00,RAIN,12.81,1012.7467,91.0,353.29,15.77
3878508,london_grid_003,2018-05-22 00:00:00,RAIN,12.24,1010.1803,93.0,353.06,14.54
3878509,london_grid_004,2018-05-22 00:00:00,RAIN,11.82,1005.982,94.0,353.69,14.0
3878510,london_grid_005,2018-05-22 00:00:00,RAIN,11.4,1001.7836,96.0,354.36,13.46
3878511,london_grid_006,2018-05-22 00:00:00,RAIN,11.31,1001.2844,96.0,355.5,13.57
3878512,london_grid_007,2018-05-22 00:00:00,RAIN,11.21,1000.7852,96.0,356.62,13.68
3878513,london_grid_008,2018-05-22 00:00:00,RAIN,11.09,1001.2683,96.0,356.92,13.65
3878514,london_grid_009,2018-05-22 00:00:00,RAIN,10.95,1002.7339,96.0,356.39,13.47
3878515,london_grid_010,2018-05-22 00:00:00,RAIN,10.8,1004.1995,96.0,355.84,13.29
3878516,london_grid_011,2018-05-22 00:00:00,RAIN,10.56,1002.3052,97.0,354.51,13.24
3878517,london_grid_012,2018-05-22 00:00:00,RAIN,10.32,1000.4108,97.0,353.18,13.2
3878518,london_grid_013,2018-05-22 00:00:00,RAIN,10.24,1000.1484,97.0,352.47,13.23
3878519,london_grid_014,2018-05-22 00:00:00,RAIN,10.33,1001.518,97.0,352.39,13.32
3878520,london_grid_015,2018-05-22 00:00:00,RAIN,10.42,1002.8876,96.0,352.32,13.41
3878521,london_grid_016,2018-05-22 00:00:00,RAIN,10.65,1004.0332,95.0,352.16,13.56
3878522,london_grid_017,2018-05-22 00:00:00,RAIN,10.89,1005.1788,95.0,352.0,13.71
3878523,london_grid_018,2018-05-22 00:00:00,RAIN,11.34,1004.4972,92.0,351.62,13.63
3878524,london_grid_019,2018-05-22 00:00:00,RAIN,12.0,1001.9883,88.0,350.98,13.32
3878525,london_grid_020,2018-05-22 00:00:00,PARTLY_CLOUDY_DAY,12.66,999.4795,84.0,350.32,13.01
3878526,london_grid_021,2018-05-22 00:00:00,RAIN,14.24,1014.654,84.0,354.89,19.73
3878527,london_grid_022,2018-05-22 00:00:00,RAIN,13.55,1013.845,87.0,354.37,17.75
3878528,london_grid_023,2018-05-22 00:00:00,RAIN,12.86,1013.036,90.0,353.71,15.77
3878529,london_grid_024,2018-05-22 00:00:00,RAIN,12.31,1010.86,93.0,353.67,14.51
3878530,london_grid_025,2018-05-22 00:00:00,RAIN,11.9,1007.317,94.0,354.4,13.96
3878531,london_grid_026,2018-05-22 00:00:00,RAIN,11.5,1003.774,96.0,355.2,13.42
3878532,london_grid_027,2018-05-22 00:00:00,RAIN,11.34,1002.325,96.0,356.25,13.55
3878533,london_grid_028,2018-05-22 00:00:00,RAIN,11.19,1000.876,96.0,357.28,13.69
3878534,london_grid_029,2018-05-22 00:00:00,RAIN,11.02,1000.5336,97.0,357.53,13.63
3878535,london_grid_030,2018-05-22 00:00:00,RAIN,10.83,1001.2978,97.0,357.02,13.38
3878536,london_grid_031,2018-05-22 00:00:00,RAIN,10.65,1002.0619,97.0,356.48,13.12
3878537,london_grid_032,2018-05-22 00:00:00,RAIN,10.47,1001.5039,97.0,355.29,13.01
3878538,london_grid_033,2018-05-22 00:00:00,RAIN,10.28,1000.9458,97.0,354.09,12.91
3878539,london_grid_034,2018-05-22 00:00:00,RAIN,10.21,1000.8025,97.0,353.53,12.83
3878540,london_grid_035,2018-05-22 00:00:00,RAIN,10.24,1001.0738,96.0,353.64,12.79
3878541,london_grid_036,2018-05-22 00:00:00,RAIN,10.27,1001.3452,96.0,353.75,12.75
3878542,london_grid_037,2018-05-22 00:00:00,RAIN,10.54,1003.2025,95.0,354.04,12.87
3878543,london_grid_038,2018-05-22 00:00:00,RAIN,10.81,1005.0597,94.0,354.32,12.99
3878544,london_grid_039,2018-05-22 00:00:00,RAIN,11.25,1004.9784,92.0,354.31,12.91
