id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
4042930,london_grid_000,2018-05-27 00:00:00,RAIN,15.23,1014.1642,90.0,81.11,33.33
4042931,london_grid_001,2018-05-27 00:00:00,RAIN,15.63,1013.3386,90.0,79.04,29.61
4042932,london_grid_002,2018-05-27 00:00:00,RAIN,16.03,1012.513,90.0,76.39,25.94
4042933,london_grid_003,2018-05-27 00:00:00,RAIN,16.23,1010.0778,90.0,74.4,23.71
4042934,london_grid_004,2018-05-27 00:00:00,RAIN,16.23,1006.033,90.0,73.62,22.87
4042935,london_grid_005,2018-05-27 00:00:00,RAIN,16.23,1001.9882,90.0,72.79,22.03
4042936,london_grid_006,2018-05-27 00:00:00,RAIN,16.35,1001.553,88.0,72.92,23.37
4042937,london_grid_007,2018-05-27 00:00:00,RAIN,16.47,1001.1178,85.0,73.03,24.71
4042938,london_grid_008,2018-05-27 00:00:00,PARTLY_CLOUDY_DAY,16.33,1001.7066,84.0,72.47,25.48
4042939,london_grid_009,2018-05-27 00:00:00,PARTLY_CLOUDY_DAY,15.93,1003.3194,85.0,71.26,25.67
4042940,london_grid_010,2018-05-27 00:00:00,PARTLY_CLOUDY_DAY,15.53,1004.9322,86.0,70.06,25.87
4042941,london_grid_011,2018-05-27 00:00:00,RAIN,14.53,1003.2746,89.0,69.23,25.74
4042942,london_grid_012,2018-05-27 00:00:00,RAIN,13.53,1001.617,93.0,68.39,25.6
4042943,london_grid_013,2018-05-27 00:00:00,RAIN,12.79,1001.5434,94.0,67.77,25.45
4042944,london_grid_014,2018-05-27 00:00:00,RAIN,12.31,1003.0538,94.0,67.36,25.28
4042945,london_grid_015,2018-05-27 00:00:00,RAIN,11.83,1004.5642,94.0,66.94,25.1
4042946,london_grid_016,2018-05-27 00:00:00,RAIN,11.83,1005.8762,92.0,64.65,24.75
4042947,london_grid_017,2018-05-27 00:00:00,RAIN,11.83,1007.1882,90.0,62.29,24.43
4042948,london_grid_018,2018-05-27 00:00:00,RAIN,12.05,1006.6666,87.0,61.22,23.83
4042949,london_grid_019,2018-05-27 00:00:00,RAIN,12.49,1004.3114,81.0,61.49,22.92
4042950,london_grid_020,2018-05-27 00:00:00,RAIN,12.93,1001.9562,76.0,61.77,22.01
4042951,london_grid_021,2018-05-27 00:00:00,RAIN,15.27,1014.2922,90.0,81.63,33.24
4042952,london_grid_022,2018-05-27 00:00:00,RAIN,15.67,1013.5946,90.0,79.33,29.48
4042953,london_grid_023,2018-05-27 00:00:00,RAIN,16.07,1012.897,89.0,76.35,25.79
4042954,london_grid_024,2018-05-27 00:00:00,RAIN,16.3,1010.8496,89.0,73.93,23.52
4042955,london_grid_025,2018-05-27 00:00:00,RAIN,16.34,1007.4525,89.0,72.66,22.61
4042956,london_grid_026,2018-05-27 00:00:00,RAIN,16.39,1004.0554,89.0,71.29,21.72
4042957,london_grid_027,2018-05-27 00:00:00,RAIN,16.43,1002.7139,87.0,71.43,23.03
4042958,london_grid_028,2018-05-27 00:00:00,PARTLY_CLOUDY_DAY,16.47,1001.3725,85.0,71.55,24.35
