,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.397,39.982,2017.0,1.0,1.0,0.0,160.0,172.0,114.0,4.2,26.0,37.0
1,116.397,39.982,2017.0,1.0,1.0,1.0,160.0,172.0,114.0,4.2,26.0,37.0
2,116.397,39.982,2017.0,1.0,1.0,2.0,160.0,172.0,114.0,4.2,26.0,37.0
3,116.397,39.982,2017.0,1.0,1.0,3.0,160.0,172.0,114.0,4.2,26.0,37.0
4,116.397,39.982,2017.0,1.0,1.0,4.0,160.0,172.0,114.0,4.2,26.0,37.0
5,116.397,39.982,2017.0,1.0,1.0,5.0,160.0,172.0,114.0,4.2,26.0,37.0
6,116.397,39.982,2017.0,1.0,1.0,6.0,160.0,172.0,114.0,4.2,26.0,37.0
7,116.397,39.982,2017.0,1.0,1.0,7.0,160.0,172.0,114.0,4.2,26.0,37.0
8,116.397,39.982,2017.0,1.0,1.0,8.0,160.0,172.0,114.0,4.2,26.0,37.0
9,116.397,39.982,2017.0,1.0,1.0,9.0,160.0,172.0,114.0,4.2,26.0,37.0
10,116.397,39.982,2017.0,1.0,1.0,10.0,160.0,172.0,114.0,4.2,26.0,37.0
11,116.397,39.982,2017.0,1.0,1.0,11.0,160.0,172.0,114.0,4.2,26.0,37.0
12,116.397,39.982,2017.0,1.0,1.0,12.0,160.0,172.0,114.0,4.2,26.0,37.0
13,116.397,39.982,2017.0,1.0,1.0,13.0,160.0,172.0,114.0,4.2,26.0,37.0
14,116.397,39.982,2017.0,1.0,1.0,14.0,160.0,172.0,114.0,4.2,26.0,37.0
15,116.397,39.982,2017.0,1.0,1.0,15.0,160.0,172.0,114.0,4.2,26.0,37.0
16,116.397,39.982,2017.0,1.0,1.0,16.0,160.0,172.0,114.0,4.2,26.0,37.0
17,116.397,39.982,2017.0,1.0,1.0,17.0,160.0,172.0,114.0,4.2,26.0,37.0
18,116.397,39.982,2017.0,1.0,1.0,18.0,160.0,172.0,114.0,4.2,26.0,37.0
19,116.397,39.982,2017.0,1.0,1.0,19.0,160.0,172.0,114.0,4.2,26.0,37.0
20,116.397,39.982,2017.0,1.0,1.0,20.0,160.0,172.0,114.0,4.2,26.0,37.0
