,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,115.988,40.365,2017.0,1.0,1.0,0.0,87.0,115.0,84.0,1.5,2.0,49.0
1,115.988,40.365,2017.0,1.0,1.0,1.0,87.0,115.0,84.0,1.5,2.0,49.0
2,115.988,40.365,2017.0,1.0,1.0,2.0,87.0,115.0,84.0,1.5,2.0,49.0
3,115.988,40.365,2017.0,1.0,1.0,3.0,87.0,115.0,84.0,1.5,2.0,49.0
4,115.988,40.365,2017.0,1.0,1.0,4.0,87.0,115.0,84.0,1.5,2.0,49.0
5,115.988,40.365,2017.0,1.0,1.0,5.0,87.0,115.0,84.0,1.5,2.0,49.0
6,115.988,40.365,2017.0,1.0,1.0,6.0,87.0,115.0,84.0,1.5,2.0,49.0
7,115.988,40.365,2017.0,1.0,1.0,7.0,87.0,115.0,84.0,1.5,2.0,49.0
8,115.988,40.365,2017.0,1.0,1.0,8.0,87.0,115.0,84.0,1.5,2.0,49.0
9,115.988,40.365,2017.0,1.0,1.0,9.0,87.0,115.0,84.0,1.5,2.0,49.0
10,115.988,40.365,2017.0,1.0,1.0,10.0,87.0,115.0,84.0,1.5,2.0,49.0
11,115.988,40.365,2017.0,1.0,1.0,11.0,87.0,115.0,84.0,1.5,2.0,49.0
12,115.988,40.365,2017.0,1.0,1.0,12.0,87.0,115.0,84.0,1.5,2.0,49.0
13,115.988,40.365,2017.0,1.0,1.0,13.0,87.0,115.0,84.0,1.5,2.0,49.0
14,115.988,40.365,2017.0,1.0,1.0,14.0,87.0,115.0,84.0,1.5,2.0,49.0
15,115.988,40.365,2017.0,1.0,1.0,15.0,58.0,115.0,59.0,0.9,24.0,32.0
16,115.988,40.365,2017.0,1.0,1.0,16.0,30.0,41.0,38.0,0.7,45.0,22.0
17,115.988,40.365,2017.0,1.0,1.0,17.0,23.0,39.0,40.0,0.8,42.0,23.0
18,115.988,40.365,2017.0,1.0,1.0,18.0,20.0,43.0,51.0,0.8,29.0,24.0
19,115.988,40.365,2017.0,1.0,1.0,19.0,21.0,42.0,46.0,0.8,31.0,21.0
20,115.988,40.365,2017.0,1.0,1.0,20.0,15.0,32.0,33.0,0.6,46.0,16.0
21,115.988,40.365,2017.0,1.0,1.0,21.0,11.0,35.0,32.0,0.6,48.0,18.0
22,115.988,40.365,2017.0,1.0,1.0,22.0,15.0,33.0,29.0,0.7,49.0,17.0
23,115.988,40.365,2017.0,1.0,1.0,23.0,15.0,35.0,24.0,0.6,55.0,15.0
24,115.988,40.365,2017.0,1.0,2.0,0.0,16.0,28.0,21.0,0.6,56.0,13.0
25,115.988,40.365,2017.0,1.0,2.0,1.0,17.0,18.0,22.0,0.6,58.0,17.0
26,115.988,40.365,2017.0,1.0,2.0,2.0,15.0,24.0,18.0,0.5,64.0,16.0
27,115.988,40.365,2017.0,1.0,2.0,3.0,16.0,22.0,17.0,0.5,66.0,15.0
28,115.988,40.365,2017.0,1.0,2.0,4.0,15.0,36.0,20.0,0.6,67.0,18.0
29,115.988,40.365,2017.0,1.0,2.0,5.0,18.0,55.0,24.0,0.6,65.0,19.0
30,115.988,40.365,2017.0,1.0,2.0,6.0,25.0,49.0,31.0,0.7,62.0,22.0
31,115.988,40.365,2017.0,1.0,2.0,7.0,29.0,50.0,37.0,0.7,59.0,25.0
32,115.988,40.365,2017.0,1.0,2.0,8.0,30.0,51.0,49.0,0.7,49.0,26.0
33,115.988,40.365,2017.0,1.0,2.0,9.0,29.0,59.0,59.0,0.6,38.0,23.0
34,115.988,40.365,2017.0,1.0,2.0,10.0,29.0,58.0,67.0,0.7,26.0,22.0
35,115.988,40.365,2017.0,1.0,2.0,11.0,47.0,91.0,72.0,0.1,27.0,18.0
36,115.988,40.365,2017.0,1.0,2.0,12.0,70.0,109.0,84.0,1.3,18.0,17.0
37,115.988,40.365,2017.0,1.0,2.0,13.0,75.0,136.0,92.0,1.5,10.0,19.0
38,115.988,40.365,2017.0,1.0,2.0,14.0,85.0,139.0,95.0,1.5,3.0,20.0
39,115.988,40.365,2017.0,1.0,2.0,15.0,91.0,122.0,98.0,1.9,2.0,29.0
40,115.988,40.365,2017.0,1.0,2.0,16.0,91.0,115.0,91.0,1.7,3.0,31.0
41,115.988,40.365,2017.0,1.0,2.0,17.0,66.0,96.0,79.0,1.2,2.0,27.0
42,115.988,40.365,2017.0,1.0,2.0,18.0,63.0,87.0,75.0,1.4,2.0,24.0
43,115.988,40.365,2017.0,1.0,2.0,19.0,54.0,69.0,68.0,0.9,2.0,23.0
44,115.988,40.365,2017.0,1.0,2.0,20.0,49.0,114.0,65.0,0.1,2.0,22.0
45,115.988,40.365,2017.0,1.0,2.0,21.0,63.0,116.0,63.0,1.5,2.0,23.0
46,115.988,40.365,2017.0,1.0,2.0,22.0,96.0,126.0,71.0,2.3,3.0,44.0
47,115.988,40.365,2017.0,1.0,2.0,23.0,93.0,123.0,71.0,2.3,3.0,47.0
48,115.988,40.365,2017.0,1.0,3.0,0.0,89.0,123.0,72.0,2.2,2.0,46.0
49,115.988,40.365,2017.0,1.0,3.0,1.0,111.0,157.0,66.0,3.1,5.0,27.0
50,115.988,40.365,2017.0,1.0,3.0,2.0,131.0,158.0,69.0,3.3,9.0,41.0
51,115.988,40.365,2017.0,1.0,3.0,3.0,97.0,103.0,56.0,1.9,26.0,51.0
52,115.988,40.365,2017.0,1.0,3.0,4.0,50.0,106.0,37.0,0.1,52.0,41.0
53,115.988,40.365,2017.0,1.0,3.0,5.0,36.0,99.0,26.0,0.6,71.0,25.0
54,115.988,40.365,2017.0,1.0,3.0,6.0,25.0,56.0,19.0,0.4,84.0,13.0
55,115.988,40.365,2017.0,1.0,3.0,7.0,13.0,56.0,18.0,0.3,87.0,11.0
56,115.988,40.365,2017.0,1.0,3.0,8.0,22.0,42.0,29.0,0.3,77.0,13.0
57,115.988,40.365,2017.0,1.0,3.0,9.0,24.0,55.0,45.0,0.4,62.0,16.0
58,115.988,40.365,2017.0,1.0,3.0,10.0,35.0,73.0,99.0,0.7,2.0,27.0
59,115.988,40.365,2017.0,1.0,3.0,11.0,40.0,73.0,85.0,0.7,6.0,25.0
60,115.988,40.365,2017.0,1.0,3.0,12.0,31.0,59.0,65.0,0.5,20.0,19.0
61,115.988,40.365,2017.0,1.0,3.0,13.0,25.0,50.0,62.0,0.5,21.0,16.0
62,115.988,40.365,2017.0,1.0,3.0,14.0,27.0,60.0,65.0,0.5,16.0,16.0
63,115.988,40.365,2017.0,1.0,3.0,15.0,27.0,60.0,65.0,0.5,16.0,16.0
64,115.988,40.365,2017.0,1.0,3.0,16.0,31.0,68.0,61.0,0.6,14.0,15.0
65,115.988,40.365,2017.0,1.0,3.0,17.0,32.0,74.0,68.0,0.6,6.0,16.0
66,115.988,40.365,2017.0,1.0,3.0,18.0,31.0,69.0,63.0,0.6,6.0,15.0
67,115.988,40.365,2017.0,1.0,3.0,19.0,32.0,51.0,62.0,0.7,6.0,15.0
68,115.988,40.365,2017.0,1.0,3.0,20.0,36.0,61.0,62.0,0.8,2.0,16.0
69,115.988,40.365,2017.0,1.0,3.0,21.0,39.0,59.0,60.0,0.9,3.0,14.0
70,115.988,40.365,2017.0,1.0,3.0,22.0,44.0,74.0,55.0,0.9,6.0,13.0
71,115.988,40.365,2017.0,1.0,3.0,23.0,46.0,64.0,62.0,0.9,3.0,15.0
72,115.988,40.365,2017.0,1.0,4.0,0.0,42.0,65.0,55.0,0.9,4.0,13.0
73,115.988,40.365,2017.0,1.0,4.0,1.0,54.0,77.0,54.0,1.1,5.0,17.0
74,115.988,40.365,2017.0,1.0,4.0,2.0,80.0,116.0,62.0,1.6,9.0,37.0
75,115.988,40.365,2017.0,1.0,4.0,3.0,85.0,134.0,69.0,1.6,13.0,57.0
76,115.988,40.365,2017.0,1.0,4.0,4.0,89.0,132.0,64.0,1.6,22.0,63.0
77,115.988,40.365,2017.0,1.0,4.0,5.0,109.0,147.0,74.0,1.9,21.0,64.0
78,115.988,40.365,2017.0,1.0,4.0,6.0,95.0,147.0,61.0,1.5,43.0,47.0
79,115.988,40.365,2017.0,1.0,4.0,7.0,77.0,115.0,61.0,1.3,73.0,24.0
80,115.988,40.365,2017.0,1.0,4.0,8.0,119.0,129.0,90.0,1.7,63.0,27.0
81,115.988,40.365,2017.0,1.0,4.0,9.0,111.0,111.0,112.0,1.6,38.0,29.0
82,115.988,40.365,2017.0,1.0,4.0,10.0,107.0,127.0,120.0,1.8,28.0,29.0
83,115.988,40.365,2017.0,1.0,4.0,11.0,115.0,127.0,82.0,1.8,69.0,29.0
84,115.988,40.365,2017.0,1.0,4.0,12.0,122.0,145.0,112.0,0.2,34.0,33.0
85,115.988,40.365,2017.0,1.0,4.0,13.0,135.0,165.0,142.0,2.4,5.0,34.0
86,115.988,40.365,2017.0,1.0,4.0,14.0,151.0,175.0,130.0,2.8,13.0,37.0
87,115.988,40.365,2017.0,1.0,4.0,15.0,179.0,221.0,141.0,3.9,5.0,38.0
88,115.988,40.365,2017.0,1.0,4.0,16.0,201.0,240.0,140.0,4.5,6.0,35.0
89,115.988,40.365,2017.0,1.0,4.0,17.0,232.0,244.0,140.0,5.1,4.0,30.0
90,115.988,40.365,2017.0,1.0,4.0,18.0,232.0,244.0,125.0,5.3,7.0,32.0
91,115.988,40.365,2017.0,1.0,4.0,19.0,222.0,225.0,123.0,5.2,4.0,31.0
92,115.988,40.365,2017.0,1.0,4.0,20.0,220.0,220.0,130.0,5.2,4.0,31.0
93,115.988,40.365,2017.0,1.0,4.0,21.0,224.0,249.0,128.0,5.4,2.0,29.0
94,115.988,40.365,2017.0,1.0,4.0,22.0,239.0,249.0,136.0,6.5,2.0,17.0
95,115.988,40.365,2017.0,1.0,4.0,23.0,198.0,249.0,129.0,6.5,2.0,7.0
96,115.988,40.365,2017.0,1.0,5.0,0.0,146.0,249.0,107.0,5.2,4.0,5.0
97,115.988,40.365,2017.0,1.0,5.0,1.0,111.0,249.0,71.0,3.5,24.0,4.0
