,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.404,39.718,2017.0,1.0,1.0,0.0,207.0,225.0,110.0,5.8,4.0,56.0
1,116.404,39.718,2017.0,1.0,1.0,1.0,207.0,225.0,110.0,5.8,4.0,56.0
2,116.404,39.718,2017.0,1.0,1.0,2.0,207.0,225.0,110.0,5.8,4.0,56.0
3,116.404,39.718,2017.0,1.0,1.0,3.0,207.0,225.0,110.0,5.8,4.0,56.0
4,116.404,39.718,2017.0,1.0,1.0,4.0,207.0,225.0,110.0,5.8,4.0,56.0
5,116.404,39.718,2017.0,1.0,1.0,5.0,207.0,225.0,110.0,5.8,4.0,56.0
6,116.404,39.718,2017.0,1.0,1.0,6.0,207.0,225.0,110.0,5.8,4.0,56.0
7,116.404,39.718,2017.0,1.0,1.0,7.0,207.0,225.0,110.0,5.8,4.0,56.0
8,116.404,39.718,2017.0,1.0,1.0,8.0,207.0,225.0,110.0,5.8,4.0,56.0
9,116.404,39.718,2017.0,1.0,1.0,9.0,207.0,225.0,110.0,5.8,4.0,56.0
10,116.404,39.718,2017.0,1.0,1.0,10.0,207.0,225.0,110.0,5.8,4.0,56.0
11,116.404,39.718,2017.0,1.0,1.0,11.0,207.0,225.0,110.0,5.8,4.0,56.0
12,116.404,39.718,2017.0,1.0,1.0,12.0,207.0,225.0,110.0,5.8,4.0,56.0
13,116.404,39.718,2017.0,1.0,1.0,13.0,207.0,225.0,110.0,5.8,4.0,56.0
14,116.404,39.718,2017.0,1.0,1.0,14.0,207.0,225.0,110.0,5.8,4.0,56.0
15,116.404,39.718,2017.0,1.0,1.0,15.0,207.0,225.0,110.0,5.8,4.0,56.0
16,116.404,39.718,2017.0,1.0,1.0,16.0,207.0,225.0,110.0,5.8,4.0,56.0
17,116.404,39.718,2017.0,1.0,1.0,17.0,207.0,225.0,110.0,5.8,4.0,56.0
18,116.404,39.718,2017.0,1.0,1.0,18.0,207.0,225.0,110.0,5.8,4.0,56.0
19,116.404,39.718,2017.0,1.0,1.0,19.0,207.0,225.0,110.0,5.8,4.0,56.0
20,116.404,39.718,2017.0,1.0,1.0,20.0,207.0,225.0,110.0,5.8,4.0,56.0
21,116.404,39.718,2017.0,1.0,1.0,21.0,207.0,225.0,110.0,5.8,4.0,56.0
22,116.404,39.718,2017.0,1.0,1.0,22.0,207.0,225.0,110.0,5.8,4.0,56.0
23,116.404,39.718,2017.0,1.0,1.0,23.0,207.0,225.0,110.0,5.8,4.0,56.0
24,116.404,39.718,2017.0,1.0,2.0,0.0,207.0,225.0,110.0,5.8,4.0,56.0
25,116.404,39.718,2017.0,1.0,2.0,1.0,207.0,225.0,110.0,5.8,4.0,56.0
26,116.404,39.718,2017.0,1.0,2.0,2.0,207.0,225.0,110.0,5.8,4.0,56.0
27,116.404,39.718,2017.0,1.0,2.0,3.0,207.0,225.0,110.0,5.8,4.0,56.0
28,116.404,39.718,2017.0,1.0,2.0,4.0,207.0,225.0,110.0,5.8,4.0,56.0
29,116.404,39.718,2017.0,1.0,2.0,5.0,207.0,225.0,110.0,5.8,4.0,56.0
30,116.404,39.718,2017.0,1.0,2.0,6.0,207.0,225.0,110.0,5.8,4.0,56.0
31,116.404,39.718,2017.0,1.0,2.0,7.0,207.0,225.0,110.0,5.8,4.0,56.0
32,116.404,39.718,2017.0,1.0,2.0,8.0,207.0,225.0,110.0,5.8,4.0,56.0
33,116.404,39.718,2017.0,1.0,2.0,9.0,207.0,225.0,110.0,5.8,4.0,56.0
34,116.404,39.718,2017.0,1.0,2.0,10.0,207.0,225.0,110.0,5.8,4.0,56.0
35,116.404,39.718,2017.0,1.0,2.0,11.0,207.0,225.0,110.0,5.8,4.0,56.0
36,116.404,39.718,2017.0,1.0,2.0,12.0,207.0,225.0,110.0,5.8,4.0,56.0
37,116.404,39.718,2017.0,1.0,2.0,13.0,207.0,225.0,110.0,5.8,4.0,56.0
38,116.404,39.718,2017.0,1.0,2.0,14.0,207.0,225.0,110.0,5.8,4.0,56.0
39,116.404,39.718,2017.0,1.0,2.0,15.0,207.0,225.0,110.0,5.8,4.0,56.0
40,116.404,39.718,2017.0,1.0,2.0,16.0,207.0,225.0,110.0,5.8,4.0,56.0
41,116.404,39.718,2017.0,1.0,2.0,17.0,207.0,225.0,110.0,5.8,4.0,56.0
42,116.404,39.718,2017.0,1.0,2.0,18.0,207.0,225.0,110.0,5.8,4.0,56.0
43,116.404,39.718,2017.0,1.0,2.0,19.0,207.0,225.0,110.0,5.8,4.0,56.0
44,116.404,39.718,2017.0,1.0,2.0,20.0,207.0,225.0,110.0,5.8,4.0,56.0
45,116.404,39.718,2017.0,1.0,2.0,21.0,207.0,225.0,110.0,5.8,4.0,56.0
46,116.404,39.718,2017.0,1.0,2.0,22.0,207.0,225.0,110.0,5.8,4.0,56.0
47,116.404,39.718,2017.0,1.0,2.0,23.0,207.0,225.0,110.0,5.8,4.0,56.0
48,116.404,39.718,2017.0,1.0,3.0,0.0,207.0,225.0,110.0,5.8,4.0,56.0
49,116.404,39.718,2017.0,1.0,3.0,1.0,207.0,225.0,110.0,5.8,4.0,56.0
50,116.404,39.718,2017.0,1.0,3.0,2.0,207.0,225.0,110.0,5.8,4.0,56.0
51,116.404,39.718,2017.0,1.0,3.0,3.0,207.0,225.0,110.0,5.8,4.0,56.0
