,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.22,40.292,2017.0,1.0,1.0,0.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
1,116.22,40.292,2017.0,1.0,1.0,1.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
2,116.22,40.292,2017.0,1.0,1.0,2.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
3,116.22,40.292,2017.0,1.0,1.0,3.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
4,116.22,40.292,2017.0,1.0,1.0,4.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
5,116.22,40.292,2017.0,1.0,1.0,5.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
6,116.22,40.292,2017.0,1.0,1.0,6.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
7,116.22,40.292,2017.0,1.0,1.0,7.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
8,116.22,40.292,2017.0,1.0,1.0,8.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
9,116.22,40.292,2017.0,1.0,1.0,9.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
10,116.22,40.292,2017.0,1.0,1.0,10.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
11,116.22,40.292,2017.0,1.0,1.0,11.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
12,116.22,40.292,2017.0,1.0,1.0,12.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
13,116.22,40.292,2017.0,1.0,1.0,13.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
14,116.22,40.292,2017.0,1.0,1.0,14.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
15,116.22,40.292,2017.0,1.0,1.0,15.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
16,116.22,40.292,2017.0,1.0,1.0,16.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
17,116.22,40.292,2017.0,1.0,1.0,17.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
18,116.22,40.292,2017.0,1.0,1.0,18.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
19,116.22,40.292,2017.0,1.0,1.0,19.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
20,116.22,40.292,2017.0,1.0,1.0,20.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
21,116.22,40.292,2017.0,1.0,1.0,21.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
22,116.22,40.292,2017.0,1.0,1.0,22.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
23,116.22,40.292,2017.0,1.0,1.0,23.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
24,116.22,40.292,2017.0,1.0,2.0,0.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
25,116.22,40.292,2017.0,1.0,2.0,1.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
26,116.22,40.292,2017.0,1.0,2.0,2.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
27,116.22,40.292,2017.0,1.0,2.0,3.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
28,116.22,40.292,2017.0,1.0,2.0,4.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
29,116.22,40.292,2017.0,1.0,2.0,5.0,130.0,91.71428571428572,62.0,2.1,13.0,15.0
