,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,117.12,40.1,2017.0,1.0,1.0,0.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
1,117.12,40.1,2017.0,1.0,1.0,1.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
2,117.12,40.1,2017.0,1.0,1.0,2.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
3,117.12,40.1,2017.0,1.0,1.0,3.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
4,117.12,40.1,2017.0,1.0,1.0,4.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
5,117.12,40.1,2017.0,1.0,1.0,5.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
6,117.12,40.1,2017.0,1.0,1.0,6.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
7,117.12,40.1,2017.0,1.0,1.0,7.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
8,117.12,40.1,2017.0,1.0,1.0,8.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
9,117.12,40.1,2017.0,1.0,1.0,9.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
10,117.12,40.1,2017.0,1.0,1.0,10.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
11,117.12,40.1,2017.0,1.0,1.0,11.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
12,117.12,40.1,2017.0,1.0,1.0,12.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
13,117.12,40.1,2017.0,1.0,1.0,13.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
14,117.12,40.1,2017.0,1.0,1.0,14.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
15,117.12,40.1,2017.0,1.0,1.0,15.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
16,117.12,40.1,2017.0,1.0,1.0,16.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
17,117.12,40.1,2017.0,1.0,1.0,17.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
18,117.12,40.1,2017.0,1.0,1.0,18.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
19,117.12,40.1,2017.0,1.0,1.0,19.0,135.0,41.368421052631575,50.0,2.6,9.0,20.0
