,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.417,39.929,2017.0,1.0,1.0,0.0,153.0,163.0,90.0,3.2,2.0,43.0
1,116.417,39.929,2017.0,1.0,1.0,1.0,153.0,163.0,90.0,3.2,2.0,43.0
2,116.417,39.929,2017.0,1.0,1.0,2.0,153.0,163.0,90.0,3.2,2.0,43.0
3,116.417,39.929,2017.0,1.0,1.0,3.0,153.0,163.0,90.0,3.2,2.0,43.0
4,116.417,39.929,2017.0,1.0,1.0,4.0,153.0,163.0,90.0,3.2,2.0,43.0
5,116.417,39.929,2017.0,1.0,1.0,5.0,153.0,163.0,90.0,3.2,2.0,43.0
6,116.417,39.929,2017.0,1.0,1.0,6.0,153.0,163.0,90.0,3.2,2.0,43.0
7,116.417,39.929,2017.0,1.0,1.0,7.0,153.0,163.0,90.0,3.2,2.0,43.0
8,116.417,39.929,2017.0,1.0,1.0,8.0,153.0,163.0,90.0,3.2,2.0,43.0
9,116.417,39.929,2017.0,1.0,1.0,9.0,153.0,163.0,90.0,3.2,2.0,43.0
10,116.417,39.929,2017.0,1.0,1.0,10.0,153.0,163.0,90.0,3.2,2.0,43.0
11,116.417,39.929,2017.0,1.0,1.0,11.0,153.0,163.0,90.0,3.2,2.0,43.0
12,116.417,39.929,2017.0,1.0,1.0,12.0,153.0,163.0,90.0,3.2,2.0,43.0
13,116.417,39.929,2017.0,1.0,1.0,13.0,153.0,163.0,90.0,3.2,2.0,43.0
14,116.417,39.929,2017.0,1.0,1.0,14.0,153.0,163.0,90.0,3.2,2.0,43.0
15,116.417,39.929,2017.0,1.0,1.0,15.0,153.0,163.0,90.0,3.2,2.0,43.0
16,116.417,39.929,2017.0,1.0,1.0,16.0,153.0,163.0,90.0,3.2,2.0,43.0
17,116.417,39.929,2017.0,1.0,1.0,17.0,153.0,163.0,90.0,3.2,2.0,43.0
18,116.417,39.929,2017.0,1.0,1.0,18.0,153.0,163.0,90.0,3.2,2.0,43.0
19,116.417,39.929,2017.0,1.0,1.0,19.0,153.0,163.0,90.0,3.2,2.0,43.0
20,116.417,39.929,2017.0,1.0,1.0,20.0,153.0,163.0,90.0,3.2,2.0,43.0
21,116.417,39.929,2017.0,1.0,1.0,21.0,153.0,163.0,90.0,3.2,2.0,43.0
22,116.417,39.929,2017.0,1.0,1.0,22.0,153.0,163.0,90.0,3.2,2.0,43.0
23,116.417,39.929,2017.0,1.0,1.0,23.0,153.0,163.0,90.0,3.2,2.0,43.0
24,116.417,39.929,2017.0,1.0,2.0,0.0,153.0,163.0,90.0,3.2,2.0,43.0
25,116.417,39.929,2017.0,1.0,2.0,1.0,153.0,163.0,90.0,3.2,2.0,43.0
26,116.417,39.929,2017.0,1.0,2.0,2.0,153.0,163.0,90.0,3.2,2.0,43.0
27,116.417,39.929,2017.0,1.0,2.0,3.0,153.0,163.0,90.0,3.2,2.0,43.0
28,116.417,39.929,2017.0,1.0,2.0,4.0,153.0,163.0,90.0,3.2,2.0,43.0
29,116.417,39.929,2017.0,1.0,2.0,5.0,153.0,163.0,90.0,3.2,2.0,43.0
30,116.417,39.929,2017.0,1.0,2.0,6.0,153.0,163.0,90.0,3.2,2.0,43.0
31,116.417,39.929,2017.0,1.0,2.0,7.0,153.0,163.0,90.0,3.2,2.0,43.0
32,116.417,39.929,2017.0,1.0,2.0,8.0,153.0,163.0,90.0,3.2,2.0,43.0
33,116.417,39.929,2017.0,1.0,2.0,9.0,153.0,163.0,90.0,3.2,2.0,43.0
34,116.417,39.929,2017.0,1.0,2.0,10.0,153.0,163.0,90.0,3.2,2.0,43.0
35,116.417,39.929,2017.0,1.0,2.0,11.0,153.0,163.0,90.0,3.2,2.0,43.0
36,116.417,39.929,2017.0,1.0,2.0,12.0,153.0,163.0,90.0,3.2,2.0,43.0
37,116.417,39.929,2017.0,1.0,2.0,13.0,153.0,163.0,90.0,3.2,2.0,43.0
38,116.417,39.929,2017.0,1.0,2.0,14.0,153.0,163.0,90.0,3.2,2.0,43.0
39,116.417,39.929,2017.0,1.0,2.0,15.0,153.0,163.0,90.0,3.2,2.0,43.0
40,116.417,39.929,2017.0,1.0,2.0,16.0,153.0,163.0,90.0,3.2,2.0,43.0
41,116.417,39.929,2017.0,1.0,2.0,17.0,153.0,163.0,90.0,3.2,2.0,43.0
42,116.417,39.929,2017.0,1.0,2.0,18.0,153.0,163.0,90.0,3.2,2.0,43.0
43,116.417,39.929,2017.0,1.0,2.0,19.0,153.0,163.0,90.0,3.2,2.0,43.0
44,116.417,39.929,2017.0,1.0,2.0,20.0,153.0,163.0,90.0,3.2,2.0,43.0
45,116.417,39.929,2017.0,1.0,2.0,21.0,153.0,163.0,90.0,3.2,2.0,43.0
46,116.417,39.929,2017.0,1.0,2.0,22.0,153.0,163.0,90.0,3.2,2.0,43.0
47,116.417,39.929,2017.0,1.0,2.0,23.0,153.0,163.0,90.0,3.2,2.0,43.0
48,116.417,39.929,2017.0,1.0,3.0,0.0,153.0,163.0,90.0,3.2,2.0,43.0
49,116.417,39.929,2017.0,1.0,3.0,1.0,153.0,163.0,90.0,3.2,2.0,43.0
50,116.417,39.929,2017.0,1.0,3.0,2.0,153.0,163.0,90.0,3.2,2.0,43.0
51,116.417,39.929,2017.0,1.0,3.0,3.0,153.0,163.0,90.0,3.2,2.0,43.0
52,116.417,39.929,2017.0,1.0,3.0,4.0,153.0,163.0,90.0,3.2,2.0,43.0
53,116.417,39.929,2017.0,1.0,3.0,5.0,153.0,163.0,90.0,3.2,2.0,43.0
54,116.417,39.929,2017.0,1.0,3.0,6.0,153.0,163.0,90.0,3.2,2.0,43.0
55,116.417,39.929,2017.0,1.0,3.0,7.0,153.0,163.0,90.0,3.2,2.0,43.0
56,116.417,39.929,2017.0,1.0,3.0,8.0,153.0,163.0,90.0,3.2,2.0,43.0
57,116.417,39.929,2017.0,1.0,3.0,9.0,153.0,163.0,90.0,3.2,2.0,43.0
58,116.417,39.929,2017.0,1.0,3.0,10.0,153.0,163.0,90.0,3.2,2.0,43.0
59,116.417,39.929,2017.0,1.0,3.0,11.0,153.0,163.0,90.0,3.2,2.0,43.0
60,116.417,39.929,2017.0,1.0,3.0,12.0,153.0,163.0,90.0,3.2,2.0,43.0
61,116.417,39.929,2017.0,1.0,3.0,13.0,153.0,163.0,90.0,3.2,2.0,43.0
62,116.417,39.929,2017.0,1.0,3.0,14.0,153.0,163.0,90.0,3.2,2.0,43.0
63,116.417,39.929,2017.0,1.0,3.0,15.0,153.0,163.0,90.0,3.2,2.0,43.0
64,116.417,39.929,2017.0,1.0,3.0,16.0,153.0,163.0,90.0,3.2,2.0,43.0
65,116.417,39.929,2017.0,1.0,3.0,17.0,153.0,163.0,90.0,3.2,2.0,43.0
66,116.417,39.929,2017.0,1.0,3.0,18.0,153.0,163.0,90.0,3.2,2.0,43.0
67,116.417,39.929,2017.0,1.0,3.0,19.0,153.0,163.0,90.0,3.2,2.0,43.0
68,116.417,39.929,2017.0,1.0,3.0,20.0,153.0,163.0,90.0,3.2,2.0,43.0
69,116.417,39.929,2017.0,1.0,3.0,21.0,153.0,163.0,90.0,3.2,2.0,43.0
70,116.417,39.929,2017.0,1.0,3.0,22.0,153.0,163.0,90.0,3.2,2.0,43.0
71,116.417,39.929,2017.0,1.0,3.0,23.0,153.0,163.0,90.0,3.2,2.0,43.0
72,116.417,39.929,2017.0,1.0,4.0,0.0,153.0,163.0,90.0,3.2,2.0,43.0
73,116.417,39.929,2017.0,1.0,4.0,1.0,153.0,163.0,90.0,3.2,2.0,43.0
74,116.417,39.929,2017.0,1.0,4.0,2.0,153.0,163.0,90.0,3.2,2.0,43.0
75,116.417,39.929,2017.0,1.0,4.0,3.0,153.0,163.0,90.0,3.2,2.0,43.0
76,116.417,39.929,2017.0,1.0,4.0,4.0,153.0,163.0,90.0,3.2,2.0,43.0
77,116.417,39.929,2017.0,1.0,4.0,5.0,153.0,163.0,90.0,3.2,2.0,43.0
78,116.417,39.929,2017.0,1.0,4.0,6.0,153.0,163.0,90.0,3.2,2.0,43.0
79,116.417,39.929,2017.0,1.0,4.0,7.0,153.0,163.0,90.0,3.2,2.0,43.0
80,116.417,39.929,2017.0,1.0,4.0,8.0,153.0,163.0,90.0,3.2,2.0,43.0
81,116.417,39.929,2017.0,1.0,4.0,9.0,153.0,163.0,90.0,3.2,2.0,43.0
82,116.417,39.929,2017.0,1.0,4.0,10.0,153.0,163.0,90.0,3.2,2.0,43.0
83,116.417,39.929,2017.0,1.0,4.0,11.0,153.0,163.0,90.0,3.2,2.0,43.0
84,116.417,39.929,2017.0,1.0,4.0,12.0,153.0,163.0,90.0,3.2,2.0,43.0
85,116.417,39.929,2017.0,1.0,4.0,13.0,153.0,163.0,90.0,3.2,2.0,43.0
86,116.417,39.929,2017.0,1.0,4.0,14.0,153.0,163.0,90.0,3.2,2.0,43.0
87,116.417,39.929,2017.0,1.0,4.0,15.0,153.0,163.0,90.0,3.2,2.0,43.0
88,116.417,39.929,2017.0,1.0,4.0,16.0,153.0,163.0,90.0,3.2,2.0,43.0
89,116.417,39.929,2017.0,1.0,4.0,17.0,153.0,163.0,90.0,3.2,2.0,43.0
90,116.417,39.929,2017.0,1.0,4.0,18.0,153.0,163.0,90.0,3.2,2.0,43.0
91,116.417,39.929,2017.0,1.0,4.0,19.0,153.0,163.0,90.0,3.2,2.0,43.0
92,116.417,39.929,2017.0,1.0,4.0,20.0,153.0,163.0,90.0,3.2,2.0,43.0
93,116.417,39.929,2017.0,1.0,4.0,21.0,153.0,163.0,90.0,3.2,2.0,43.0
94,116.417,39.929,2017.0,1.0,4.0,22.0,153.0,163.0,90.0,3.2,2.0,43.0
95,116.417,39.929,2017.0,1.0,4.0,23.0,153.0,163.0,90.0,3.2,2.0,43.0
96,116.417,39.929,2017.0,1.0,5.0,0.0,153.0,163.0,90.0,3.2,2.0,43.0
97,116.417,39.929,2017.0,1.0,5.0,1.0,153.0,163.0,90.0,3.2,2.0,43.0
98,116.417,39.929,2017.0,1.0,5.0,2.0,153.0,163.0,90.0,3.2,2.0,43.0
99,116.417,39.929,2017.0,1.0,5.0,3.0,153.0,163.0,90.0,3.2,2.0,43.0
100,116.417,39.929,2017.0,1.0,5.0,4.0,153.0,163.0,90.0,3.2,2.0,43.0
101,116.417,39.929,2017.0,1.0,5.0,5.0,153.0,163.0,90.0,3.2,2.0,43.0
102,116.417,39.929,2017.0,1.0,5.0,6.0,153.0,163.0,90.0,3.2,2.0,43.0
103,116.417,39.929,2017.0,1.0,5.0,7.0,153.0,163.0,90.0,3.2,2.0,43.0
104,116.417,39.929,2017.0,1.0,5.0,8.0,153.0,163.0,90.0,3.2,2.0,43.0
105,116.417,39.929,2017.0,1.0,5.0,9.0,153.0,163.0,90.0,3.2,2.0,43.0
106,116.417,39.929,2017.0,1.0,5.0,10.0,153.0,163.0,90.0,3.2,2.0,43.0
107,116.417,39.929,2017.0,1.0,5.0,11.0,153.0,163.0,90.0,3.2,2.0,43.0
108,116.417,39.929,2017.0,1.0,5.0,12.0,153.0,163.0,90.0,3.2,2.0,43.0
109,116.417,39.929,2017.0,1.0,5.0,13.0,153.0,163.0,90.0,3.2,2.0,43.0
110,116.417,39.929,2017.0,1.0,5.0,14.0,153.0,163.0,90.0,3.2,2.0,43.0
111,116.417,39.929,2017.0,1.0,5.0,15.0,153.0,163.0,90.0,3.2,2.0,43.0
112,116.417,39.929,2017.0,1.0,5.0,16.0,153.0,163.0,90.0,3.2,2.0,43.0
113,116.417,39.929,2017.0,1.0,5.0,17.0,153.0,163.0,90.0,3.2,2.0,43.0
114,116.417,39.929,2017.0,1.0,5.0,18.0,153.0,163.0,90.0,3.2,2.0,43.0
115,116.417,39.929,2017.0,1.0,5.0,19.0,153.0,163.0,90.0,3.2,2.0,43.0
116,116.417,39.929,2017.0,1.0,5.0,20.0,153.0,163.0,90.0,3.2,2.0,43.0
117,116.417,39.929,2017.0,1.0,5.0,21.0,153.0,163.0,90.0,3.2,2.0,43.0
118,116.417,39.929,2017.0,1.0,5.0,22.0,153.0,163.0,90.0,3.2,2.0,43.0
119,116.417,39.929,2017.0,1.0,5.0,23.0,153.0,163.0,90.0,3.2,2.0,43.0
120,116.417,39.929,2017.0,1.0,6.0,0.0,153.0,163.0,90.0,3.2,2.0,43.0
121,116.417,39.929,2017.0,1.0,6.0,1.0,153.0,163.0,90.0,3.2,2.0,43.0
122,116.417,39.929,2017.0,1.0,6.0,2.0,153.0,163.0,90.0,3.2,2.0,43.0
123,116.417,39.929,2017.0,1.0,6.0,3.0,153.0,163.0,90.0,3.2,2.0,43.0
124,116.417,39.929,2017.0,1.0,6.0,4.0,153.0,163.0,90.0,3.2,2.0,43.0
125,116.417,39.929,2017.0,1.0,6.0,5.0,153.0,163.0,90.0,3.2,2.0,43.0
126,116.417,39.929,2017.0,1.0,6.0,6.0,153.0,163.0,90.0,3.2,2.0,43.0
127,116.417,39.929,2017.0,1.0,6.0,7.0,153.0,163.0,90.0,3.2,2.0,43.0
128,116.417,39.929,2017.0,1.0,6.0,8.0,153.0,163.0,90.0,3.2,2.0,43.0
129,116.417,39.929,2017.0,1.0,6.0,9.0,153.0,163.0,90.0,3.2,2.0,43.0
130,116.417,39.929,2017.0,1.0,6.0,10.0,153.0,163.0,90.0,3.2,2.0,43.0
131,116.417,39.929,2017.0,1.0,6.0,11.0,153.0,163.0,90.0,3.2,2.0,43.0
132,116.417,39.929,2017.0,1.0,6.0,12.0,153.0,163.0,90.0,3.2,2.0,43.0
133,116.417,39.929,2017.0,1.0,6.0,13.0,153.0,163.0,90.0,3.2,2.0,43.0
134,116.417,39.929,2017.0,1.0,6.0,14.0,153.0,163.0,90.0,3.2,2.0,43.0
135,116.417,39.929,2017.0,1.0,6.0,15.0,153.0,163.0,90.0,3.2,2.0,43.0
136,116.417,39.929,2017.0,1.0,6.0,16.0,153.0,163.0,90.0,3.2,2.0,43.0
137,116.417,39.929,2017.0,1.0,6.0,17.0,153.0,163.0,90.0,3.2,2.0,43.0
138,116.417,39.929,2017.0,1.0,6.0,18.0,153.0,163.0,90.0,3.2,2.0,43.0
139,116.417,39.929,2017.0,1.0,6.0,19.0,153.0,163.0,90.0,3.2,2.0,43.0
140,116.417,39.929,2017.0,1.0,6.0,20.0,153.0,163.0,90.0,3.2,2.0,43.0
141,116.417,39.929,2017.0,1.0,6.0,21.0,153.0,163.0,90.0,3.2,2.0,43.0
142,116.417,39.929,2017.0,1.0,6.0,22.0,153.0,163.0,90.0,3.2,2.0,43.0
143,116.417,39.929,2017.0,1.0,6.0,23.0,153.0,163.0,90.0,3.2,2.0,43.0
144,116.417,39.929,2017.0,1.0,7.0,0.0,153.0,163.0,90.0,3.2,2.0,43.0
145,116.417,39.929,2017.0,1.0,7.0,1.0,153.0,163.0,90.0,3.2,2.0,43.0
146,116.417,39.929,2017.0,1.0,7.0,2.0,153.0,163.0,90.0,3.2,2.0,43.0
147,116.417,39.929,2017.0,1.0,7.0,3.0,153.0,163.0,90.0,3.2,2.0,43.0
148,116.417,39.929,2017.0,1.0,7.0,4.0,153.0,163.0,90.0,3.2,2.0,43.0
149,116.417,39.929,2017.0,1.0,7.0,5.0,153.0,163.0,90.0,3.2,2.0,43.0
150,116.417,39.929,2017.0,1.0,7.0,6.0,153.0,163.0,90.0,3.2,2.0,43.0
151,116.417,39.929,2017.0,1.0,7.0,7.0,153.0,163.0,90.0,3.2,2.0,43.0
152,116.417,39.929,2017.0,1.0,7.0,8.0,153.0,163.0,90.0,3.2,2.0,43.0
153,116.417,39.929,2017.0,1.0,7.0,9.0,153.0,163.0,90.0,3.2,2.0,43.0
154,116.417,39.929,2017.0,1.0,7.0,10.0,153.0,163.0,90.0,3.2,2.0,43.0
155,116.417,39.929,2017.0,1.0,7.0,11.0,153.0,163.0,90.0,3.2,2.0,43.0
156,116.417,39.929,2017.0,1.0,7.0,12.0,153.0,163.0,90.0,3.2,2.0,43.0
157,116.417,39.929,2017.0,1.0,7.0,13.0,153.0,163.0,90.0,3.2,2.0,43.0
158,116.417,39.929,2017.0,1.0,7.0,14.0,153.0,163.0,90.0,3.2,2.0,43.0
159,116.417,39.929,2017.0,1.0,7.0,15.0,153.0,163.0,90.0,3.2,2.0,43.0
160,116.417,39.929,2017.0,1.0,7.0,16.0,153.0,163.0,90.0,3.2,2.0,43.0
161,116.417,39.929,2017.0,1.0,7.0,17.0,153.0,163.0,90.0,3.2,2.0,43.0
162,116.417,39.929,2017.0,1.0,7.0,18.0,153.0,163.0,90.0,3.2,2.0,43.0
163,116.417,39.929,2017.0,1.0,7.0,19.0,153.0,163.0,90.0,3.2,2.0,43.0
164,116.417,39.929,2017.0,1.0,7.0,20.0,153.0,163.0,90.0,3.2,2.0,43.0
165,116.417,39.929,2017.0,1.0,7.0,21.0,153.0,163.0,90.0,3.2,2.0,43.0
166,116.417,39.929,2017.0,1.0,7.0,22.0,153.0,163.0,90.0,3.2,2.0,43.0
167,116.417,39.929,2017.0,1.0,7.0,23.0,153.0,163.0,90.0,3.2,2.0,43.0
168,116.417,39.929,2017.0,1.0,8.0,0.0,153.0,163.0,90.0,3.2,2.0,43.0
169,116.417,39.929,2017.0,1.0,8.0,1.0,153.0,163.0,90.0,3.2,2.0,43.0
170,116.417,39.929,2017.0,1.0,8.0,2.0,153.0,163.0,90.0,3.2,2.0,43.0
171,116.417,39.929,2017.0,1.0,8.0,3.0,153.0,163.0,90.0,3.2,2.0,43.0
172,116.417,39.929,2017.0,1.0,8.0,4.0,153.0,163.0,90.0,3.2,2.0,43.0
173,116.417,39.929,2017.0,1.0,8.0,5.0,153.0,163.0,90.0,3.2,2.0,43.0
174,116.417,39.929,2017.0,1.0,8.0,6.0,153.0,163.0,90.0,3.2,2.0,43.0
175,116.417,39.929,2017.0,1.0,8.0,7.0,153.0,163.0,90.0,3.2,2.0,43.0
176,116.417,39.929,2017.0,1.0,8.0,8.0,153.0,163.0,90.0,3.2,2.0,43.0
177,116.417,39.929,2017.0,1.0,8.0,9.0,153.0,163.0,90.0,3.2,2.0,43.0
178,116.417,39.929,2017.0,1.0,8.0,10.0,153.0,163.0,90.0,3.2,2.0,43.0
179,116.417,39.929,2017.0,1.0,8.0,11.0,153.0,163.0,90.0,3.2,2.0,43.0
180,116.417,39.929,2017.0,1.0,8.0,12.0,153.0,163.0,90.0,3.2,2.0,43.0
181,116.417,39.929,2017.0,1.0,8.0,13.0,153.0,163.0,90.0,3.2,2.0,43.0
182,116.417,39.929,2017.0,1.0,8.0,14.0,153.0,163.0,90.0,3.2,2.0,43.0
