,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.13600000000001,39.742,2017.0,1.0,1.0,0.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
1,116.13600000000001,39.742,2017.0,1.0,1.0,1.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
2,116.13600000000001,39.742,2017.0,1.0,1.0,2.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
3,116.13600000000001,39.742,2017.0,1.0,1.0,3.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
4,116.13600000000001,39.742,2017.0,1.0,1.0,4.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
5,116.13600000000001,39.742,2017.0,1.0,1.0,5.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
6,116.13600000000001,39.742,2017.0,1.0,1.0,6.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
7,116.13600000000001,39.742,2017.0,1.0,1.0,7.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
8,116.13600000000001,39.742,2017.0,1.0,1.0,8.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
9,116.13600000000001,39.742,2017.0,1.0,1.0,9.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
10,116.13600000000001,39.742,2017.0,1.0,1.0,10.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
11,116.13600000000001,39.742,2017.0,1.0,1.0,11.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
12,116.13600000000001,39.742,2017.0,1.0,1.0,12.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
13,116.13600000000001,39.742,2017.0,1.0,1.0,13.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
14,116.13600000000001,39.742,2017.0,1.0,1.0,14.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
15,116.13600000000001,39.742,2017.0,1.0,1.0,15.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
16,116.13600000000001,39.742,2017.0,1.0,1.0,16.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
17,116.13600000000001,39.742,2017.0,1.0,1.0,17.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
18,116.13600000000001,39.742,2017.0,1.0,1.0,18.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
19,116.13600000000001,39.742,2017.0,1.0,1.0,19.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
20,116.13600000000001,39.742,2017.0,1.0,1.0,20.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
21,116.13600000000001,39.742,2017.0,1.0,1.0,21.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
22,116.13600000000001,39.742,2017.0,1.0,1.0,22.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
23,116.13600000000001,39.742,2017.0,1.0,1.0,23.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
24,116.13600000000001,39.742,2017.0,1.0,2.0,0.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
25,116.13600000000001,39.742,2017.0,1.0,2.0,1.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
26,116.13600000000001,39.742,2017.0,1.0,2.0,2.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
27,116.13600000000001,39.742,2017.0,1.0,2.0,3.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
28,116.13600000000001,39.742,2017.0,1.0,2.0,4.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
29,116.13600000000001,39.742,2017.0,1.0,2.0,5.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
30,116.13600000000001,39.742,2017.0,1.0,2.0,6.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
31,116.13600000000001,39.742,2017.0,1.0,2.0,7.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
32,116.13600000000001,39.742,2017.0,1.0,2.0,8.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
33,116.13600000000001,39.742,2017.0,1.0,2.0,9.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
34,116.13600000000001,39.742,2017.0,1.0,2.0,10.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
35,116.13600000000001,39.742,2017.0,1.0,2.0,11.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
36,116.13600000000001,39.742,2017.0,1.0,2.0,12.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
37,116.13600000000001,39.742,2017.0,1.0,2.0,13.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
38,116.13600000000001,39.742,2017.0,1.0,2.0,14.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
39,116.13600000000001,39.742,2017.0,1.0,2.0,15.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
40,116.13600000000001,39.742,2017.0,1.0,2.0,16.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
41,116.13600000000001,39.742,2017.0,1.0,2.0,17.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
42,116.13600000000001,39.742,2017.0,1.0,2.0,18.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
43,116.13600000000001,39.742,2017.0,1.0,2.0,19.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
44,116.13600000000001,39.742,2017.0,1.0,2.0,20.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
45,116.13600000000001,39.742,2017.0,1.0,2.0,21.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
46,116.13600000000001,39.742,2017.0,1.0,2.0,22.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
47,116.13600000000001,39.742,2017.0,1.0,2.0,23.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
48,116.13600000000001,39.742,2017.0,1.0,3.0,0.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
49,116.13600000000001,39.742,2017.0,1.0,3.0,1.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
50,116.13600000000001,39.742,2017.0,1.0,3.0,2.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
51,116.13600000000001,39.742,2017.0,1.0,3.0,3.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
52,116.13600000000001,39.742,2017.0,1.0,3.0,4.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
53,116.13600000000001,39.742,2017.0,1.0,3.0,5.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
54,116.13600000000001,39.742,2017.0,1.0,3.0,6.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
55,116.13600000000001,39.742,2017.0,1.0,3.0,7.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
56,116.13600000000001,39.742,2017.0,1.0,3.0,8.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
57,116.13600000000001,39.742,2017.0,1.0,3.0,9.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
58,116.13600000000001,39.742,2017.0,1.0,3.0,10.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
59,116.13600000000001,39.742,2017.0,1.0,3.0,11.0,131.0,190.14285714285717,94.0,3.1,3.0,30.0
