,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.279,39.863,2017.0,1.0,1.0,0.0,191.0,202.0,112.0,4.8,7.0,32.0
1,116.279,39.863,2017.0,1.0,1.0,1.0,191.0,202.0,112.0,4.8,7.0,32.0
2,116.279,39.863,2017.0,1.0,1.0,2.0,191.0,202.0,112.0,4.8,7.0,32.0
3,116.279,39.863,2017.0,1.0,1.0,3.0,191.0,202.0,112.0,4.8,7.0,32.0
4,116.279,39.863,2017.0,1.0,1.0,4.0,191.0,202.0,112.0,4.8,7.0,32.0
5,116.279,39.863,2017.0,1.0,1.0,5.0,191.0,202.0,112.0,4.8,7.0,32.0
6,116.279,39.863,2017.0,1.0,1.0,6.0,191.0,202.0,112.0,4.8,7.0,32.0
7,116.279,39.863,2017.0,1.0,1.0,7.0,191.0,202.0,112.0,4.8,7.0,32.0
8,116.279,39.863,2017.0,1.0,1.0,8.0,191.0,202.0,112.0,4.8,7.0,32.0
9,116.279,39.863,2017.0,1.0,1.0,9.0,191.0,202.0,112.0,4.8,7.0,32.0
10,116.279,39.863,2017.0,1.0,1.0,10.0,191.0,202.0,112.0,4.8,7.0,32.0
11,116.279,39.863,2017.0,1.0,1.0,11.0,191.0,202.0,112.0,4.8,7.0,32.0
12,116.279,39.863,2017.0,1.0,1.0,12.0,191.0,202.0,112.0,4.8,7.0,32.0
13,116.279,39.863,2017.0,1.0,1.0,13.0,191.0,202.0,112.0,4.8,7.0,32.0
14,116.279,39.863,2017.0,1.0,1.0,14.0,191.0,202.0,112.0,4.8,7.0,32.0
15,116.279,39.863,2017.0,1.0,1.0,15.0,191.0,202.0,112.0,4.8,7.0,32.0
16,116.279,39.863,2017.0,1.0,1.0,16.0,191.0,202.0,112.0,4.8,7.0,32.0
17,116.279,39.863,2017.0,1.0,1.0,17.0,191.0,202.0,112.0,4.8,7.0,32.0
18,116.279,39.863,2017.0,1.0,1.0,18.0,191.0,202.0,112.0,4.8,7.0,32.0
19,116.279,39.863,2017.0,1.0,1.0,19.0,191.0,202.0,112.0,4.8,7.0,32.0
20,116.279,39.863,2017.0,1.0,1.0,20.0,191.0,202.0,112.0,4.8,7.0,32.0
21,116.279,39.863,2017.0,1.0,1.0,21.0,191.0,202.0,112.0,4.8,7.0,32.0
22,116.279,39.863,2017.0,1.0,1.0,22.0,191.0,202.0,112.0,4.8,7.0,32.0
23,116.279,39.863,2017.0,1.0,1.0,23.0,191.0,202.0,112.0,4.8,7.0,32.0
24,116.279,39.863,2017.0,1.0,2.0,0.0,191.0,202.0,112.0,4.8,7.0,32.0
25,116.279,39.863,2017.0,1.0,2.0,1.0,191.0,202.0,112.0,4.8,7.0,32.0
26,116.279,39.863,2017.0,1.0,2.0,2.0,191.0,202.0,112.0,4.8,7.0,32.0
27,116.279,39.863,2017.0,1.0,2.0,3.0,191.0,202.0,112.0,4.8,7.0,32.0
28,116.279,39.863,2017.0,1.0,2.0,4.0,191.0,202.0,112.0,4.8,7.0,32.0
29,116.279,39.863,2017.0,1.0,2.0,5.0,191.0,202.0,112.0,4.8,7.0,32.0
30,116.279,39.863,2017.0,1.0,2.0,6.0,191.0,202.0,112.0,4.8,7.0,32.0
31,116.279,39.863,2017.0,1.0,2.0,7.0,191.0,202.0,112.0,4.8,7.0,32.0
32,116.279,39.863,2017.0,1.0,2.0,8.0,191.0,202.0,112.0,4.8,7.0,32.0
33,116.279,39.863,2017.0,1.0,2.0,9.0,191.0,202.0,112.0,4.8,7.0,32.0
34,116.279,39.863,2017.0,1.0,2.0,10.0,191.0,202.0,112.0,4.8,7.0,32.0
35,116.279,39.863,2017.0,1.0,2.0,11.0,191.0,202.0,112.0,4.8,7.0,32.0
36,116.279,39.863,2017.0,1.0,2.0,12.0,191.0,202.0,112.0,4.8,7.0,32.0
37,116.279,39.863,2017.0,1.0,2.0,13.0,191.0,202.0,112.0,4.8,7.0,32.0
38,116.279,39.863,2017.0,1.0,2.0,14.0,191.0,202.0,112.0,4.8,7.0,32.0
39,116.279,39.863,2017.0,1.0,2.0,15.0,191.0,202.0,112.0,4.8,7.0,32.0
40,116.279,39.863,2017.0,1.0,2.0,16.0,191.0,202.0,112.0,4.8,7.0,32.0
41,116.279,39.863,2017.0,1.0,2.0,17.0,191.0,202.0,112.0,4.8,7.0,32.0
42,116.279,39.863,2017.0,1.0,2.0,18.0,191.0,202.0,112.0,4.8,7.0,32.0
43,116.279,39.863,2017.0,1.0,2.0,19.0,191.0,202.0,112.0,4.8,7.0,32.0
44,116.279,39.863,2017.0,1.0,2.0,20.0,191.0,202.0,112.0,4.8,7.0,32.0
45,116.279,39.863,2017.0,1.0,2.0,21.0,191.0,202.0,112.0,4.8,7.0,32.0
46,116.279,39.863,2017.0,1.0,2.0,22.0,191.0,202.0,112.0,4.8,7.0,32.0
47,116.279,39.863,2017.0,1.0,2.0,23.0,191.0,202.0,112.0,4.8,7.0,32.0
