,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.339,39.929,2017.0,1.0,1.0,0.0,161.0,182.5,89.0,3.5,2.0,35.0
1,116.339,39.929,2017.0,1.0,1.0,1.0,161.0,182.5,89.0,3.5,2.0,35.0
2,116.339,39.929,2017.0,1.0,1.0,2.0,161.0,182.5,89.0,3.5,2.0,35.0
3,116.339,39.929,2017.0,1.0,1.0,3.0,161.0,182.5,89.0,3.5,2.0,35.0
4,116.339,39.929,2017.0,1.0,1.0,4.0,161.0,182.5,89.0,3.5,2.0,35.0
5,116.339,39.929,2017.0,1.0,1.0,5.0,161.0,182.5,89.0,3.5,2.0,35.0
6,116.339,39.929,2017.0,1.0,1.0,6.0,161.0,182.5,89.0,3.5,2.0,35.0
7,116.339,39.929,2017.0,1.0,1.0,7.0,161.0,182.5,89.0,3.5,2.0,35.0
8,116.339,39.929,2017.0,1.0,1.0,8.0,161.0,182.5,89.0,3.5,2.0,35.0
9,116.339,39.929,2017.0,1.0,1.0,9.0,161.0,182.5,89.0,3.5,2.0,35.0
10,116.339,39.929,2017.0,1.0,1.0,10.0,161.0,182.5,89.0,3.5,2.0,35.0
11,116.339,39.929,2017.0,1.0,1.0,11.0,161.0,182.5,89.0,3.5,2.0,35.0
12,116.339,39.929,2017.0,1.0,1.0,12.0,161.0,182.5,89.0,3.5,2.0,35.0
13,116.339,39.929,2017.0,1.0,1.0,13.0,161.0,182.5,89.0,3.5,2.0,35.0
14,116.339,39.929,2017.0,1.0,1.0,14.0,161.0,182.5,89.0,3.5,2.0,35.0
15,116.339,39.929,2017.0,1.0,1.0,15.0,161.0,182.5,89.0,3.5,2.0,35.0
16,116.339,39.929,2017.0,1.0,1.0,16.0,161.0,182.5,89.0,3.5,2.0,35.0
17,116.339,39.929,2017.0,1.0,1.0,17.0,161.0,182.5,89.0,3.5,2.0,35.0
18,116.339,39.929,2017.0,1.0,1.0,18.0,161.0,182.5,89.0,3.5,2.0,35.0
19,116.339,39.929,2017.0,1.0,1.0,19.0,161.0,182.5,89.0,3.5,2.0,35.0
20,116.339,39.929,2017.0,1.0,1.0,20.0,161.0,182.5,89.0,3.5,2.0,35.0
21,116.339,39.929,2017.0,1.0,1.0,21.0,161.0,182.5,89.0,3.5,2.0,35.0
22,116.339,39.929,2017.0,1.0,1.0,22.0,161.0,182.5,89.0,3.5,2.0,35.0
23,116.339,39.929,2017.0,1.0,1.0,23.0,161.0,182.5,89.0,3.5,2.0,35.0
24,116.339,39.929,2017.0,1.0,2.0,0.0,161.0,182.5,89.0,3.5,2.0,35.0
25,116.339,39.929,2017.0,1.0,2.0,1.0,161.0,182.5,89.0,3.5,2.0,35.0
26,116.339,39.929,2017.0,1.0,2.0,2.0,161.0,182.5,89.0,3.5,2.0,35.0
27,116.339,39.929,2017.0,1.0,2.0,3.0,161.0,182.5,89.0,3.5,2.0,35.0
28,116.339,39.929,2017.0,1.0,2.0,4.0,161.0,182.5,89.0,3.5,2.0,35.0
29,116.339,39.929,2017.0,1.0,2.0,5.0,161.0,182.5,89.0,3.5,2.0,35.0
30,116.339,39.929,2017.0,1.0,2.0,6.0,161.0,182.5,89.0,3.5,2.0,35.0
31,116.339,39.929,2017.0,1.0,2.0,7.0,161.0,182.5,89.0,3.5,2.0,35.0
32,116.339,39.929,2017.0,1.0,2.0,8.0,161.0,182.5,89.0,3.5,2.0,35.0
33,116.339,39.929,2017.0,1.0,2.0,9.0,161.0,182.5,89.0,3.5,2.0,35.0
34,116.339,39.929,2017.0,1.0,2.0,10.0,161.0,182.5,89.0,3.5,2.0,35.0
