,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.184,39.914,2017.0,1.0,1.0,0.0,124.0,131.0,90.0,2.5,3.0,26.0
1,116.184,39.914,2017.0,1.0,1.0,1.0,124.0,131.0,90.0,2.5,3.0,26.0
2,116.184,39.914,2017.0,1.0,1.0,2.0,124.0,131.0,90.0,2.5,3.0,26.0
3,116.184,39.914,2017.0,1.0,1.0,3.0,124.0,131.0,90.0,2.5,3.0,26.0
4,116.184,39.914,2017.0,1.0,1.0,4.0,124.0,131.0,90.0,2.5,3.0,26.0
5,116.184,39.914,2017.0,1.0,1.0,5.0,124.0,131.0,90.0,2.5,3.0,26.0
6,116.184,39.914,2017.0,1.0,1.0,6.0,124.0,131.0,90.0,2.5,3.0,26.0
7,116.184,39.914,2017.0,1.0,1.0,7.0,124.0,131.0,90.0,2.5,3.0,26.0
8,116.184,39.914,2017.0,1.0,1.0,8.0,124.0,131.0,90.0,2.5,3.0,26.0
9,116.184,39.914,2017.0,1.0,1.0,9.0,124.0,131.0,90.0,2.5,3.0,26.0
10,116.184,39.914,2017.0,1.0,1.0,10.0,124.0,131.0,90.0,2.5,3.0,26.0
11,116.184,39.914,2017.0,1.0,1.0,11.0,124.0,131.0,90.0,2.5,3.0,26.0
12,116.184,39.914,2017.0,1.0,1.0,12.0,124.0,131.0,90.0,2.5,3.0,26.0
13,116.184,39.914,2017.0,1.0,1.0,13.0,124.0,131.0,90.0,2.5,3.0,26.0
14,116.184,39.914,2017.0,1.0,1.0,14.0,124.0,131.0,90.0,2.5,3.0,26.0
15,116.184,39.914,2017.0,1.0,1.0,15.0,124.0,131.0,90.0,2.5,3.0,26.0
16,116.184,39.914,2017.0,1.0,1.0,16.0,124.0,131.0,90.0,2.5,3.0,26.0
17,116.184,39.914,2017.0,1.0,1.0,17.0,124.0,131.0,90.0,2.5,3.0,26.0
18,116.184,39.914,2017.0,1.0,1.0,18.0,124.0,131.0,90.0,2.5,3.0,26.0
19,116.184,39.914,2017.0,1.0,1.0,19.0,124.0,131.0,90.0,2.5,3.0,26.0
20,116.184,39.914,2017.0,1.0,1.0,20.0,124.0,131.0,90.0,2.5,3.0,26.0
21,116.184,39.914,2017.0,1.0,1.0,21.0,124.0,131.0,90.0,2.5,3.0,26.0
22,116.184,39.914,2017.0,1.0,1.0,22.0,124.0,131.0,90.0,2.5,3.0,26.0
23,116.184,39.914,2017.0,1.0,1.0,23.0,124.0,131.0,90.0,2.5,3.0,26.0
24,116.184,39.914,2017.0,1.0,2.0,0.0,124.0,131.0,90.0,2.5,3.0,26.0
25,116.184,39.914,2017.0,1.0,2.0,1.0,124.0,131.0,90.0,2.5,3.0,26.0
