,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.0,39.58,2017.0,1.0,1.0,0.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
1,116.0,39.58,2017.0,1.0,1.0,1.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
2,116.0,39.58,2017.0,1.0,1.0,2.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
3,116.0,39.58,2017.0,1.0,1.0,3.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
4,116.0,39.58,2017.0,1.0,1.0,4.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
5,116.0,39.58,2017.0,1.0,1.0,5.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
6,116.0,39.58,2017.0,1.0,1.0,6.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
7,116.0,39.58,2017.0,1.0,1.0,7.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
8,116.0,39.58,2017.0,1.0,1.0,8.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
9,116.0,39.58,2017.0,1.0,1.0,9.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
10,116.0,39.58,2017.0,1.0,1.0,10.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
11,116.0,39.58,2017.0,1.0,1.0,11.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
12,116.0,39.58,2017.0,1.0,1.0,12.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
13,116.0,39.58,2017.0,1.0,1.0,13.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
14,116.0,39.58,2017.0,1.0,1.0,14.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
15,116.0,39.58,2017.0,1.0,1.0,15.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
16,116.0,39.58,2017.0,1.0,1.0,16.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
17,116.0,39.58,2017.0,1.0,1.0,17.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
18,116.0,39.58,2017.0,1.0,1.0,18.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
19,116.0,39.58,2017.0,1.0,1.0,19.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
20,116.0,39.58,2017.0,1.0,1.0,20.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
21,116.0,39.58,2017.0,1.0,1.0,21.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
22,116.0,39.58,2017.0,1.0,1.0,22.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
23,116.0,39.58,2017.0,1.0,1.0,23.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
24,116.0,39.58,2017.0,1.0,2.0,0.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
25,116.0,39.58,2017.0,1.0,2.0,1.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
26,116.0,39.58,2017.0,1.0,2.0,2.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
27,116.0,39.58,2017.0,1.0,2.0,3.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
28,116.0,39.58,2017.0,1.0,2.0,4.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
29,116.0,39.58,2017.0,1.0,2.0,5.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
30,116.0,39.58,2017.0,1.0,2.0,6.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
31,116.0,39.58,2017.0,1.0,2.0,7.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
32,116.0,39.58,2017.0,1.0,2.0,8.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
33,116.0,39.58,2017.0,1.0,2.0,9.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
34,116.0,39.58,2017.0,1.0,2.0,10.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
35,116.0,39.58,2017.0,1.0,2.0,11.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
36,116.0,39.58,2017.0,1.0,2.0,12.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
37,116.0,39.58,2017.0,1.0,2.0,13.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
38,116.0,39.58,2017.0,1.0,2.0,14.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
39,116.0,39.58,2017.0,1.0,2.0,15.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
40,116.0,39.58,2017.0,1.0,2.0,16.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
41,116.0,39.58,2017.0,1.0,2.0,17.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
42,116.0,39.58,2017.0,1.0,2.0,18.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
43,116.0,39.58,2017.0,1.0,2.0,19.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
44,116.0,39.58,2017.0,1.0,2.0,20.0,163.0,161.42857142857142,74.0,5.4,2.0,16.0
