,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.368,39.856,2017.0,1.0,1.0,0.0,198.0,152.0,107.0,4.2,2.0,40.0
1,116.368,39.856,2017.0,1.0,1.0,1.0,198.0,152.0,107.0,4.2,2.0,40.0
2,116.368,39.856,2017.0,1.0,1.0,2.0,198.0,152.0,107.0,4.2,2.0,40.0
3,116.368,39.856,2017.0,1.0,1.0,3.0,198.0,152.0,107.0,4.2,2.0,40.0
4,116.368,39.856,2017.0,1.0,1.0,4.0,198.0,152.0,107.0,4.2,2.0,40.0
5,116.368,39.856,2017.0,1.0,1.0,5.0,198.0,152.0,107.0,4.2,2.0,40.0
6,116.368,39.856,2017.0,1.0,1.0,6.0,198.0,152.0,107.0,4.2,2.0,40.0
7,116.368,39.856,2017.0,1.0,1.0,7.0,198.0,152.0,107.0,4.2,2.0,40.0
8,116.368,39.856,2017.0,1.0,1.0,8.0,198.0,152.0,107.0,4.2,2.0,40.0
9,116.368,39.856,2017.0,1.0,1.0,9.0,198.0,152.0,107.0,4.2,2.0,40.0
10,116.368,39.856,2017.0,1.0,1.0,10.0,198.0,152.0,107.0,4.2,2.0,40.0
11,116.368,39.856,2017.0,1.0,1.0,11.0,198.0,152.0,107.0,4.2,2.0,40.0
12,116.368,39.856,2017.0,1.0,1.0,12.0,198.0,152.0,107.0,4.2,2.0,40.0
13,116.368,39.856,2017.0,1.0,1.0,13.0,198.0,152.0,107.0,4.2,2.0,40.0
14,116.368,39.856,2017.0,1.0,1.0,14.0,198.0,152.0,107.0,4.2,2.0,40.0
15,116.368,39.856,2017.0,1.0,1.0,15.0,198.0,152.0,107.0,4.2,2.0,40.0
16,116.368,39.856,2017.0,1.0,1.0,16.0,198.0,152.0,107.0,4.2,2.0,40.0
17,116.368,39.856,2017.0,1.0,1.0,17.0,198.0,152.0,107.0,4.2,2.0,40.0
18,116.368,39.856,2017.0,1.0,1.0,18.0,198.0,152.0,107.0,4.2,2.0,40.0
19,116.368,39.856,2017.0,1.0,1.0,19.0,198.0,152.0,107.0,4.2,2.0,40.0
20,116.368,39.856,2017.0,1.0,1.0,20.0,198.0,152.0,107.0,4.2,2.0,40.0
21,116.368,39.856,2017.0,1.0,1.0,21.0,198.0,152.0,107.0,4.2,2.0,40.0
22,116.368,39.856,2017.0,1.0,1.0,22.0,198.0,152.0,107.0,4.2,2.0,40.0
23,116.368,39.856,2017.0,1.0,1.0,23.0,198.0,152.0,107.0,4.2,2.0,40.0
24,116.368,39.856,2017.0,1.0,2.0,0.0,198.0,152.0,107.0,4.2,2.0,40.0
25,116.368,39.856,2017.0,1.0,2.0,1.0,198.0,152.0,107.0,4.2,2.0,40.0
26,116.368,39.856,2017.0,1.0,2.0,2.0,198.0,152.0,107.0,4.2,2.0,40.0
27,116.368,39.856,2017.0,1.0,2.0,3.0,198.0,152.0,107.0,4.2,2.0,40.0
28,116.368,39.856,2017.0,1.0,2.0,4.0,198.0,152.0,107.0,4.2,2.0,40.0
29,116.368,39.856,2017.0,1.0,2.0,5.0,198.0,152.0,107.0,4.2,2.0,40.0
