,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.461,39.937,2017.0,1.0,1.0,0.0,160.0,203.5,80.0,3.8,8.0,60.0
1,116.461,39.937,2017.0,1.0,1.0,1.0,160.0,203.5,80.0,3.8,8.0,60.0
2,116.461,39.937,2017.0,1.0,1.0,2.0,160.0,203.5,80.0,3.8,8.0,60.0
3,116.461,39.937,2017.0,1.0,1.0,3.0,160.0,203.5,80.0,3.8,8.0,60.0
4,116.461,39.937,2017.0,1.0,1.0,4.0,160.0,203.5,80.0,3.8,8.0,60.0
5,116.461,39.937,2017.0,1.0,1.0,5.0,160.0,203.5,80.0,3.8,8.0,60.0
6,116.461,39.937,2017.0,1.0,1.0,6.0,160.0,203.5,80.0,3.8,8.0,60.0
7,116.461,39.937,2017.0,1.0,1.0,7.0,160.0,203.5,80.0,3.8,8.0,60.0
8,116.461,39.937,2017.0,1.0,1.0,8.0,160.0,203.5,80.0,3.8,8.0,60.0
9,116.461,39.937,2017.0,1.0,1.0,9.0,160.0,203.5,80.0,3.8,8.0,60.0
10,116.461,39.937,2017.0,1.0,1.0,10.0,160.0,203.5,80.0,3.8,8.0,60.0
11,116.461,39.937,2017.0,1.0,1.0,11.0,160.0,203.5,80.0,3.8,8.0,60.0
12,116.461,39.937,2017.0,1.0,1.0,12.0,160.0,203.5,80.0,3.8,8.0,60.0
13,116.461,39.937,2017.0,1.0,1.0,13.0,160.0,203.5,80.0,3.8,8.0,60.0
14,116.461,39.937,2017.0,1.0,1.0,14.0,160.0,203.5,80.0,3.8,8.0,60.0
15,116.461,39.937,2017.0,1.0,1.0,15.0,160.0,203.5,80.0,3.8,8.0,60.0
16,116.461,39.937,2017.0,1.0,1.0,16.0,160.0,203.5,80.0,3.8,8.0,60.0
17,116.461,39.937,2017.0,1.0,1.0,17.0,160.0,203.5,80.0,3.8,8.0,60.0
18,116.461,39.937,2017.0,1.0,1.0,18.0,160.0,203.5,80.0,3.8,8.0,60.0
19,116.461,39.937,2017.0,1.0,1.0,19.0,160.0,203.5,80.0,3.8,8.0,60.0
20,116.461,39.937,2017.0,1.0,1.0,20.0,160.0,203.5,80.0,3.8,8.0,60.0
21,116.461,39.937,2017.0,1.0,1.0,21.0,160.0,203.5,80.0,3.8,8.0,60.0
22,116.461,39.937,2017.0,1.0,1.0,22.0,160.0,203.5,80.0,3.8,8.0,60.0
23,116.461,39.937,2017.0,1.0,1.0,23.0,160.0,203.5,80.0,3.8,8.0,60.0
