,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.23,40.217,2017.0,1.0,1.0,0.0,136.0,177.0,78.0,2.6,4.0,16.0
1,116.23,40.217,2017.0,1.0,1.0,1.0,136.0,177.0,78.0,2.6,4.0,16.0
2,116.23,40.217,2017.0,1.0,1.0,2.0,136.0,177.0,78.0,2.6,4.0,16.0
3,116.23,40.217,2017.0,1.0,1.0,3.0,136.0,177.0,78.0,2.6,4.0,16.0
4,116.23,40.217,2017.0,1.0,1.0,4.0,136.0,177.0,78.0,2.6,4.0,16.0
5,116.23,40.217,2017.0,1.0,1.0,5.0,136.0,177.0,78.0,2.6,4.0,16.0
6,116.23,40.217,2017.0,1.0,1.0,6.0,136.0,177.0,78.0,2.6,4.0,16.0
7,116.23,40.217,2017.0,1.0,1.0,7.0,136.0,177.0,78.0,2.6,4.0,16.0
8,116.23,40.217,2017.0,1.0,1.0,8.0,136.0,177.0,78.0,2.6,4.0,16.0
9,116.23,40.217,2017.0,1.0,1.0,9.0,136.0,177.0,78.0,2.6,4.0,16.0
10,116.23,40.217,2017.0,1.0,1.0,10.0,136.0,177.0,78.0,2.6,4.0,16.0
11,116.23,40.217,2017.0,1.0,1.0,11.0,136.0,177.0,78.0,2.6,4.0,16.0
12,116.23,40.217,2017.0,1.0,1.0,12.0,136.0,177.0,78.0,2.6,4.0,16.0
13,116.23,40.217,2017.0,1.0,1.0,13.0,136.0,177.0,78.0,2.6,4.0,16.0
14,116.23,40.217,2017.0,1.0,1.0,14.0,136.0,177.0,78.0,2.6,4.0,16.0
15,116.23,40.217,2017.0,1.0,1.0,15.0,136.0,177.0,78.0,2.6,4.0,16.0
16,116.23,40.217,2017.0,1.0,1.0,16.0,136.0,177.0,78.0,2.6,4.0,16.0
17,116.23,40.217,2017.0,1.0,1.0,17.0,136.0,177.0,78.0,2.6,4.0,16.0
18,116.23,40.217,2017.0,1.0,1.0,18.0,136.0,177.0,78.0,2.6,4.0,16.0
19,116.23,40.217,2017.0,1.0,1.0,19.0,136.0,177.0,78.0,2.6,4.0,16.0
20,116.23,40.217,2017.0,1.0,1.0,20.0,136.0,177.0,78.0,2.6,4.0,16.0
21,116.23,40.217,2017.0,1.0,1.0,21.0,136.0,177.0,78.0,2.6,4.0,16.0
22,116.23,40.217,2017.0,1.0,1.0,22.0,136.0,177.0,78.0,2.6,4.0,16.0
23,116.23,40.217,2017.0,1.0,1.0,23.0,136.0,177.0,78.0,2.6,4.0,16.0
24,116.23,40.217,2017.0,1.0,2.0,0.0,136.0,177.0,78.0,2.6,4.0,16.0
25,116.23,40.217,2017.0,1.0,2.0,1.0,136.0,177.0,78.0,2.6,4.0,16.0
26,116.23,40.217,2017.0,1.0,2.0,2.0,136.0,177.0,78.0,2.6,4.0,16.0
27,116.23,40.217,2017.0,1.0,2.0,3.0,136.0,177.0,78.0,2.6,4.0,16.0
28,116.23,40.217,2017.0,1.0,2.0,4.0,136.0,177.0,78.0,2.6,4.0,16.0
29,116.23,40.217,2017.0,1.0,2.0,5.0,136.0,177.0,78.0,2.6,4.0,16.0
30,116.23,40.217,2017.0,1.0,2.0,6.0,136.0,177.0,78.0,2.6,4.0,16.0
31,116.23,40.217,2017.0,1.0,2.0,7.0,136.0,177.0,78.0,2.6,4.0,16.0
32,116.23,40.217,2017.0,1.0,2.0,8.0,136.0,177.0,78.0,2.6,4.0,16.0
33,116.23,40.217,2017.0,1.0,2.0,9.0,136.0,177.0,78.0,2.6,4.0,16.0
34,116.23,40.217,2017.0,1.0,2.0,10.0,136.0,177.0,78.0,2.6,4.0,16.0
35,116.23,40.217,2017.0,1.0,2.0,11.0,136.0,177.0,78.0,2.6,4.0,16.0
36,116.23,40.217,2017.0,1.0,2.0,12.0,136.0,177.0,78.0,2.6,4.0,16.0
37,116.23,40.217,2017.0,1.0,2.0,13.0,136.0,177.0,78.0,2.6,4.0,16.0
38,116.23,40.217,2017.0,1.0,2.0,14.0,136.0,177.0,78.0,2.6,4.0,16.0
39,116.23,40.217,2017.0,1.0,2.0,15.0,136.0,177.0,78.0,2.6,4.0,16.0
40,116.23,40.217,2017.0,1.0,2.0,16.0,136.0,177.0,78.0,2.6,4.0,16.0
41,116.23,40.217,2017.0,1.0,2.0,17.0,136.0,177.0,78.0,2.6,4.0,16.0
42,116.23,40.217,2017.0,1.0,2.0,18.0,136.0,177.0,78.0,2.6,4.0,16.0
43,116.23,40.217,2017.0,1.0,2.0,19.0,136.0,177.0,78.0,2.6,4.0,16.0
44,116.23,40.217,2017.0,1.0,2.0,20.0,136.0,177.0,78.0,2.6,4.0,16.0
45,116.23,40.217,2017.0,1.0,2.0,21.0,136.0,177.0,78.0,2.6,4.0,16.0
46,116.23,40.217,2017.0,1.0,2.0,22.0,136.0,177.0,78.0,2.6,4.0,16.0
47,116.23,40.217,2017.0,1.0,2.0,23.0,136.0,177.0,78.0,2.6,4.0,16.0
48,116.23,40.217,2017.0,1.0,3.0,0.0,136.0,177.0,78.0,2.6,4.0,16.0
49,116.23,40.217,2017.0,1.0,3.0,1.0,136.0,177.0,78.0,2.6,4.0,16.0
50,116.23,40.217,2017.0,1.0,3.0,2.0,136.0,177.0,78.0,2.6,4.0,16.0
51,116.23,40.217,2017.0,1.0,3.0,3.0,136.0,177.0,78.0,2.6,4.0,16.0
52,116.23,40.217,2017.0,1.0,3.0,4.0,136.0,177.0,78.0,2.6,4.0,16.0
53,116.23,40.217,2017.0,1.0,3.0,5.0,136.0,177.0,78.0,2.6,4.0,16.0
54,116.23,40.217,2017.0,1.0,3.0,6.0,136.0,177.0,78.0,2.6,4.0,16.0
55,116.23,40.217,2017.0,1.0,3.0,7.0,136.0,177.0,78.0,2.6,4.0,16.0
56,116.23,40.217,2017.0,1.0,3.0,8.0,136.0,177.0,78.0,2.6,4.0,16.0
57,116.23,40.217,2017.0,1.0,3.0,9.0,136.0,177.0,78.0,2.6,4.0,16.0
58,116.23,40.217,2017.0,1.0,3.0,10.0,136.0,177.0,78.0,2.6,4.0,16.0
59,116.23,40.217,2017.0,1.0,3.0,11.0,136.0,177.0,78.0,2.6,4.0,16.0
60,116.23,40.217,2017.0,1.0,3.0,12.0,136.0,177.0,78.0,2.6,4.0,16.0
61,116.23,40.217,2017.0,1.0,3.0,13.0,136.0,177.0,78.0,2.6,4.0,16.0
62,116.23,40.217,2017.0,1.0,3.0,14.0,136.0,177.0,78.0,2.6,4.0,16.0
63,116.23,40.217,2017.0,1.0,3.0,15.0,136.0,177.0,78.0,2.6,4.0,16.0
64,116.23,40.217,2017.0,1.0,3.0,16.0,136.0,177.0,78.0,2.6,4.0,16.0
65,116.23,40.217,2017.0,1.0,3.0,17.0,136.0,177.0,78.0,2.6,4.0,16.0
66,116.23,40.217,2017.0,1.0,3.0,18.0,136.0,177.0,78.0,2.6,4.0,16.0
67,116.23,40.217,2017.0,1.0,3.0,19.0,136.0,177.0,78.0,2.6,4.0,16.0
68,116.23,40.217,2017.0,1.0,3.0,20.0,136.0,177.0,78.0,2.6,4.0,16.0
69,116.23,40.217,2017.0,1.0,3.0,21.0,136.0,177.0,78.0,2.6,4.0,16.0
70,116.23,40.217,2017.0,1.0,3.0,22.0,136.0,177.0,78.0,2.6,4.0,16.0
71,116.23,40.217,2017.0,1.0,3.0,23.0,136.0,177.0,78.0,2.6,4.0,16.0
72,116.23,40.217,2017.0,1.0,4.0,0.0,136.0,177.0,78.0,2.6,4.0,16.0
73,116.23,40.217,2017.0,1.0,4.0,1.0,136.0,177.0,78.0,2.6,4.0,16.0
74,116.23,40.217,2017.0,1.0,4.0,2.0,136.0,177.0,78.0,2.6,4.0,16.0
75,116.23,40.217,2017.0,1.0,4.0,3.0,136.0,177.0,78.0,2.6,4.0,16.0
76,116.23,40.217,2017.0,1.0,4.0,4.0,136.0,177.0,78.0,2.6,4.0,16.0
77,116.23,40.217,2017.0,1.0,4.0,5.0,136.0,177.0,78.0,2.6,4.0,16.0
78,116.23,40.217,2017.0,1.0,4.0,6.0,136.0,177.0,78.0,2.6,4.0,16.0
79,116.23,40.217,2017.0,1.0,4.0,7.0,136.0,177.0,78.0,2.6,4.0,16.0
80,116.23,40.217,2017.0,1.0,4.0,8.0,136.0,177.0,78.0,2.6,4.0,16.0
81,116.23,40.217,2017.0,1.0,4.0,9.0,136.0,177.0,78.0,2.6,4.0,16.0
82,116.23,40.217,2017.0,1.0,4.0,10.0,136.0,177.0,78.0,2.6,4.0,16.0
83,116.23,40.217,2017.0,1.0,4.0,11.0,136.0,177.0,78.0,2.6,4.0,16.0
84,116.23,40.217,2017.0,1.0,4.0,12.0,136.0,177.0,78.0,2.6,4.0,16.0
85,116.23,40.217,2017.0,1.0,4.0,13.0,136.0,177.0,78.0,2.6,4.0,16.0
86,116.23,40.217,2017.0,1.0,4.0,14.0,136.0,177.0,78.0,2.6,4.0,16.0
87,116.23,40.217,2017.0,1.0,4.0,15.0,136.0,177.0,78.0,2.6,4.0,16.0
88,116.23,40.217,2017.0,1.0,4.0,16.0,136.0,177.0,78.0,2.6,4.0,16.0
89,116.23,40.217,2017.0,1.0,4.0,17.0,136.0,177.0,78.0,2.6,4.0,16.0
90,116.23,40.217,2017.0,1.0,4.0,18.0,136.0,177.0,78.0,2.6,4.0,16.0
91,116.23,40.217,2017.0,1.0,4.0,19.0,136.0,177.0,78.0,2.6,4.0,16.0
92,116.23,40.217,2017.0,1.0,4.0,20.0,136.0,177.0,78.0,2.6,4.0,16.0
93,116.23,40.217,2017.0,1.0,4.0,21.0,136.0,177.0,78.0,2.6,4.0,16.0
94,116.23,40.217,2017.0,1.0,4.0,22.0,136.0,177.0,78.0,2.6,4.0,16.0
95,116.23,40.217,2017.0,1.0,4.0,23.0,136.0,177.0,78.0,2.6,4.0,16.0
96,116.23,40.217,2017.0,1.0,5.0,0.0,136.0,177.0,78.0,2.6,4.0,16.0
97,116.23,40.217,2017.0,1.0,5.0,1.0,136.0,177.0,78.0,2.6,4.0,16.0
98,116.23,40.217,2017.0,1.0,5.0,2.0,136.0,177.0,78.0,2.6,4.0,16.0
99,116.23,40.217,2017.0,1.0,5.0,3.0,136.0,177.0,78.0,2.6,4.0,16.0
100,116.23,40.217,2017.0,1.0,5.0,4.0,136.0,177.0,78.0,2.6,4.0,16.0
101,116.23,40.217,2017.0,1.0,5.0,5.0,136.0,177.0,78.0,2.6,4.0,16.0
102,116.23,40.217,2017.0,1.0,5.0,6.0,136.0,177.0,78.0,2.6,4.0,16.0
103,116.23,40.217,2017.0,1.0,5.0,7.0,136.0,177.0,78.0,2.6,4.0,16.0
104,116.23,40.217,2017.0,1.0,5.0,8.0,136.0,177.0,78.0,2.6,4.0,16.0
105,116.23,40.217,2017.0,1.0,5.0,9.0,136.0,177.0,78.0,2.6,4.0,16.0
106,116.23,40.217,2017.0,1.0,5.0,10.0,136.0,177.0,78.0,2.6,4.0,16.0
107,116.23,40.217,2017.0,1.0,5.0,11.0,136.0,177.0,78.0,2.6,4.0,16.0
108,116.23,40.217,2017.0,1.0,5.0,12.0,136.0,177.0,78.0,2.6,4.0,16.0
109,116.23,40.217,2017.0,1.0,5.0,13.0,136.0,177.0,78.0,2.6,4.0,16.0
110,116.23,40.217,2017.0,1.0,5.0,14.0,136.0,177.0,78.0,2.6,4.0,16.0
111,116.23,40.217,2017.0,1.0,5.0,15.0,136.0,177.0,78.0,2.6,4.0,16.0
112,116.23,40.217,2017.0,1.0,5.0,16.0,136.0,177.0,78.0,2.6,4.0,16.0
113,116.23,40.217,2017.0,1.0,5.0,17.0,136.0,177.0,78.0,2.6,4.0,16.0
114,116.23,40.217,2017.0,1.0,5.0,18.0,136.0,177.0,78.0,2.6,4.0,16.0
115,116.23,40.217,2017.0,1.0,5.0,19.0,136.0,177.0,78.0,2.6,4.0,16.0
116,116.23,40.217,2017.0,1.0,5.0,20.0,136.0,177.0,78.0,2.6,4.0,16.0
117,116.23,40.217,2017.0,1.0,5.0,21.0,136.0,177.0,78.0,2.6,4.0,16.0
118,116.23,40.217,2017.0,1.0,5.0,22.0,136.0,177.0,78.0,2.6,4.0,16.0
