,longitude,latitude,year,month,day,hour,weather,temperature,pressure,humidity,wind_direction,wind_speed
0,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,0.0,10.0,-6.0,1029.0,29.0,114.0,1.0
1,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,1.0,10.0,-6.0,1029.0,29.0,114.0,1.0
2,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,2.0,10.0,-6.0,1029.0,29.0,114.0,1.0
3,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,3.0,10.0,-6.0,1029.0,29.0,114.0,1.0
4,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,4.0,10.0,-6.0,1029.0,29.0,114.0,1.0
5,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,5.0,10.0,-6.0,1029.0,29.0,114.0,1.0
6,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,6.0,10.0,-6.0,1029.0,29.0,114.0,1.0
7,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,7.0,10.0,-6.0,1029.0,29.0,114.0,1.0
8,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,8.0,10.0,-6.0,1029.0,29.0,114.0,1.0
9,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,9.0,10.0,-6.0,1029.0,29.0,114.0,1.0
10,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,10.0,10.0,-6.0,1029.0,29.0,114.0,1.0
11,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,11.0,10.0,-6.0,1029.0,29.0,114.0,1.0
12,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,12.0,10.0,-6.0,1029.0,29.0,114.0,1.0
13,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,13.0,10.0,-6.0,1029.0,29.0,114.0,1.0
14,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,14.0,10.0,-6.0,1029.0,29.0,114.0,1.0
15,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,15.0,10.0,-6.0,1029.0,29.0,114.0,1.0
16,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,16.0,10.0,-6.0,1029.0,29.0,114.0,1.0
17,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,17.0,10.0,-6.0,1029.0,29.0,114.0,1.0
18,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,18.0,10.0,-6.0,1029.0,29.0,114.0,1.0
19,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,19.0,10.0,-6.0,1029.0,29.0,114.0,1.0
20,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,20.0,10.0,-6.0,1029.0,29.0,114.0,1.0
21,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,21.0,10.0,-6.0,1029.0,29.0,114.0,1.0
22,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,22.0,10.0,-6.0,1029.0,29.0,114.0,1.0
23,117.11777777777776,40.16944444444445,2017.0,1.0,1.0,23.0,10.0,-6.0,1029.0,29.0,114.0,1.0
24,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,0.0,10.0,-6.0,1029.0,29.0,114.0,1.0
25,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,1.0,10.0,-6.0,1029.0,29.0,114.0,1.0
26,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,2.0,10.0,-6.0,1029.0,29.0,114.0,1.0
27,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,3.0,10.0,-6.0,1029.0,29.0,114.0,1.0
28,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,4.0,10.0,-6.0,1029.0,29.0,114.0,1.0
29,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,5.0,10.0,-6.0,1029.0,29.0,114.0,1.0
30,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,6.0,10.0,-6.0,1029.0,29.0,114.0,1.0
31,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,7.0,10.0,-6.0,1029.0,29.0,114.0,1.0
32,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,8.0,10.0,-6.0,1029.0,29.0,114.0,1.0
33,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,9.0,10.0,-6.0,1029.0,29.0,114.0,1.0
34,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,10.0,10.0,-6.0,1029.0,29.0,114.0,1.0
35,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,11.0,10.0,-6.0,1029.0,29.0,114.0,1.0
36,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,12.0,10.0,-6.0,1029.0,29.0,114.0,1.0
37,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,13.0,10.0,-6.0,1029.0,29.0,114.0,1.0
38,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,14.0,10.0,-6.0,1029.0,29.0,114.0,1.0
39,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,15.0,10.0,-6.0,1029.0,29.0,114.0,1.0
40,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,16.0,10.0,-6.0,1029.0,29.0,114.0,1.0
41,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,17.0,10.0,-6.0,1029.0,29.0,114.0,1.0
42,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,18.0,10.0,-6.0,1029.0,29.0,114.0,1.0
43,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,19.0,10.0,-6.0,1029.0,29.0,114.0,1.0
44,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,20.0,10.0,-6.0,1029.0,29.0,114.0,1.0
45,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,21.0,10.0,-6.0,1029.0,29.0,114.0,1.0
46,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,22.0,10.0,-6.0,1029.0,29.0,114.0,1.0
47,117.11777777777776,40.16944444444445,2017.0,1.0,2.0,23.0,10.0,-6.0,1029.0,29.0,114.0,1.0
48,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,0.0,10.0,-6.0,1029.0,29.0,114.0,1.0
49,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,1.0,10.0,-6.0,1029.0,29.0,114.0,1.0
50,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,2.0,10.0,-6.0,1029.0,29.0,114.0,1.0
51,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,3.0,10.0,-6.0,1029.0,29.0,114.0,1.0
52,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,4.0,10.0,-6.0,1029.0,29.0,114.0,1.0
53,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,5.0,10.0,-6.0,1029.0,29.0,114.0,1.0
54,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,6.0,10.0,-6.0,1029.0,29.0,114.0,1.0
55,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,7.0,10.0,-6.0,1029.0,29.0,114.0,1.0
56,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,8.0,10.0,-6.0,1029.0,29.0,114.0,1.0
57,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,9.0,10.0,-6.0,1029.0,29.0,114.0,1.0
58,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,10.0,10.0,-6.0,1029.0,29.0,114.0,1.0
59,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,11.0,10.0,-6.0,1029.0,29.0,114.0,1.0
60,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,12.0,10.0,-6.0,1029.0,29.0,114.0,1.0
61,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,13.0,10.0,-6.0,1029.0,29.0,114.0,1.0
62,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,14.0,10.0,-6.0,1029.0,29.0,114.0,1.0
63,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,15.0,10.0,-6.0,1029.0,29.0,114.0,1.0
64,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,16.0,10.0,-6.0,1029.0,29.0,114.0,1.0
65,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,17.0,10.0,-6.0,1029.0,29.0,114.0,1.0
66,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,18.0,10.0,-6.0,1029.0,29.0,114.0,1.0
67,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,19.0,10.0,-6.0,1029.0,29.0,114.0,1.0
68,117.11777777777776,40.16944444444445,2017.0,1.0,3.0,20.0,10.0,-6.0,1029.0,29.0,114.0,1.0
