,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.655,40.126999999999995,2017.0,1.0,1.0,0.0,115.0,123.5,75.0,4.2,3.0,26.0
1,116.655,40.126999999999995,2017.0,1.0,1.0,1.0,115.0,123.5,75.0,4.2,3.0,26.0
2,116.655,40.126999999999995,2017.0,1.0,1.0,2.0,115.0,123.5,75.0,4.2,3.0,26.0
3,116.655,40.126999999999995,2017.0,1.0,1.0,3.0,115.0,123.5,75.0,4.2,3.0,26.0
4,116.655,40.126999999999995,2017.0,1.0,1.0,4.0,115.0,123.5,75.0,4.2,3.0,26.0
5,116.655,40.126999999999995,2017.0,1.0,1.0,5.0,115.0,123.5,75.0,4.2,3.0,26.0
6,116.655,40.126999999999995,2017.0,1.0,1.0,6.0,115.0,123.5,75.0,4.2,3.0,26.0
7,116.655,40.126999999999995,2017.0,1.0,1.0,7.0,115.0,123.5,75.0,4.2,3.0,26.0
8,116.655,40.126999999999995,2017.0,1.0,1.0,8.0,115.0,123.5,75.0,4.2,3.0,26.0
9,116.655,40.126999999999995,2017.0,1.0,1.0,9.0,115.0,123.5,75.0,4.2,3.0,26.0
10,116.655,40.126999999999995,2017.0,1.0,1.0,10.0,115.0,123.5,75.0,4.2,3.0,26.0
11,116.655,40.126999999999995,2017.0,1.0,1.0,11.0,115.0,123.5,75.0,4.2,3.0,26.0
12,116.655,40.126999999999995,2017.0,1.0,1.0,12.0,115.0,123.5,75.0,4.2,3.0,26.0
13,116.655,40.126999999999995,2017.0,1.0,1.0,13.0,115.0,123.5,75.0,4.2,3.0,26.0
14,116.655,40.126999999999995,2017.0,1.0,1.0,14.0,115.0,123.5,75.0,4.2,3.0,26.0
15,116.655,40.126999999999995,2017.0,1.0,1.0,15.0,115.0,123.5,75.0,4.2,3.0,26.0
16,116.655,40.126999999999995,2017.0,1.0,1.0,16.0,115.0,123.5,75.0,4.2,3.0,26.0
17,116.655,40.126999999999995,2017.0,1.0,1.0,17.0,115.0,123.5,75.0,4.2,3.0,26.0
18,116.655,40.126999999999995,2017.0,1.0,1.0,18.0,115.0,123.5,75.0,4.2,3.0,26.0
19,116.655,40.126999999999995,2017.0,1.0,1.0,19.0,115.0,123.5,75.0,4.2,3.0,26.0
