,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.663,39.885999999999996,2017.0,1.0,1.0,0.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
1,116.663,39.885999999999996,2017.0,1.0,1.0,1.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
2,116.663,39.885999999999996,2017.0,1.0,1.0,2.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
3,116.663,39.885999999999996,2017.0,1.0,1.0,3.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
4,116.663,39.885999999999996,2017.0,1.0,1.0,4.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
5,116.663,39.885999999999996,2017.0,1.0,1.0,5.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
6,116.663,39.885999999999996,2017.0,1.0,1.0,6.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
7,116.663,39.885999999999996,2017.0,1.0,1.0,7.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
8,116.663,39.885999999999996,2017.0,1.0,1.0,8.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
9,116.663,39.885999999999996,2017.0,1.0,1.0,9.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
10,116.663,39.885999999999996,2017.0,1.0,1.0,10.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
11,116.663,39.885999999999996,2017.0,1.0,1.0,11.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
12,116.663,39.885999999999996,2017.0,1.0,1.0,12.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
13,116.663,39.885999999999996,2017.0,1.0,1.0,13.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
14,116.663,39.885999999999996,2017.0,1.0,1.0,14.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
15,116.663,39.885999999999996,2017.0,1.0,1.0,15.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
16,116.663,39.885999999999996,2017.0,1.0,1.0,16.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
17,116.663,39.885999999999996,2017.0,1.0,1.0,17.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
18,116.663,39.885999999999996,2017.0,1.0,1.0,18.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
19,116.663,39.885999999999996,2017.0,1.0,1.0,19.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
20,116.663,39.885999999999996,2017.0,1.0,1.0,20.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
21,116.663,39.885999999999996,2017.0,1.0,1.0,21.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
22,116.663,39.885999999999996,2017.0,1.0,1.0,22.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
23,116.663,39.885999999999996,2017.0,1.0,1.0,23.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
24,116.663,39.885999999999996,2017.0,1.0,2.0,0.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
25,116.663,39.885999999999996,2017.0,1.0,2.0,1.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
26,116.663,39.885999999999996,2017.0,1.0,2.0,2.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
27,116.663,39.885999999999996,2017.0,1.0,2.0,3.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
28,116.663,39.885999999999996,2017.0,1.0,2.0,4.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
29,116.663,39.885999999999996,2017.0,1.0,2.0,5.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
30,116.663,39.885999999999996,2017.0,1.0,2.0,6.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
31,116.663,39.885999999999996,2017.0,1.0,2.0,7.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
32,116.663,39.885999999999996,2017.0,1.0,2.0,8.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
33,116.663,39.885999999999996,2017.0,1.0,2.0,9.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
34,116.663,39.885999999999996,2017.0,1.0,2.0,10.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
35,116.663,39.885999999999996,2017.0,1.0,2.0,11.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
36,116.663,39.885999999999996,2017.0,1.0,2.0,12.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
37,116.663,39.885999999999996,2017.0,1.0,2.0,13.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
38,116.663,39.885999999999996,2017.0,1.0,2.0,14.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
39,116.663,39.885999999999996,2017.0,1.0,2.0,15.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
40,116.663,39.885999999999996,2017.0,1.0,2.0,16.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
41,116.663,39.885999999999996,2017.0,1.0,2.0,17.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
42,116.663,39.885999999999996,2017.0,1.0,2.0,18.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
43,116.663,39.885999999999996,2017.0,1.0,2.0,19.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
44,116.663,39.885999999999996,2017.0,1.0,2.0,20.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
45,116.663,39.885999999999996,2017.0,1.0,2.0,21.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
46,116.663,39.885999999999996,2017.0,1.0,2.0,22.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
47,116.663,39.885999999999996,2017.0,1.0,2.0,23.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
48,116.663,39.885999999999996,2017.0,1.0,3.0,0.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
49,116.663,39.885999999999996,2017.0,1.0,3.0,1.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
50,116.663,39.885999999999996,2017.0,1.0,3.0,2.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
51,116.663,39.885999999999996,2017.0,1.0,3.0,3.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
52,116.663,39.885999999999996,2017.0,1.0,3.0,4.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
53,116.663,39.885999999999996,2017.0,1.0,3.0,5.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
54,116.663,39.885999999999996,2017.0,1.0,3.0,6.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
55,116.663,39.885999999999996,2017.0,1.0,3.0,7.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
56,116.663,39.885999999999996,2017.0,1.0,3.0,8.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
57,116.663,39.885999999999996,2017.0,1.0,3.0,9.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
58,116.663,39.885999999999996,2017.0,1.0,3.0,10.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
59,116.663,39.885999999999996,2017.0,1.0,3.0,11.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
60,116.663,39.885999999999996,2017.0,1.0,3.0,12.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
61,116.663,39.885999999999996,2017.0,1.0,3.0,13.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
62,116.663,39.885999999999996,2017.0,1.0,3.0,14.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
63,116.663,39.885999999999996,2017.0,1.0,3.0,15.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
64,116.663,39.885999999999996,2017.0,1.0,3.0,16.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
65,116.663,39.885999999999996,2017.0,1.0,3.0,17.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
66,116.663,39.885999999999996,2017.0,1.0,3.0,18.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
67,116.663,39.885999999999996,2017.0,1.0,3.0,19.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
68,116.663,39.885999999999996,2017.0,1.0,3.0,20.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
69,116.663,39.885999999999996,2017.0,1.0,3.0,21.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
70,116.663,39.885999999999996,2017.0,1.0,3.0,22.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
71,116.663,39.885999999999996,2017.0,1.0,3.0,23.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
72,116.663,39.885999999999996,2017.0,1.0,4.0,0.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
73,116.663,39.885999999999996,2017.0,1.0,4.0,1.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
74,116.663,39.885999999999996,2017.0,1.0,4.0,2.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
75,116.663,39.885999999999996,2017.0,1.0,4.0,3.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
76,116.663,39.885999999999996,2017.0,1.0,4.0,4.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
77,116.663,39.885999999999996,2017.0,1.0,4.0,5.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
78,116.663,39.885999999999996,2017.0,1.0,4.0,6.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
79,116.663,39.885999999999996,2017.0,1.0,4.0,7.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
80,116.663,39.885999999999996,2017.0,1.0,4.0,8.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
81,116.663,39.885999999999996,2017.0,1.0,4.0,9.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
82,116.663,39.885999999999996,2017.0,1.0,4.0,10.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
83,116.663,39.885999999999996,2017.0,1.0,4.0,11.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
84,116.663,39.885999999999996,2017.0,1.0,4.0,12.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
85,116.663,39.885999999999996,2017.0,1.0,4.0,13.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
86,116.663,39.885999999999996,2017.0,1.0,4.0,14.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
87,116.663,39.885999999999996,2017.0,1.0,4.0,15.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
88,116.663,39.885999999999996,2017.0,1.0,4.0,16.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
89,116.663,39.885999999999996,2017.0,1.0,4.0,17.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
90,116.663,39.885999999999996,2017.0,1.0,4.0,18.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
91,116.663,39.885999999999996,2017.0,1.0,4.0,19.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
92,116.663,39.885999999999996,2017.0,1.0,4.0,20.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
93,116.663,39.885999999999996,2017.0,1.0,4.0,21.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
94,116.663,39.885999999999996,2017.0,1.0,4.0,22.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
95,116.663,39.885999999999996,2017.0,1.0,4.0,23.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
96,116.663,39.885999999999996,2017.0,1.0,5.0,0.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
97,116.663,39.885999999999996,2017.0,1.0,5.0,1.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
98,116.663,39.885999999999996,2017.0,1.0,5.0,2.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
99,116.663,39.885999999999996,2017.0,1.0,5.0,3.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
100,116.663,39.885999999999996,2017.0,1.0,5.0,4.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
101,116.663,39.885999999999996,2017.0,1.0,5.0,5.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
102,116.663,39.885999999999996,2017.0,1.0,5.0,6.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
103,116.663,39.885999999999996,2017.0,1.0,5.0,7.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
104,116.663,39.885999999999996,2017.0,1.0,5.0,8.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
105,116.663,39.885999999999996,2017.0,1.0,5.0,9.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
106,116.663,39.885999999999996,2017.0,1.0,5.0,10.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
107,116.663,39.885999999999996,2017.0,1.0,5.0,11.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
108,116.663,39.885999999999996,2017.0,1.0,5.0,12.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
109,116.663,39.885999999999996,2017.0,1.0,5.0,13.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
110,116.663,39.885999999999996,2017.0,1.0,5.0,14.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
111,116.663,39.885999999999996,2017.0,1.0,5.0,15.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
112,116.663,39.885999999999996,2017.0,1.0,5.0,16.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
113,116.663,39.885999999999996,2017.0,1.0,5.0,17.0,215.0,149.96428571428572,88.0,4.9,4.0,39.0
