,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.352,39.878,2017.0,1.0,1.0,0.0,192.0,217.6,95.0,3.5,6.0,34.0
1,116.352,39.878,2017.0,1.0,1.0,1.0,192.0,217.6,95.0,3.5,6.0,34.0
2,116.352,39.878,2017.0,1.0,1.0,2.0,192.0,217.6,95.0,3.5,6.0,34.0
3,116.352,39.878,2017.0,1.0,1.0,3.0,192.0,217.6,95.0,3.5,6.0,34.0
4,116.352,39.878,2017.0,1.0,1.0,4.0,192.0,217.6,95.0,3.5,6.0,34.0
5,116.352,39.878,2017.0,1.0,1.0,5.0,192.0,217.6,95.0,3.5,6.0,34.0
6,116.352,39.878,2017.0,1.0,1.0,6.0,192.0,217.6,95.0,3.5,6.0,34.0
7,116.352,39.878,2017.0,1.0,1.0,7.0,192.0,217.6,95.0,3.5,6.0,34.0
8,116.352,39.878,2017.0,1.0,1.0,8.0,192.0,217.6,95.0,3.5,6.0,34.0
9,116.352,39.878,2017.0,1.0,1.0,9.0,192.0,217.6,95.0,3.5,6.0,34.0
10,116.352,39.878,2017.0,1.0,1.0,10.0,192.0,217.6,95.0,3.5,6.0,34.0
11,116.352,39.878,2017.0,1.0,1.0,11.0,192.0,217.6,95.0,3.5,6.0,34.0
12,116.352,39.878,2017.0,1.0,1.0,12.0,192.0,217.6,95.0,3.5,6.0,34.0
13,116.352,39.878,2017.0,1.0,1.0,13.0,192.0,217.6,95.0,3.5,6.0,34.0
14,116.352,39.878,2017.0,1.0,1.0,14.0,192.0,217.6,95.0,3.5,6.0,34.0
15,116.352,39.878,2017.0,1.0,1.0,15.0,192.0,217.6,95.0,3.5,6.0,34.0
16,116.352,39.878,2017.0,1.0,1.0,16.0,192.0,217.6,95.0,3.5,6.0,34.0
17,116.352,39.878,2017.0,1.0,1.0,17.0,192.0,217.6,95.0,3.5,6.0,34.0
18,116.352,39.878,2017.0,1.0,1.0,18.0,192.0,217.6,95.0,3.5,6.0,34.0
19,116.352,39.878,2017.0,1.0,1.0,19.0,192.0,217.6,95.0,3.5,6.0,34.0
20,116.352,39.878,2017.0,1.0,1.0,20.0,192.0,217.6,95.0,3.5,6.0,34.0
21,116.352,39.878,2017.0,1.0,1.0,21.0,192.0,217.6,95.0,3.5,6.0,34.0
22,116.352,39.878,2017.0,1.0,1.0,22.0,192.0,217.6,95.0,3.5,6.0,34.0
23,116.352,39.878,2017.0,1.0,1.0,23.0,192.0,217.6,95.0,3.5,6.0,34.0
24,116.352,39.878,2017.0,1.0,2.0,0.0,192.0,217.6,95.0,3.5,6.0,34.0
25,116.352,39.878,2017.0,1.0,2.0,1.0,192.0,217.6,95.0,3.5,6.0,34.0
26,116.352,39.878,2017.0,1.0,2.0,2.0,192.0,217.6,95.0,3.5,6.0,34.0
27,116.352,39.878,2017.0,1.0,2.0,3.0,192.0,217.6,95.0,3.5,6.0,34.0
28,116.352,39.878,2017.0,1.0,2.0,4.0,192.0,217.6,95.0,3.5,6.0,34.0
29,116.352,39.878,2017.0,1.0,2.0,5.0,192.0,217.6,95.0,3.5,6.0,34.0
30,116.352,39.878,2017.0,1.0,2.0,6.0,192.0,217.6,95.0,3.5,6.0,34.0
31,116.352,39.878,2017.0,1.0,2.0,7.0,192.0,217.6,95.0,3.5,6.0,34.0
32,116.352,39.878,2017.0,1.0,2.0,8.0,192.0,217.6,95.0,3.5,6.0,34.0
33,116.352,39.878,2017.0,1.0,2.0,9.0,192.0,217.6,95.0,3.5,6.0,34.0
34,116.352,39.878,2017.0,1.0,2.0,10.0,192.0,217.6,95.0,3.5,6.0,34.0
35,116.352,39.878,2017.0,1.0,2.0,11.0,192.0,217.6,95.0,3.5,6.0,34.0
36,116.352,39.878,2017.0,1.0,2.0,12.0,192.0,217.6,95.0,3.5,6.0,34.0
37,116.352,39.878,2017.0,1.0,2.0,13.0,192.0,217.6,95.0,3.5,6.0,34.0
38,116.352,39.878,2017.0,1.0,2.0,14.0,192.0,217.6,95.0,3.5,6.0,34.0
39,116.352,39.878,2017.0,1.0,2.0,15.0,192.0,217.6,95.0,3.5,6.0,34.0
40,116.352,39.878,2017.0,1.0,2.0,16.0,192.0,217.6,95.0,3.5,6.0,34.0
41,116.352,39.878,2017.0,1.0,2.0,17.0,192.0,217.6,95.0,3.5,6.0,34.0
42,116.352,39.878,2017.0,1.0,2.0,18.0,192.0,217.6,95.0,3.5,6.0,34.0
43,116.352,39.878,2017.0,1.0,2.0,19.0,192.0,217.6,95.0,3.5,6.0,34.0
44,116.352,39.878,2017.0,1.0,2.0,20.0,192.0,217.6,95.0,3.5,6.0,34.0
45,116.352,39.878,2017.0,1.0,2.0,21.0,192.0,217.6,95.0,3.5,6.0,34.0
46,116.352,39.878,2017.0,1.0,2.0,22.0,192.0,217.6,95.0,3.5,6.0,34.0
47,116.352,39.878,2017.0,1.0,2.0,23.0,192.0,217.6,95.0,3.5,6.0,34.0
48,116.352,39.878,2017.0,1.0,3.0,0.0,192.0,217.6,95.0,3.5,6.0,34.0
49,116.352,39.878,2017.0,1.0,3.0,1.0,192.0,217.6,95.0,3.5,6.0,34.0
50,116.352,39.878,2017.0,1.0,3.0,2.0,192.0,217.6,95.0,3.5,6.0,34.0
51,116.352,39.878,2017.0,1.0,3.0,3.0,192.0,217.6,95.0,3.5,6.0,34.0
52,116.352,39.878,2017.0,1.0,3.0,4.0,192.0,217.6,95.0,3.5,6.0,34.0
53,116.352,39.878,2017.0,1.0,3.0,5.0,192.0,217.6,95.0,3.5,6.0,34.0
54,116.352,39.878,2017.0,1.0,3.0,6.0,192.0,217.6,95.0,3.5,6.0,34.0
55,116.352,39.878,2017.0,1.0,3.0,7.0,192.0,217.6,95.0,3.5,6.0,34.0
56,116.352,39.878,2017.0,1.0,3.0,8.0,192.0,217.6,95.0,3.5,6.0,34.0
57,116.352,39.878,2017.0,1.0,3.0,9.0,192.0,217.6,95.0,3.5,6.0,34.0
58,116.352,39.878,2017.0,1.0,3.0,10.0,192.0,217.6,95.0,3.5,6.0,34.0
59,116.352,39.878,2017.0,1.0,3.0,11.0,192.0,217.6,95.0,3.5,6.0,34.0
60,116.352,39.878,2017.0,1.0,3.0,12.0,192.0,217.6,95.0,3.5,6.0,34.0
61,116.352,39.878,2017.0,1.0,3.0,13.0,192.0,217.6,95.0,3.5,6.0,34.0
62,116.352,39.878,2017.0,1.0,3.0,14.0,192.0,217.6,95.0,3.5,6.0,34.0
63,116.352,39.878,2017.0,1.0,3.0,15.0,192.0,217.6,95.0,3.5,6.0,34.0
64,116.352,39.878,2017.0,1.0,3.0,16.0,192.0,217.6,95.0,3.5,6.0,34.0
65,116.352,39.878,2017.0,1.0,3.0,17.0,192.0,217.6,95.0,3.5,6.0,34.0
66,116.352,39.878,2017.0,1.0,3.0,18.0,192.0,217.6,95.0,3.5,6.0,34.0
67,116.352,39.878,2017.0,1.0,3.0,19.0,192.0,217.6,95.0,3.5,6.0,34.0
68,116.352,39.878,2017.0,1.0,3.0,20.0,192.0,217.6,95.0,3.5,6.0,34.0
69,116.352,39.878,2017.0,1.0,3.0,21.0,192.0,217.6,95.0,3.5,6.0,34.0
70,116.352,39.878,2017.0,1.0,3.0,22.0,192.0,217.6,95.0,3.5,6.0,34.0
71,116.352,39.878,2017.0,1.0,3.0,23.0,192.0,217.6,95.0,3.5,6.0,34.0
72,116.352,39.878,2017.0,1.0,4.0,0.0,192.0,217.6,95.0,3.5,6.0,34.0
73,116.352,39.878,2017.0,1.0,4.0,1.0,192.0,217.6,95.0,3.5,6.0,34.0
74,116.352,39.878,2017.0,1.0,4.0,2.0,192.0,217.6,95.0,3.5,6.0,34.0
75,116.352,39.878,2017.0,1.0,4.0,3.0,192.0,217.6,95.0,3.5,6.0,34.0
76,116.352,39.878,2017.0,1.0,4.0,4.0,192.0,217.6,95.0,3.5,6.0,34.0
77,116.352,39.878,2017.0,1.0,4.0,5.0,192.0,217.6,95.0,3.5,6.0,34.0
78,116.352,39.878,2017.0,1.0,4.0,6.0,192.0,217.6,95.0,3.5,6.0,34.0
