,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.506,39.795,2017.0,1.0,1.0,0.0,272.0,181.4,106.0,5.5,4.0,46.0
1,116.506,39.795,2017.0,1.0,1.0,1.0,272.0,181.4,106.0,5.5,4.0,46.0
2,116.506,39.795,2017.0,1.0,1.0,2.0,272.0,181.4,106.0,5.5,4.0,46.0
3,116.506,39.795,2017.0,1.0,1.0,3.0,272.0,181.4,106.0,5.5,4.0,46.0
4,116.506,39.795,2017.0,1.0,1.0,4.0,272.0,181.4,106.0,5.5,4.0,46.0
5,116.506,39.795,2017.0,1.0,1.0,5.0,272.0,181.4,106.0,5.5,4.0,46.0
6,116.506,39.795,2017.0,1.0,1.0,6.0,272.0,181.4,106.0,5.5,4.0,46.0
7,116.506,39.795,2017.0,1.0,1.0,7.0,272.0,181.4,106.0,5.5,4.0,46.0
8,116.506,39.795,2017.0,1.0,1.0,8.0,272.0,181.4,106.0,5.5,4.0,46.0
9,116.506,39.795,2017.0,1.0,1.0,9.0,272.0,181.4,106.0,5.5,4.0,46.0
10,116.506,39.795,2017.0,1.0,1.0,10.0,272.0,181.4,106.0,5.5,4.0,46.0
11,116.506,39.795,2017.0,1.0,1.0,11.0,272.0,181.4,106.0,5.5,4.0,46.0
12,116.506,39.795,2017.0,1.0,1.0,12.0,272.0,181.4,106.0,5.5,4.0,46.0
13,116.506,39.795,2017.0,1.0,1.0,13.0,272.0,181.4,106.0,5.5,4.0,46.0
14,116.506,39.795,2017.0,1.0,1.0,14.0,272.0,181.4,106.0,5.5,4.0,46.0
15,116.506,39.795,2017.0,1.0,1.0,15.0,272.0,181.4,106.0,5.5,4.0,46.0
16,116.506,39.795,2017.0,1.0,1.0,16.0,272.0,181.4,106.0,5.5,4.0,46.0
17,116.506,39.795,2017.0,1.0,1.0,17.0,272.0,181.4,106.0,5.5,4.0,46.0
18,116.506,39.795,2017.0,1.0,1.0,18.0,272.0,181.4,106.0,5.5,4.0,46.0
19,116.506,39.795,2017.0,1.0,1.0,19.0,272.0,181.4,106.0,5.5,4.0,46.0
20,116.506,39.795,2017.0,1.0,1.0,20.0,272.0,181.4,106.0,5.5,4.0,46.0
21,116.506,39.795,2017.0,1.0,1.0,21.0,272.0,181.4,106.0,5.5,4.0,46.0
22,116.506,39.795,2017.0,1.0,1.0,22.0,272.0,181.4,106.0,5.5,4.0,46.0
23,116.506,39.795,2017.0,1.0,1.0,23.0,272.0,181.4,106.0,5.5,4.0,46.0
24,116.506,39.795,2017.0,1.0,2.0,0.0,272.0,181.4,106.0,5.5,4.0,46.0
25,116.506,39.795,2017.0,1.0,2.0,1.0,272.0,181.4,106.0,5.5,4.0,46.0
26,116.506,39.795,2017.0,1.0,2.0,2.0,272.0,181.4,106.0,5.5,4.0,46.0
27,116.506,39.795,2017.0,1.0,2.0,3.0,272.0,181.4,106.0,5.5,4.0,46.0
28,116.506,39.795,2017.0,1.0,2.0,4.0,272.0,181.4,106.0,5.5,4.0,46.0
29,116.506,39.795,2017.0,1.0,2.0,5.0,272.0,181.4,106.0,5.5,4.0,46.0
30,116.506,39.795,2017.0,1.0,2.0,6.0,272.0,181.4,106.0,5.5,4.0,46.0
31,116.506,39.795,2017.0,1.0,2.0,7.0,272.0,181.4,106.0,5.5,4.0,46.0
32,116.506,39.795,2017.0,1.0,2.0,8.0,272.0,181.4,106.0,5.5,4.0,46.0
33,116.506,39.795,2017.0,1.0,2.0,9.0,272.0,181.4,106.0,5.5,4.0,46.0
34,116.506,39.795,2017.0,1.0,2.0,10.0,272.0,181.4,106.0,5.5,4.0,46.0
35,116.506,39.795,2017.0,1.0,2.0,11.0,272.0,181.4,106.0,5.5,4.0,46.0
36,116.506,39.795,2017.0,1.0,2.0,12.0,272.0,181.4,106.0,5.5,4.0,46.0
37,116.506,39.795,2017.0,1.0,2.0,13.0,272.0,181.4,106.0,5.5,4.0,46.0
38,116.506,39.795,2017.0,1.0,2.0,14.0,272.0,181.4,106.0,5.5,4.0,46.0
39,116.506,39.795,2017.0,1.0,2.0,15.0,272.0,181.4,106.0,5.5,4.0,46.0
40,116.506,39.795,2017.0,1.0,2.0,16.0,272.0,181.4,106.0,5.5,4.0,46.0
41,116.506,39.795,2017.0,1.0,2.0,17.0,272.0,181.4,106.0,5.5,4.0,46.0
42,116.506,39.795,2017.0,1.0,2.0,18.0,272.0,181.4,106.0,5.5,4.0,46.0
43,116.506,39.795,2017.0,1.0,2.0,19.0,272.0,181.4,106.0,5.5,4.0,46.0
44,116.506,39.795,2017.0,1.0,2.0,20.0,272.0,181.4,106.0,5.5,4.0,46.0
45,116.506,39.795,2017.0,1.0,2.0,21.0,272.0,181.4,106.0,5.5,4.0,46.0
46,116.506,39.795,2017.0,1.0,2.0,22.0,272.0,181.4,106.0,5.5,4.0,46.0
47,116.506,39.795,2017.0,1.0,2.0,23.0,272.0,181.4,106.0,5.5,4.0,46.0
48,116.506,39.795,2017.0,1.0,3.0,0.0,272.0,181.4,106.0,5.5,4.0,46.0
49,116.506,39.795,2017.0,1.0,3.0,1.0,272.0,181.4,106.0,5.5,4.0,46.0
50,116.506,39.795,2017.0,1.0,3.0,2.0,272.0,181.4,106.0,5.5,4.0,46.0
51,116.506,39.795,2017.0,1.0,3.0,3.0,272.0,181.4,106.0,5.5,4.0,46.0
52,116.506,39.795,2017.0,1.0,3.0,4.0,272.0,181.4,106.0,5.5,4.0,46.0
53,116.506,39.795,2017.0,1.0,3.0,5.0,272.0,181.4,106.0,5.5,4.0,46.0
54,116.506,39.795,2017.0,1.0,3.0,6.0,272.0,181.4,106.0,5.5,4.0,46.0
55,116.506,39.795,2017.0,1.0,3.0,7.0,272.0,181.4,106.0,5.5,4.0,46.0
56,116.506,39.795,2017.0,1.0,3.0,8.0,272.0,181.4,106.0,5.5,4.0,46.0
57,116.506,39.795,2017.0,1.0,3.0,9.0,272.0,181.4,106.0,5.5,4.0,46.0
58,116.506,39.795,2017.0,1.0,3.0,10.0,272.0,181.4,106.0,5.5,4.0,46.0
59,116.506,39.795,2017.0,1.0,3.0,11.0,272.0,181.4,106.0,5.5,4.0,46.0
60,116.506,39.795,2017.0,1.0,3.0,12.0,272.0,181.4,106.0,5.5,4.0,46.0
61,116.506,39.795,2017.0,1.0,3.0,13.0,272.0,181.4,106.0,5.5,4.0,46.0
62,116.506,39.795,2017.0,1.0,3.0,14.0,272.0,181.4,106.0,5.5,4.0,46.0
63,116.506,39.795,2017.0,1.0,3.0,15.0,272.0,181.4,106.0,5.5,4.0,46.0
64,116.506,39.795,2017.0,1.0,3.0,16.0,272.0,181.4,106.0,5.5,4.0,46.0
65,116.506,39.795,2017.0,1.0,3.0,17.0,272.0,181.4,106.0,5.5,4.0,46.0
66,116.506,39.795,2017.0,1.0,3.0,18.0,272.0,181.4,106.0,5.5,4.0,46.0
67,116.506,39.795,2017.0,1.0,3.0,19.0,272.0,181.4,106.0,5.5,4.0,46.0
68,116.506,39.795,2017.0,1.0,3.0,20.0,272.0,181.4,106.0,5.5,4.0,46.0
69,116.506,39.795,2017.0,1.0,3.0,21.0,272.0,181.4,106.0,5.5,4.0,46.0
70,116.506,39.795,2017.0,1.0,3.0,22.0,272.0,181.4,106.0,5.5,4.0,46.0
71,116.506,39.795,2017.0,1.0,3.0,23.0,272.0,181.4,106.0,5.5,4.0,46.0
72,116.506,39.795,2017.0,1.0,4.0,0.0,272.0,181.4,106.0,5.5,4.0,46.0
73,116.506,39.795,2017.0,1.0,4.0,1.0,272.0,181.4,106.0,5.5,4.0,46.0
74,116.506,39.795,2017.0,1.0,4.0,2.0,272.0,181.4,106.0,5.5,4.0,46.0
75,116.506,39.795,2017.0,1.0,4.0,3.0,272.0,181.4,106.0,5.5,4.0,46.0
76,116.506,39.795,2017.0,1.0,4.0,4.0,272.0,181.4,106.0,5.5,4.0,46.0
77,116.506,39.795,2017.0,1.0,4.0,5.0,272.0,181.4,106.0,5.5,4.0,46.0
78,116.506,39.795,2017.0,1.0,4.0,6.0,272.0,181.4,106.0,5.5,4.0,46.0
79,116.506,39.795,2017.0,1.0,4.0,7.0,272.0,181.4,106.0,5.5,4.0,46.0
80,116.506,39.795,2017.0,1.0,4.0,8.0,272.0,181.4,106.0,5.5,4.0,46.0
81,116.506,39.795,2017.0,1.0,4.0,9.0,272.0,181.4,106.0,5.5,4.0,46.0
82,116.506,39.795,2017.0,1.0,4.0,10.0,272.0,181.4,106.0,5.5,4.0,46.0
83,116.506,39.795,2017.0,1.0,4.0,11.0,272.0,181.4,106.0,5.5,4.0,46.0
84,116.506,39.795,2017.0,1.0,4.0,12.0,272.0,181.4,106.0,5.5,4.0,46.0
85,116.506,39.795,2017.0,1.0,4.0,13.0,272.0,181.4,106.0,5.5,4.0,46.0
86,116.506,39.795,2017.0,1.0,4.0,14.0,272.0,181.4,106.0,5.5,4.0,46.0
87,116.506,39.795,2017.0,1.0,4.0,15.0,272.0,181.4,106.0,5.5,4.0,46.0
88,116.506,39.795,2017.0,1.0,4.0,16.0,272.0,181.4,106.0,5.5,4.0,46.0
89,116.506,39.795,2017.0,1.0,4.0,17.0,272.0,181.4,106.0,5.5,4.0,46.0
90,116.506,39.795,2017.0,1.0,4.0,18.0,272.0,181.4,106.0,5.5,4.0,46.0
91,116.506,39.795,2017.0,1.0,4.0,19.0,272.0,181.4,106.0,5.5,4.0,46.0
92,116.506,39.795,2017.0,1.0,4.0,20.0,272.0,181.4,106.0,5.5,4.0,46.0
93,116.506,39.795,2017.0,1.0,4.0,21.0,272.0,181.4,106.0,5.5,4.0,46.0
94,116.506,39.795,2017.0,1.0,4.0,22.0,272.0,181.4,106.0,5.5,4.0,46.0
95,116.506,39.795,2017.0,1.0,4.0,23.0,272.0,181.4,106.0,5.5,4.0,46.0
96,116.506,39.795,2017.0,1.0,5.0,0.0,272.0,181.4,106.0,5.5,4.0,46.0
