,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.39399999999999,39.876,2017.0,1.0,1.0,0.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
1,116.39399999999999,39.876,2017.0,1.0,1.0,1.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
2,116.39399999999999,39.876,2017.0,1.0,1.0,2.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
3,116.39399999999999,39.876,2017.0,1.0,1.0,3.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
4,116.39399999999999,39.876,2017.0,1.0,1.0,4.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
5,116.39399999999999,39.876,2017.0,1.0,1.0,5.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
6,116.39399999999999,39.876,2017.0,1.0,1.0,6.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
7,116.39399999999999,39.876,2017.0,1.0,1.0,7.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
8,116.39399999999999,39.876,2017.0,1.0,1.0,8.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
9,116.39399999999999,39.876,2017.0,1.0,1.0,9.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
10,116.39399999999999,39.876,2017.0,1.0,1.0,10.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
11,116.39399999999999,39.876,2017.0,1.0,1.0,11.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
12,116.39399999999999,39.876,2017.0,1.0,1.0,12.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
13,116.39399999999999,39.876,2017.0,1.0,1.0,13.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
14,116.39399999999999,39.876,2017.0,1.0,1.0,14.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
15,116.39399999999999,39.876,2017.0,1.0,1.0,15.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
16,116.39399999999999,39.876,2017.0,1.0,1.0,16.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
17,116.39399999999999,39.876,2017.0,1.0,1.0,17.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
18,116.39399999999999,39.876,2017.0,1.0,1.0,18.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
19,116.39399999999999,39.876,2017.0,1.0,1.0,19.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
20,116.39399999999999,39.876,2017.0,1.0,1.0,20.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
21,116.39399999999999,39.876,2017.0,1.0,1.0,21.0,194.0,119.4651162790698,104.0,4.2,11.0,40.0
