,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.3,39.52,2017.0,1.0,1.0,0.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
1,116.3,39.52,2017.0,1.0,1.0,1.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
2,116.3,39.52,2017.0,1.0,1.0,2.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
3,116.3,39.52,2017.0,1.0,1.0,3.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
4,116.3,39.52,2017.0,1.0,1.0,4.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
5,116.3,39.52,2017.0,1.0,1.0,5.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
6,116.3,39.52,2017.0,1.0,1.0,6.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
7,116.3,39.52,2017.0,1.0,1.0,7.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
8,116.3,39.52,2017.0,1.0,1.0,8.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
9,116.3,39.52,2017.0,1.0,1.0,9.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
10,116.3,39.52,2017.0,1.0,1.0,10.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
11,116.3,39.52,2017.0,1.0,1.0,11.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
12,116.3,39.52,2017.0,1.0,1.0,12.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
13,116.3,39.52,2017.0,1.0,1.0,13.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
14,116.3,39.52,2017.0,1.0,1.0,14.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
15,116.3,39.52,2017.0,1.0,1.0,15.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
16,116.3,39.52,2017.0,1.0,1.0,16.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
17,116.3,39.52,2017.0,1.0,1.0,17.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
18,116.3,39.52,2017.0,1.0,1.0,18.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
19,116.3,39.52,2017.0,1.0,1.0,19.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
20,116.3,39.52,2017.0,1.0,1.0,20.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
21,116.3,39.52,2017.0,1.0,1.0,21.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
22,116.3,39.52,2017.0,1.0,1.0,22.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
23,116.3,39.52,2017.0,1.0,1.0,23.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
24,116.3,39.52,2017.0,1.0,2.0,0.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
25,116.3,39.52,2017.0,1.0,2.0,1.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
26,116.3,39.52,2017.0,1.0,2.0,2.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
27,116.3,39.52,2017.0,1.0,2.0,3.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
28,116.3,39.52,2017.0,1.0,2.0,4.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
29,116.3,39.52,2017.0,1.0,2.0,5.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
30,116.3,39.52,2017.0,1.0,2.0,6.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
31,116.3,39.52,2017.0,1.0,2.0,7.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
32,116.3,39.52,2017.0,1.0,2.0,8.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
33,116.3,39.52,2017.0,1.0,2.0,9.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
34,116.3,39.52,2017.0,1.0,2.0,10.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
35,116.3,39.52,2017.0,1.0,2.0,11.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
36,116.3,39.52,2017.0,1.0,2.0,12.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
37,116.3,39.52,2017.0,1.0,2.0,13.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
38,116.3,39.52,2017.0,1.0,2.0,14.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
39,116.3,39.52,2017.0,1.0,2.0,15.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
40,116.3,39.52,2017.0,1.0,2.0,16.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
41,116.3,39.52,2017.0,1.0,2.0,17.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
42,116.3,39.52,2017.0,1.0,2.0,18.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
43,116.3,39.52,2017.0,1.0,2.0,19.0,225.0,178.88235294117646,53.0,5.8,8.0,6.0
