,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,116.146,39.824,2017.0,1.0,1.0,0.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
1,116.146,39.824,2017.0,1.0,1.0,1.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
2,116.146,39.824,2017.0,1.0,1.0,2.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
3,116.146,39.824,2017.0,1.0,1.0,3.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
4,116.146,39.824,2017.0,1.0,1.0,4.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
5,116.146,39.824,2017.0,1.0,1.0,5.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
6,116.146,39.824,2017.0,1.0,1.0,6.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
7,116.146,39.824,2017.0,1.0,1.0,7.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
8,116.146,39.824,2017.0,1.0,1.0,8.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
9,116.146,39.824,2017.0,1.0,1.0,9.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
10,116.146,39.824,2017.0,1.0,1.0,10.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
11,116.146,39.824,2017.0,1.0,1.0,11.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
12,116.146,39.824,2017.0,1.0,1.0,12.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
13,116.146,39.824,2017.0,1.0,1.0,13.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
14,116.146,39.824,2017.0,1.0,1.0,14.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
15,116.146,39.824,2017.0,1.0,1.0,15.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
16,116.146,39.824,2017.0,1.0,1.0,16.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
17,116.146,39.824,2017.0,1.0,1.0,17.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
18,116.146,39.824,2017.0,1.0,1.0,18.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
19,116.146,39.824,2017.0,1.0,1.0,19.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
20,116.146,39.824,2017.0,1.0,1.0,20.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
21,116.146,39.824,2017.0,1.0,1.0,21.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
22,116.146,39.824,2017.0,1.0,1.0,22.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
23,116.146,39.824,2017.0,1.0,1.0,23.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
24,116.146,39.824,2017.0,1.0,2.0,0.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
25,116.146,39.824,2017.0,1.0,2.0,1.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
26,116.146,39.824,2017.0,1.0,2.0,2.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
27,116.146,39.824,2017.0,1.0,2.0,3.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
28,116.146,39.824,2017.0,1.0,2.0,4.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
29,116.146,39.824,2017.0,1.0,2.0,5.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
30,116.146,39.824,2017.0,1.0,2.0,6.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
31,116.146,39.824,2017.0,1.0,2.0,7.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
32,116.146,39.824,2017.0,1.0,2.0,8.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
33,116.146,39.824,2017.0,1.0,2.0,9.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
34,116.146,39.824,2017.0,1.0,2.0,10.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
35,116.146,39.824,2017.0,1.0,2.0,11.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
36,116.146,39.824,2017.0,1.0,2.0,12.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
37,116.146,39.824,2017.0,1.0,2.0,13.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
38,116.146,39.824,2017.0,1.0,2.0,14.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
39,116.146,39.824,2017.0,1.0,2.0,15.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
40,116.146,39.824,2017.0,1.0,2.0,16.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
41,116.146,39.824,2017.0,1.0,2.0,17.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
42,116.146,39.824,2017.0,1.0,2.0,18.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
43,116.146,39.824,2017.0,1.0,2.0,19.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
44,116.146,39.824,2017.0,1.0,2.0,20.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
45,116.146,39.824,2017.0,1.0,2.0,21.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
46,116.146,39.824,2017.0,1.0,2.0,22.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
47,116.146,39.824,2017.0,1.0,2.0,23.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
48,116.146,39.824,2017.0,1.0,3.0,0.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
49,116.146,39.824,2017.0,1.0,3.0,1.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
50,116.146,39.824,2017.0,1.0,3.0,2.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
51,116.146,39.824,2017.0,1.0,3.0,3.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
52,116.146,39.824,2017.0,1.0,3.0,4.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
53,116.146,39.824,2017.0,1.0,3.0,5.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
54,116.146,39.824,2017.0,1.0,3.0,6.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
55,116.146,39.824,2017.0,1.0,3.0,7.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
56,116.146,39.824,2017.0,1.0,3.0,8.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
57,116.146,39.824,2017.0,1.0,3.0,9.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
58,116.146,39.824,2017.0,1.0,3.0,10.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
59,116.146,39.824,2017.0,1.0,3.0,11.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
60,116.146,39.824,2017.0,1.0,3.0,12.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
61,116.146,39.824,2017.0,1.0,3.0,13.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
62,116.146,39.824,2017.0,1.0,3.0,14.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
63,116.146,39.824,2017.0,1.0,3.0,15.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
64,116.146,39.824,2017.0,1.0,3.0,16.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
65,116.146,39.824,2017.0,1.0,3.0,17.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
66,116.146,39.824,2017.0,1.0,3.0,18.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
67,116.146,39.824,2017.0,1.0,3.0,19.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
68,116.146,39.824,2017.0,1.0,3.0,20.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
69,116.146,39.824,2017.0,1.0,3.0,21.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
70,116.146,39.824,2017.0,1.0,3.0,22.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
71,116.146,39.824,2017.0,1.0,3.0,23.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
72,116.146,39.824,2017.0,1.0,4.0,0.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
73,116.146,39.824,2017.0,1.0,4.0,1.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
74,116.146,39.824,2017.0,1.0,4.0,2.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
75,116.146,39.824,2017.0,1.0,4.0,3.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
76,116.146,39.824,2017.0,1.0,4.0,4.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
77,116.146,39.824,2017.0,1.0,4.0,5.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
78,116.146,39.824,2017.0,1.0,4.0,6.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
79,116.146,39.824,2017.0,1.0,4.0,7.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
80,116.146,39.824,2017.0,1.0,4.0,8.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
81,116.146,39.824,2017.0,1.0,4.0,9.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
82,116.146,39.824,2017.0,1.0,4.0,10.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
83,116.146,39.824,2017.0,1.0,4.0,11.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
84,116.146,39.824,2017.0,1.0,4.0,12.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
85,116.146,39.824,2017.0,1.0,4.0,13.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
86,116.146,39.824,2017.0,1.0,4.0,14.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
87,116.146,39.824,2017.0,1.0,4.0,15.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
88,116.146,39.824,2017.0,1.0,4.0,16.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
89,116.146,39.824,2017.0,1.0,4.0,17.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
90,116.146,39.824,2017.0,1.0,4.0,18.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
91,116.146,39.824,2017.0,1.0,4.0,19.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
92,116.146,39.824,2017.0,1.0,4.0,20.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
93,116.146,39.824,2017.0,1.0,4.0,21.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
94,116.146,39.824,2017.0,1.0,4.0,22.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
95,116.146,39.824,2017.0,1.0,4.0,23.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
96,116.146,39.824,2017.0,1.0,5.0,0.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
97,116.146,39.824,2017.0,1.0,5.0,1.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
98,116.146,39.824,2017.0,1.0,5.0,2.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
99,116.146,39.824,2017.0,1.0,5.0,3.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
100,116.146,39.824,2017.0,1.0,5.0,4.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
101,116.146,39.824,2017.0,1.0,5.0,5.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
102,116.146,39.824,2017.0,1.0,5.0,6.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
103,116.146,39.824,2017.0,1.0,5.0,7.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
104,116.146,39.824,2017.0,1.0,5.0,8.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
105,116.146,39.824,2017.0,1.0,5.0,9.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
106,116.146,39.824,2017.0,1.0,5.0,10.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
107,116.146,39.824,2017.0,1.0,5.0,11.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
108,116.146,39.824,2017.0,1.0,5.0,12.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
109,116.146,39.824,2017.0,1.0,5.0,13.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
110,116.146,39.824,2017.0,1.0,5.0,14.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
111,116.146,39.824,2017.0,1.0,5.0,15.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
112,116.146,39.824,2017.0,1.0,5.0,16.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
113,116.146,39.824,2017.0,1.0,5.0,17.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
114,116.146,39.824,2017.0,1.0,5.0,18.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
115,116.146,39.824,2017.0,1.0,5.0,19.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
116,116.146,39.824,2017.0,1.0,5.0,20.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
117,116.146,39.824,2017.0,1.0,5.0,21.0,118.0,124.45454545454544,79.0,2.1,2.0,22.0
