,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,117.12,40.1,2017.0,1.0,1.0,0.0,377.0,120.0,123.0,5.5,2.0,6.0
1,117.12,40.1,2017.0,1.0,1.0,1.0,377.0,120.0,123.0,5.5,2.0,6.0
2,117.12,40.1,2017.0,1.0,1.0,2.0,377.0,120.0,123.0,5.5,2.0,6.0
3,117.12,40.1,2017.0,1.0,1.0,3.0,377.0,120.0,123.0,5.5,2.0,6.0
4,117.12,40.1,2017.0,1.0,1.0,4.0,377.0,120.0,123.0,5.5,2.0,6.0
5,117.12,40.1,2017.0,1.0,1.0,5.0,377.0,120.0,123.0,5.5,2.0,6.0
6,117.12,40.1,2017.0,1.0,1.0,6.0,377.0,120.0,123.0,5.5,2.0,6.0
7,117.12,40.1,2017.0,1.0,1.0,7.0,377.0,120.0,123.0,5.5,2.0,6.0
8,117.12,40.1,2017.0,1.0,1.0,8.0,377.0,120.0,123.0,5.5,2.0,6.0
9,117.12,40.1,2017.0,1.0,1.0,9.0,377.0,120.0,123.0,5.5,2.0,6.0
10,117.12,40.1,2017.0,1.0,1.0,10.0,377.0,120.0,123.0,5.5,2.0,6.0
11,117.12,40.1,2017.0,1.0,1.0,11.0,377.0,120.0,123.0,5.5,2.0,6.0
12,117.12,40.1,2017.0,1.0,1.0,12.0,377.0,120.0,123.0,5.5,2.0,6.0
13,117.12,40.1,2017.0,1.0,1.0,13.0,377.0,120.0,123.0,5.5,2.0,6.0
14,117.12,40.1,2017.0,1.0,1.0,14.0,377.0,120.0,123.0,5.5,2.0,6.0
15,117.12,40.1,2017.0,1.0,1.0,15.0,387.0,120.0,123.0,5.3,2.0,5.0
16,117.12,40.1,2017.0,1.0,1.0,16.0,351.0,120.0,126.0,4.6,2.0,5.0
17,117.12,40.1,2017.0,1.0,1.0,17.0,274.0,120.0,122.0,3.7,2.0,5.0
18,117.12,40.1,2017.0,1.0,1.0,18.0,200.0,120.0,101.0,2.8,2.0,5.0
19,117.12,40.1,2017.0,1.0,1.0,19.0,199.0,120.0,87.0,2.7,2.0,5.0
20,117.12,40.1,2017.0,1.0,1.0,20.0,193.0,120.0,89.0,2.7,2.0,5.0
21,117.12,40.1,2017.0,1.0,1.0,21.0,160.0,120.0,76.0,2.3,6.0,6.0
22,117.12,40.1,2017.0,1.0,1.0,22.0,125.0,120.0,53.0,1.8,14.0,6.0
23,117.12,40.1,2017.0,1.0,1.0,23.0,87.0,120.0,41.0,1.4,23.0,8.0
24,117.12,40.1,2017.0,1.0,2.0,0.0,84.0,120.0,37.0,1.3,23.0,7.0
25,117.12,40.1,2017.0,1.0,2.0,1.0,67.0,120.0,34.0,1.1,29.0,7.0
