,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,51.52770662,-0.129053205,2017.0,1.0,1.0,0.0,28.7,32.3,90.6,-1.0,-1.0,-1.0
1,51.52770662,-0.129053205,2017.0,1.0,1.0,1.0,26.4,31.1,104.4,-1.0,-1.0,-1.0
2,51.52770662,-0.129053205,2017.0,1.0,1.0,2.0,26.1,28.5,100.0,-1.0,-1.0,-1.0
3,51.52770662,-0.129053205,2017.0,1.0,1.0,3.0,22.8,26.5,83.9,-1.0,-1.0,-1.0
4,51.52770662,-0.129053205,2017.0,1.0,1.0,4.0,21.5,25.5,88.0,-1.0,-1.0,-1.0
5,51.52770662,-0.129053205,2017.0,1.0,1.0,5.0,18.6,22.2,76.0,-1.0,-1.0,-1.0
6,51.52770662,-0.129053205,2017.0,1.0,1.0,6.0,21.2,23.2,59.8,-1.0,-1.0,-1.0
7,51.52770662,-0.129053205,2017.0,1.0,1.0,7.0,19.1,21.0,60.6,-1.0,-1.0,-1.0
8,51.52770662,-0.129053205,2017.0,1.0,1.0,8.0,17.4,22.3,63.5,-1.0,-1.0,-1.0
9,51.52770662,-0.129053205,2017.0,1.0,1.0,9.0,13.5,19.8,72.1,-1.0,-1.0,-1.0
10,51.52770662,-0.129053205,2017.0,1.0,1.0,10.0,12.0,16.9,77.1,-1.0,-1.0,-1.0
11,51.52770662,-0.129053205,2017.0,1.0,1.0,11.0,11.8,16.3,79.0,-1.0,-1.0,-1.0
12,51.52770662,-0.129053205,2017.0,1.0,1.0,12.0,11.0,15.0,81.4,-1.0,-1.0,-1.0
13,51.52770662,-0.129053205,2017.0,1.0,1.0,13.0,10.1,17.8,87.7,-1.0,-1.0,-1.0
14,51.52770662,-0.129053205,2017.0,1.0,1.0,14.0,7.1,9.5,51.1,-1.0,-1.0,-1.0
15,51.52770662,-0.129053205,2017.0,1.0,1.0,15.0,2.9,4.7,47.1,-1.0,-1.0,-1.0
16,51.52770662,-0.129053205,2017.0,1.0,1.0,16.0,2.9,4.0,46.7,-1.0,-1.0,-1.0
17,51.52770662,-0.129053205,2017.0,1.0,1.0,17.0,4.7,6.3,69.3,-1.0,-1.0,-1.0
18,51.52770662,-0.129053205,2017.0,1.0,1.0,18.0,8.3,9.9,79.3,-1.0,-1.0,-1.0
19,51.52770662,-0.129053205,2017.0,1.0,1.0,19.0,6.5,8.6,65.7,-1.0,-1.0,-1.0
20,51.52770662,-0.129053205,2017.0,1.0,1.0,20.0,5.1,7.2,58.4,-1.0,-1.0,-1.0
21,51.52770662,-0.129053205,2017.0,1.0,1.0,21.0,6.7,9.9,53.0,-1.0,-1.0,-1.0
22,51.52770662,-0.129053205,2017.0,1.0,1.0,22.0,4.3,7.7,41.8,-1.0,-1.0,-1.0
23,51.52770662,-0.129053205,2017.0,1.0,1.0,23.0,4.7,8.4,41.4,-1.0,-1.0,-1.0
24,51.52770662,-0.129053205,2017.0,1.0,2.0,0.0,3.8,7.9,32.4,-1.0,-1.0,-1.0
25,51.52770662,-0.129053205,2017.0,1.0,2.0,1.0,1.0,5.6,20.6,-1.0,-1.0,-1.0
26,51.52770662,-0.129053205,2017.0,1.0,2.0,2.0,1.5,5.5,18.7,-1.0,-1.0,-1.0
27,51.52770662,-0.129053205,2017.0,1.0,2.0,3.0,0.3,4.5,19.0,-1.0,-1.0,-1.0
28,51.52770662,-0.129053205,2017.0,1.0,2.0,4.0,3.5,7.6,21.9,-1.0,-1.0,-1.0
29,51.52770662,-0.129053205,2017.0,1.0,2.0,5.0,2.4,8.8,41.5,-1.0,-1.0,-1.0
30,51.52770662,-0.129053205,2017.0,1.0,2.0,6.0,3.5,11.1,38.0,-1.0,-1.0,-1.0
31,51.52770662,-0.129053205,2017.0,1.0,2.0,7.0,3.5,11.4,59.4,-1.0,-1.0,-1.0
32,51.52770662,-0.129053205,2017.0,1.0,2.0,8.0,1.8,10.0,75.4,-1.0,-1.0,-1.0
33,51.52770662,-0.129053205,2017.0,1.0,2.0,9.0,2.9,11.0,75.9,-1.0,-1.0,-1.0
34,51.52770662,-0.129053205,2017.0,1.0,2.0,10.0,0.4,9.4,63.5,-1.0,-1.0,-1.0
35,51.52770662,-0.129053205,2017.0,1.0,2.0,11.0,8.1,18.4,63.4,-1.0,-1.0,-1.0
36,51.52770662,-0.129053205,2017.0,1.0,2.0,12.0,6.7,17.5,55.3,-1.0,-1.0,-1.0
37,51.52770662,-0.129053205,2017.0,1.0,2.0,13.0,4.4,17.6,57.6,-1.0,-1.0,-1.0
38,51.52770662,-0.129053205,2017.0,1.0,2.0,14.0,4.3,12.7,44.8,-1.0,-1.0,-1.0
39,51.52770662,-0.129053205,2017.0,1.0,2.0,15.0,2.1,8.8,41.0,-1.0,-1.0,-1.0
40,51.52770662,-0.129053205,2017.0,1.0,2.0,16.0,7.1,14.0,59.4,-1.0,-1.0,-1.0
41,51.52770662,-0.129053205,2017.0,1.0,2.0,17.0,5.9,12.7,83.0,-1.0,-1.0,-1.0
42,51.52770662,-0.129053205,2017.0,1.0,2.0,18.0,13.7,21.0,88.3,-1.0,-1.0,-1.0
43,51.52770662,-0.129053205,2017.0,1.0,2.0,19.0,11.3,17.9,77.0,-1.0,-1.0,-1.0
44,51.52770662,-0.129053205,2017.0,1.0,2.0,20.0,15.2,22.1,84.7,-1.0,-1.0,-1.0
45,51.52770662,-0.129053205,2017.0,1.0,2.0,21.0,21.2,27.6,82.6,-1.0,-1.0,-1.0
46,51.52770662,-0.129053205,2017.0,1.0,2.0,22.0,19.7,27.6,89.0,-1.0,-1.0,-1.0
47,51.52770662,-0.129053205,2017.0,1.0,2.0,23.0,14.6,22.5,88.3,-1.0,-1.0,-1.0
48,51.52770662,-0.129053205,2017.0,1.0,3.0,0.0,18.6,25.6,83.1,-1.0,-1.0,-1.0
49,51.52770662,-0.129053205,2017.0,1.0,3.0,1.0,18.1,22.8,75.5,-1.0,-1.0,-1.0
50,51.52770662,-0.129053205,2017.0,1.0,3.0,2.0,15.7,19.8,71.5,-1.0,-1.0,-1.0
51,51.52770662,-0.129053205,2017.0,1.0,3.0,3.0,12.8,17.6,71.3,-1.0,-1.0,-1.0
52,51.52770662,-0.129053205,2017.0,1.0,3.0,4.0,13.8,18.4,76.0,-1.0,-1.0,-1.0
53,51.52770662,-0.129053205,2017.0,1.0,3.0,5.0,12.9,19.0,87.6,-1.0,-1.0,-1.0
54,51.52770662,-0.129053205,2017.0,1.0,3.0,6.0,14.9,21.5,98.8,-1.0,-1.0,-1.0
55,51.52770662,-0.129053205,2017.0,1.0,3.0,7.0,12.1,18.5,97.0,-1.0,-1.0,-1.0
56,51.52770662,-0.129053205,2017.0,1.0,3.0,8.0,17.2,23.2,108.8,-1.0,-1.0,-1.0
57,51.52770662,-0.129053205,2017.0,1.0,3.0,9.0,11.3,18.8,121.7,-1.0,-1.0,-1.0
58,51.52770662,-0.129053205,2017.0,1.0,3.0,10.0,21.0,30.3,127.6,-1.0,-1.0,-1.0
59,51.52770662,-0.129053205,2017.0,1.0,3.0,11.0,14.4,26.8,109.2,-1.0,-1.0,-1.0
60,51.52770662,-0.129053205,2017.0,1.0,3.0,12.0,13.0,32.0,98.2,-1.0,-1.0,-1.0
61,51.52770662,-0.129053205,2017.0,1.0,3.0,13.0,15.7,34.8,90.0,-1.0,-1.0,-1.0
62,51.52770662,-0.129053205,2017.0,1.0,3.0,14.0,9.1,22.2,88.8,-1.0,-1.0,-1.0
63,51.52770662,-0.129053205,2017.0,1.0,3.0,15.0,8.2,17.5,77.3,-1.0,-1.0,-1.0
64,51.52770662,-0.129053205,2017.0,1.0,3.0,16.0,6.9,20.7,93.0,-1.0,-1.0,-1.0
65,51.52770662,-0.129053205,2017.0,1.0,3.0,17.0,7.4,16.7,104.6,-1.0,-1.0,-1.0
66,51.52770662,-0.129053205,2017.0,1.0,3.0,18.0,14.2,20.4,103.9,-1.0,-1.0,-1.0
67,51.52770662,-0.129053205,2017.0,1.0,3.0,19.0,16.8,20.1,90.3,-1.0,-1.0,-1.0
68,51.52770662,-0.129053205,2017.0,1.0,3.0,20.0,10.8,16.1,89.4,-1.0,-1.0,-1.0
69,51.52770662,-0.129053205,2017.0,1.0,3.0,21.0,9.5,16.7,81.9,-1.0,-1.0,-1.0
70,51.52770662,-0.129053205,2017.0,1.0,3.0,22.0,14.2,23.7,83.2,-1.0,-1.0,-1.0
71,51.52770662,-0.129053205,2017.0,1.0,3.0,23.0,9.7,12.7,78.0,-1.0,-1.0,-1.0
72,51.52770662,-0.129053205,2017.0,1.0,4.0,0.0,2.9,6.7,62.4,-1.0,-1.0,-1.0
73,51.52770662,-0.129053205,2017.0,1.0,4.0,1.0,5.0,8.2,63.6,-1.0,-1.0,-1.0
74,51.52770662,-0.129053205,2017.0,1.0,4.0,2.0,7.2,10.4,63.8,-1.0,-1.0,-1.0
75,51.52770662,-0.129053205,2017.0,1.0,4.0,3.0,7.2,9.7,62.5,-1.0,-1.0,-1.0
76,51.52770662,-0.129053205,2017.0,1.0,4.0,4.0,2.8,5.4,54.9,-1.0,-1.0,-1.0
77,51.52770662,-0.129053205,2017.0,1.0,4.0,5.0,0.1,3.8,59.2,-1.0,-1.0,-1.0
78,51.52770662,-0.129053205,2017.0,1.0,4.0,6.0,8.2,10.6,73.2,-1.0,-1.0,-1.0
79,51.52770662,-0.129053205,2017.0,1.0,4.0,7.0,5.8,8.7,74.9,-1.0,-1.0,-1.0
80,51.52770662,-0.129053205,2017.0,1.0,4.0,8.0,8.1,10.5,64.7,-1.0,-1.0,-1.0
81,51.52770662,-0.129053205,2017.0,1.0,4.0,9.0,6.5,9.3,71.7,-1.0,-1.0,-1.0
82,51.52770662,-0.129053205,2017.0,1.0,4.0,10.0,7.8,11.1,64.7,-1.0,-1.0,-1.0
83,51.52770662,-0.129053205,2017.0,1.0,4.0,11.0,13.0,16.2,68.2,-1.0,-1.0,-1.0
84,51.52770662,-0.129053205,2017.0,1.0,4.0,12.0,9.7,18.6,66.7,-1.0,-1.0,-1.0
85,51.52770662,-0.129053205,2017.0,1.0,4.0,13.0,8.7,30.3,79.0,-1.0,-1.0,-1.0
86,51.52770662,-0.129053205,2017.0,1.0,4.0,14.0,8.5,37.7,81.6,-1.0,-1.0,-1.0
87,51.52770662,-0.129053205,2017.0,1.0,4.0,15.0,7.7,29.4,67.3,-1.0,-1.0,-1.0
88,51.52770662,-0.129053205,2017.0,1.0,4.0,16.0,8.1,26.2,77.9,-1.0,-1.0,-1.0
89,51.52770662,-0.129053205,2017.0,1.0,4.0,17.0,5.3,21.4,83.0,-1.0,-1.0,-1.0
90,51.52770662,-0.129053205,2017.0,1.0,4.0,18.0,6.5,18.4,69.5,-1.0,-1.0,-1.0
91,51.52770662,-0.129053205,2017.0,1.0,4.0,19.0,10.4,22.1,75.0,-1.0,-1.0,-1.0
92,51.52770662,-0.129053205,2017.0,1.0,4.0,20.0,8.8,20.5,63.2,-1.0,-1.0,-1.0
93,51.52770662,-0.129053205,2017.0,1.0,4.0,21.0,13.4,23.9,65.0,-1.0,-1.0,-1.0
94,51.52770662,-0.129053205,2017.0,1.0,4.0,22.0,7.4,19.3,66.2,-1.0,-1.0,-1.0
95,51.52770662,-0.129053205,2017.0,1.0,4.0,23.0,5.1,12.9,50.3,-1.0,-1.0,-1.0
96,51.52770662,-0.129053205,2017.0,1.0,5.0,0.0,5.8,12.5,41.5,-1.0,-1.0,-1.0
97,51.52770662,-0.129053205,2017.0,1.0,5.0,1.0,6.1,13.2,44.7,-1.0,-1.0,-1.0
98,51.52770662,-0.129053205,2017.0,1.0,5.0,2.0,6.3,14.1,39.7,-1.0,-1.0,-1.0
99,51.52770662,-0.129053205,2017.0,1.0,5.0,3.0,3.4,14.4,40.4,-1.0,-1.0,-1.0
