,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,51.45258,0.070766,2017.0,1.0,1.0,0.0,31.2,30.5,8.5,-1.0,-1.0,-1.0
1,51.45258,0.070766,2017.0,1.0,1.0,1.0,23.4,42.7,8.5,-1.0,-1.0,-1.0
2,51.45258,0.070766,2017.0,1.0,1.0,2.0,19.9,9.8,7.9,-1.0,-1.0,-1.0
3,51.45258,0.070766,2017.0,1.0,1.0,3.0,20.4,25.0,6.5,-1.0,-1.0,-1.0
4,51.45258,0.070766,2017.0,1.0,1.0,4.0,22.9,29.2,6.0,-1.0,-1.0,-1.0
5,51.45258,0.070766,2017.0,1.0,1.0,5.0,22.4,-1.1,4.9,-1.0,-1.0,-1.0
6,51.45258,0.070766,2017.0,1.0,1.0,6.0,25.0,14.3,5.7,-1.0,-1.0,-1.0
7,51.45258,0.070766,2017.0,1.0,1.0,7.0,19.0,21.1,6.2,-1.0,-1.0,-1.0
8,51.45258,0.070766,2017.0,1.0,1.0,8.0,19.5,5.7,8.4,-1.0,-1.0,-1.0
9,51.45258,0.070766,2017.0,1.0,1.0,9.0,18.9,9.2,10.1,-1.0,-1.0,-1.0
10,51.45258,0.070766,2017.0,1.0,1.0,10.0,13.4,12.5,10.6,-1.0,-1.0,-1.0
11,51.45258,0.070766,2017.0,1.0,1.0,11.0,10.6,20.4,9.9,-1.0,-1.0,-1.0
12,51.45258,0.070766,2017.0,1.0,1.0,12.0,11.2,14.4,11.8,-1.0,-1.0,-1.0
13,51.45258,0.070766,2017.0,1.0,1.0,13.0,11.0,9.1,13.8,-1.0,-1.0,-1.0
14,51.45258,0.070766,2017.0,1.0,1.0,14.0,7.5,7.8,15.7,-1.0,-1.0,-1.0
15,51.45258,0.070766,2017.0,1.0,1.0,15.0,4.6,5.0,10.4,-1.0,-1.0,-1.0
16,51.45258,0.070766,2017.0,1.0,1.0,16.0,7.0,16.8,7.5,-1.0,-1.0,-1.0
17,51.45258,0.070766,2017.0,1.0,1.0,17.0,6.5,-11.8,5.5,-1.0,-1.0,-1.0
18,51.45258,0.070766,2017.0,1.0,1.0,18.0,2.8,-1.9,4.9,-1.0,-1.0,-1.0
19,51.45258,0.070766,2017.0,1.0,1.0,19.0,7.0,31.8,6.5,-1.0,-1.0,-1.0
20,51.45258,0.070766,2017.0,1.0,1.0,20.0,5.8,7.0,6.6,-1.0,-1.0,-1.0
21,51.45258,0.070766,2017.0,1.0,1.0,21.0,6.2,12.4,10.2,-1.0,-1.0,-1.0
22,51.45258,0.070766,2017.0,1.0,1.0,22.0,7.8,8.5,10.8,-1.0,-1.0,-1.0
23,51.45258,0.070766,2017.0,1.0,1.0,23.0,8.8,0.1,9.6,-1.0,-1.0,-1.0
24,51.45258,0.070766,2017.0,1.0,2.0,0.0,6.6,14.6,8.0,-1.0,-1.0,-1.0
25,51.45258,0.070766,2017.0,1.0,2.0,1.0,6.6,5.3,8.0,-1.0,-1.0,-1.0
26,51.45258,0.070766,2017.0,1.0,2.0,2.0,9.1,16.5,6.2,-1.0,-1.0,-1.0
27,51.45258,0.070766,2017.0,1.0,2.0,3.0,5.1,-3.9,3.7,-1.0,-1.0,-1.0
28,51.45258,0.070766,2017.0,1.0,2.0,4.0,8.2,3.4,7.1,-1.0,-1.0,-1.0
29,51.45258,0.070766,2017.0,1.0,2.0,5.0,6.4,3.9,6.7,-1.0,-1.0,-1.0
