,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,51.3892869,-0.141661525,2017.0,1.0,1.0,0.0,25.0,29.0,14.5,-1.0,-1.0,-1.0
1,51.3892869,-0.141661525,2017.0,1.0,1.0,1.0,21.0,25.0,24.0,-1.0,-1.0,-1.0
2,51.3892869,-0.141661525,2017.0,1.0,1.0,2.0,20.0,23.0,28.1,-1.0,-1.0,-1.0
3,51.3892869,-0.141661525,2017.0,1.0,1.0,3.0,22.0,21.0,20.6,-1.0,-1.0,-1.0
4,51.3892869,-0.141661525,2017.0,1.0,1.0,4.0,22.0,26.0,34.6,-1.0,-1.0,-1.0
5,51.3892869,-0.141661525,2017.0,1.0,1.0,5.0,24.0,29.0,23.8,-1.0,-1.0,-1.0
6,51.3892869,-0.141661525,2017.0,1.0,1.0,6.0,16.0,23.0,17.2,-1.0,-1.0,-1.0
7,51.3892869,-0.141661525,2017.0,1.0,1.0,7.0,20.0,27.0,15.2,-1.0,-1.0,-1.0
8,51.3892869,-0.141661525,2017.0,1.0,1.0,8.0,20.0,25.0,20.6,-1.0,-1.0,-1.0
9,51.3892869,-0.141661525,2017.0,1.0,1.0,9.0,22.0,23.0,21.7,-1.0,-1.0,-1.0
10,51.3892869,-0.141661525,2017.0,1.0,1.0,10.0,9.0,17.0,18.9,-1.0,-1.0,-1.0
11,51.3892869,-0.141661525,2017.0,1.0,1.0,11.0,8.0,10.0,19.6,-1.0,-1.0,-1.0
12,51.3892869,-0.141661525,2017.0,1.0,1.0,12.0,11.0,10.0,19.8,-1.0,-1.0,-1.0
13,51.3892869,-0.141661525,2017.0,1.0,1.0,13.0,9.0,8.0,29.0,-1.0,-1.0,-1.0
14,51.3892869,-0.141661525,2017.0,1.0,1.0,14.0,11.0,13.0,28.0,-1.0,-1.0,-1.0
15,51.3892869,-0.141661525,2017.0,1.0,1.0,15.0,6.0,10.0,19.0,-1.0,-1.0,-1.0
16,51.3892869,-0.141661525,2017.0,1.0,1.0,16.0,5.0,7.0,16.4,-1.0,-1.0,-1.0
17,51.3892869,-0.141661525,2017.0,1.0,1.0,17.0,6.0,6.0,15.8,-1.0,-1.0,-1.0
