,longitude,latitude,year,month,day,hour,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
0,51.51504617,-0.008418493,2017.0,1.0,1.0,0.0,28.4,33.3,38.9,-1.0,-1.0,-1.0
1,51.51504617,-0.008418493,2017.0,1.0,1.0,1.0,32.5,33.2,63.0,-1.0,-1.0,-1.0
2,51.51504617,-0.008418493,2017.0,1.0,1.0,2.0,24.9,29.5,47.9,-1.0,-1.0,-1.0
3,51.51504617,-0.008418493,2017.0,1.0,1.0,3.0,19.8,17.9,51.0,-1.0,-1.0,-1.0
4,51.51504617,-0.008418493,2017.0,1.0,1.0,4.0,20.3,19.9,42.8,-1.0,-1.0,-1.0
5,51.51504617,-0.008418493,2017.0,1.0,1.0,5.0,19.0,27.3,40.6,-1.0,-1.0,-1.0
6,51.51504617,-0.008418493,2017.0,1.0,1.0,6.0,20.6,23.9,42.1,-1.0,-1.0,-1.0
7,51.51504617,-0.008418493,2017.0,1.0,1.0,7.0,19.6,25.2,35.1,-1.0,-1.0,-1.0
8,51.51504617,-0.008418493,2017.0,1.0,1.0,8.0,19.5,32.3,39.8,-1.0,-1.0,-1.0
9,51.51504617,-0.008418493,2017.0,1.0,1.0,9.0,20.0,30.0,43.1,-1.0,-1.0,-1.0
10,51.51504617,-0.008418493,2017.0,1.0,1.0,10.0,14.3,21.9,36.1,-1.0,-1.0,-1.0
11,51.51504617,-0.008418493,2017.0,1.0,1.0,11.0,5.5,10.0,34.3,-1.0,-1.0,-1.0
12,51.51504617,-0.008418493,2017.0,1.0,1.0,12.0,5.9,9.1,42.1,-1.0,-1.0,-1.0
13,51.51504617,-0.008418493,2017.0,1.0,1.0,13.0,8.3,16.4,49.1,-1.0,-1.0,-1.0
14,51.51504617,-0.008418493,2017.0,1.0,1.0,14.0,4.0,14.9,44.8,-1.0,-1.0,-1.0
15,51.51504617,-0.008418493,2017.0,1.0,1.0,15.0,2.7,5.7,37.8,-1.0,-1.0,-1.0
16,51.51504617,-0.008418493,2017.0,1.0,1.0,16.0,0.8,8.1,34.3,-1.0,-1.0,-1.0
17,51.51504617,-0.008418493,2017.0,1.0,1.0,17.0,1.2,3.1,25.7,-1.0,-1.0,-1.0
18,51.51504617,-0.008418493,2017.0,1.0,1.0,18.0,0.0,6.0,35.2,-1.0,-1.0,-1.0
19,51.51504617,-0.008418493,2017.0,1.0,1.0,19.0,1.8,5.5,31.2,-1.0,-1.0,-1.0
20,51.51504617,-0.008418493,2017.0,1.0,1.0,20.0,3.8,8.6,34.8,-1.0,-1.0,-1.0
21,51.51504617,-0.008418493,2017.0,1.0,1.0,21.0,3.4,10.8,40.6,-1.0,-1.0,-1.0
22,51.51504617,-0.008418493,2017.0,1.0,1.0,22.0,4.5,11.6,34.9,-1.0,-1.0,-1.0
23,51.51504617,-0.008418493,2017.0,1.0,1.0,23.0,4.2,10.6,38.6,-1.0,-1.0,-1.0
24,51.51504617,-0.008418493,2017.0,1.0,2.0,0.0,2.9,9.6,30.7,-1.0,-1.0,-1.0
25,51.51504617,-0.008418493,2017.0,1.0,2.0,1.0,3.6,8.9,27.4,-1.0,-1.0,-1.0
26,51.51504617,-0.008418493,2017.0,1.0,2.0,2.0,-0.3,11.8,24.3,-1.0,-1.0,-1.0
27,51.51504617,-0.008418493,2017.0,1.0,2.0,3.0,2.5,9.4,26.8,-1.0,-1.0,-1.0
28,51.51504617,-0.008418493,2017.0,1.0,2.0,4.0,3.4,11.5,33.9,-1.0,-1.0,-1.0
29,51.51504617,-0.008418493,2017.0,1.0,2.0,5.0,4.3,13.3,42.5,-1.0,-1.0,-1.0
30,51.51504617,-0.008418493,2017.0,1.0,2.0,6.0,4.9,13.7,44.1,-1.0,-1.0,-1.0
31,51.51504617,-0.008418493,2017.0,1.0,2.0,7.0,3.1,11.4,49.9,-1.0,-1.0,-1.0
