,Unnamed: 0,longitude,latitude,year,month,day,hour,weather,temperature,pressure,humidity,wind_direction,wind_speed
0,0,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,0.0,10.0,-2.7,1021.4,17.0,203.0,1.8
1,1,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,1.0,10.0,-2.7,1021.4,17.0,203.0,1.8
2,2,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,2.0,10.0,-2.7,1021.4,17.0,203.0,1.8
3,3,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,3.0,10.0,-2.7,1021.4,17.0,203.0,1.8
4,4,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,4.0,10.0,-2.7,1021.4,17.0,203.0,1.8
5,5,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,5.0,10.0,-2.7,1021.4,17.0,203.0,1.8
6,6,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,6.0,10.0,-2.7,1021.4,17.0,203.0,1.8
7,7,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,7.0,10.0,-2.7,1021.4,17.0,203.0,1.8
8,8,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,8.0,10.0,-2.7,1021.4,17.0,203.0,1.8
9,9,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,9.0,10.0,-2.7,1021.4,17.0,203.0,1.8
10,10,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,10.0,10.0,-2.7,1021.4,17.0,203.0,1.8
11,11,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,11.0,10.0,-2.7,1021.4,17.0,203.0,1.8
12,12,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,12.0,10.0,-2.7,1021.4,17.0,203.0,1.8
13,13,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,13.0,10.0,-2.7,1021.4,17.0,203.0,1.8
14,14,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,14.0,10.0,-2.7,1021.4,17.0,203.0,1.8
15,15,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,15.0,10.0,-2.7,1021.4,17.0,203.0,1.8
16,16,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,16.0,10.0,-2.7,1021.4,17.0,203.0,1.8
17,17,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,17.0,10.0,-2.7,1021.4,17.0,203.0,1.8
18,18,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,18.0,10.0,-2.7,1021.4,17.0,203.0,1.8
19,19,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,19.0,10.0,-2.7,1021.4,17.0,203.0,1.8
20,20,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,20.0,10.0,-2.7,1021.4,17.0,203.0,1.8
21,21,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,21.0,10.0,-2.7,1021.4,17.0,203.0,1.8
22,22,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,22.0,10.0,-2.7,1021.4,17.0,203.0,1.8
23,23,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,23.0,10.0,-2.7,1021.4,17.0,203.0,1.8
24,24,116.15638888888893,39.88777777777778,2017.0,1.0,1.0,0.0,10.0,-2.7,1021.4,17.0,203.0,1.8
25,25,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,1.0,10.0,-2.7,1021.4,17.0,203.0,1.8
26,26,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,2.0,10.0,-2.7,1021.4,17.0,203.0,1.8
27,27,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,3.0,10.0,-2.7,1021.4,17.0,203.0,1.8
28,28,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,4.0,10.0,-2.7,1021.4,17.0,203.0,1.8
29,29,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,5.0,10.0,-2.7,1021.4,17.0,203.0,1.8
30,30,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,6.0,10.0,-2.7,1021.4,17.0,203.0,1.8
31,31,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,7.0,10.0,-2.7,1021.4,17.0,203.0,1.8
32,32,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,8.0,10.0,-2.7,1021.4,17.0,203.0,1.8
33,33,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,9.0,10.0,-2.7,1021.4,17.0,203.0,1.8
34,34,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,10.0,10.0,-2.7,1021.4,17.0,203.0,1.8
35,35,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,11.0,10.0,-2.7,1021.4,17.0,203.0,1.8
36,36,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,12.0,10.0,-2.7,1021.4,17.0,203.0,1.8
37,37,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,13.0,10.0,-2.7,1021.4,17.0,203.0,1.8
38,38,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,14.0,10.0,-2.7,1021.4,17.0,203.0,1.8
39,39,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,15.0,10.0,-2.7,1021.4,17.0,203.0,1.8
40,40,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,16.0,10.0,-2.7,1021.4,17.0,203.0,1.8
41,41,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,17.0,10.0,-2.7,1021.4,17.0,203.0,1.8
42,42,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,18.0,10.0,-2.7,1021.4,17.0,203.0,1.8
43,43,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,19.0,10.0,-2.7,1021.4,17.0,203.0,1.8
44,44,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,20.0,10.0,-2.7,1021.4,17.0,203.0,1.8
45,45,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,21.0,10.0,-2.7,1021.4,17.0,203.0,1.8
46,46,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,22.0,10.0,-2.7,1021.4,17.0,203.0,1.8
47,47,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,23.0,10.0,-2.7,1021.4,17.0,203.0,1.8
48,48,116.15638888888893,39.88777777777778,2017.0,1.0,2.0,0.0,10.0,-2.7,1021.4,17.0,203.0,1.8
49,49,116.15638888888893,39.88777777777778,2017.0,1.0,3.0,1.0,10.0,-2.7,1021.4,17.0,203.0,1.8
50,50,116.15638888888893,39.88777777777778,2017.0,1.0,3.0,2.0,10.0,-2.7,1021.4,17.0,203.0,1.8
51,51,116.15638888888893,39.88777777777778,2017.0,1.0,3.0,3.0,10.0,-2.7,1021.4,17.0,203.0,1.8
52,52,116.15638888888893,39.88777777777778,2017.0,1.0,3.0,4.0,10.0,-2.7,1021.4,17.0,203.0,1.8
