,Unnamed: 0,longitude,latitude,year,month,day,hour,weather,temperature,pressure,humidity,wind_direction,wind_speed
0,0,116.86416666666666,40.3775,2017.0,1.0,1.0,0.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
1,1,116.86416666666666,40.3775,2017.0,1.0,1.0,1.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
2,2,116.86416666666666,40.3775,2017.0,1.0,1.0,2.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
3,3,116.86416666666666,40.3775,2017.0,1.0,1.0,3.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
4,4,116.86416666666666,40.3775,2017.0,1.0,1.0,4.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
5,5,116.86416666666666,40.3775,2017.0,1.0,1.0,5.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
6,6,116.86416666666666,40.3775,2017.0,1.0,1.0,6.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
7,7,116.86416666666666,40.3775,2017.0,1.0,1.0,7.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
8,8,116.86416666666666,40.3775,2017.0,1.0,1.0,8.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
9,9,116.86416666666666,40.3775,2017.0,1.0,1.0,9.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
10,10,116.86416666666666,40.3775,2017.0,1.0,1.0,10.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
11,11,116.86416666666666,40.3775,2017.0,1.0,1.0,11.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
12,12,116.86416666666666,40.3775,2017.0,1.0,1.0,12.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
13,13,116.86416666666666,40.3775,2017.0,1.0,1.0,13.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
14,14,116.86416666666666,40.3775,2017.0,1.0,1.0,14.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
15,15,116.86416666666666,40.3775,2017.0,1.0,1.0,15.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
16,16,116.86416666666666,40.3775,2017.0,1.0,1.0,16.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
17,17,116.86416666666666,40.3775,2017.0,1.0,1.0,17.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
18,18,116.86416666666666,40.3775,2017.0,1.0,1.0,18.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
19,19,116.86416666666666,40.3775,2017.0,1.0,1.0,19.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
20,20,116.86416666666666,40.3775,2017.0,1.0,1.0,20.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
21,21,116.86416666666666,40.3775,2017.0,1.0,1.0,21.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
22,22,116.86416666666666,40.3775,2017.0,1.0,1.0,22.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
23,23,116.86416666666666,40.3775,2017.0,1.0,1.0,23.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
24,24,116.86416666666666,40.3775,2017.0,1.0,1.0,0.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
25,25,116.86416666666666,40.3775,2017.0,1.0,2.0,1.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
26,26,116.86416666666666,40.3775,2017.0,1.0,2.0,2.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
27,27,116.86416666666666,40.3775,2017.0,1.0,2.0,3.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
28,28,116.86416666666666,40.3775,2017.0,1.0,2.0,4.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
29,29,116.86416666666666,40.3775,2017.0,1.0,2.0,5.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
30,30,116.86416666666666,40.3775,2017.0,1.0,2.0,6.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
31,31,116.86416666666666,40.3775,2017.0,1.0,2.0,7.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
32,32,116.86416666666666,40.3775,2017.0,1.0,2.0,8.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
33,33,116.86416666666666,40.3775,2017.0,1.0,2.0,9.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
34,34,116.86416666666666,40.3775,2017.0,1.0,2.0,10.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
35,35,116.86416666666666,40.3775,2017.0,1.0,2.0,11.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
36,36,116.86416666666666,40.3775,2017.0,1.0,2.0,12.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
37,37,116.86416666666666,40.3775,2017.0,1.0,2.0,13.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
38,38,116.86416666666666,40.3775,2017.0,1.0,2.0,14.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
39,39,116.86416666666666,40.3775,2017.0,1.0,2.0,15.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
40,40,116.86416666666666,40.3775,2017.0,1.0,2.0,16.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
41,41,116.86416666666666,40.3775,2017.0,1.0,2.0,17.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
42,42,116.86416666666666,40.3775,2017.0,1.0,2.0,18.0,10.0,-6.6,1023.3,28.0,999017.0,0.2
