,Unnamed: 0,longitude,latitude,year,month,day,hour,weather,temperature,pressure,humidity,wind_direction,wind_speed
0,0,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,0.0,0.0,-3.0,1022.5,17.0,108.0,1.1
1,1,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,1.0,0.0,-3.0,1022.5,17.0,108.0,1.1
2,2,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,2.0,0.0,-3.0,1022.5,17.0,108.0,1.1
3,3,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,3.0,0.0,-3.0,1022.5,17.0,108.0,1.1
4,4,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,4.0,0.0,-3.0,1022.5,17.0,108.0,1.1
5,5,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,5.0,0.0,-3.0,1022.5,17.0,108.0,1.1
6,6,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,6.0,0.0,-3.0,1022.5,17.0,108.0,1.1
7,7,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,7.0,0.0,-3.0,1022.5,17.0,108.0,1.1
8,8,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,8.0,0.0,-3.0,1022.5,17.0,108.0,1.1
9,9,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,9.0,0.0,-3.0,1022.5,17.0,108.0,1.1
10,10,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,10.0,0.0,-3.0,1022.5,17.0,108.0,1.1
11,11,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,11.0,0.0,-3.0,1022.5,17.0,108.0,1.1
12,12,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,12.0,0.0,-3.0,1022.5,17.0,108.0,1.1
13,13,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,13.0,0.0,-3.0,1022.5,17.0,108.0,1.1
14,14,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,14.0,0.0,-3.0,1022.5,17.0,108.0,1.1
15,15,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,15.0,0.0,-3.0,1022.5,17.0,108.0,1.1
16,16,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,16.0,0.0,-3.0,1022.5,17.0,108.0,1.1
17,17,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,17.0,0.0,-3.0,1022.5,17.0,108.0,1.1
18,18,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,18.0,0.0,-3.0,1022.5,17.0,108.0,1.1
19,19,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,19.0,0.0,-3.0,1022.5,17.0,108.0,1.1
20,20,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,20.0,0.0,-3.0,1022.5,17.0,108.0,1.1
21,21,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,21.0,0.0,-3.0,1022.5,17.0,108.0,1.1
22,22,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,22.0,0.0,-3.0,1022.5,17.0,108.0,1.1
23,23,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,23.0,0.0,-3.0,1022.5,17.0,108.0,1.1
24,24,116.21166666666667,40.223333333333336,2017.0,1.0,1.0,0.0,0.0,-3.0,1022.5,17.0,108.0,1.1
25,25,116.21166666666667,40.223333333333336,2017.0,1.0,2.0,1.0,0.0,-3.0,1022.5,17.0,108.0,1.1
26,26,116.21166666666667,40.223333333333336,2017.0,1.0,2.0,2.0,0.0,-3.0,1022.5,17.0,108.0,1.1
