test_id,PM2.5,PM10,O3
dongsi_aq#0,74,97,55
dongsi_aq#1,78,105,52
dongsi_aq#2,76,104,54
dongsi_aq#3,76,102,55
dongsi_aq#4,80,105,54
dongsi_aq#5,79,98,52
dongsi_aq#6,75,103,55
dongsi_aq#7,76,103,55
dongsi_aq#8,79,99,54
dongsi_aq#9,81,101,56
dongsi_aq#10,75,98,55
dongsi_aq#11,81,98,53
dongsi_aq#12,79,97,52
dongsi_aq#13,79,100,53
dongsi_aq#14,81,99,54
dongsi_aq#15,77,106,55
dongsi_aq#16,78,104,52
dongsi_aq#17,81,103,51
dongsi_aq#18,81,99,53
dongsi_aq#19,78,103,53
dongsi_aq#20,76,99,53
dongsi_aq#21,80,99,53
dongsi_aq#22,80,101,53
dongsi_aq#23,76,104,52
dongsi_aq#24,79,99,54
dongsi_aq#25,75,97,56
dongsi_aq#26,80,105,52
dongsi_aq#27,75,103,54
dongsi_aq#28,74,105,55
dongsi_aq#29,75,100,56
dongsi_aq#30,79,100,51
dongsi_aq#31,74,99,54
dongsi_aq#32,75,101,56
dongsi_aq#33,78,103,53
dongsi_aq#34,77,97,56
dongsi_aq#35,75,103,55
dongsi_aq#36,82,103,55
dongsi_aq#37,78,99,53
dongsi_aq#38,80,106,53
dongsi_aq#39,82,106,52
dongsi_aq#40,80,105,55
dongsi_aq#41,76,103,54
dongsi_aq#42,79,101,54
dongsi_aq#43,74,99,56
dongsi_aq#44,79,100,52
dongsi_aq#45,76,101,54
dongsi_aq#46,81,102,55
dongsi_aq#47,81,99,53
tiantan_aq#0,83,140,60
tiantan_aq#1,84,133,63
tiantan_aq#2,82,132,60
tiantan_aq#3,79,130,60
tiantan_aq#4,82,130,62
tiantan_aq#5,86,138,64
tiantan_aq#6,85,127,60
tiantan_aq#7,84,135,62
tiantan_aq#8,79,136,62
tiantan_aq#9,79,127,63
tiantan_aq#10,82,127,65
tiantan_aq#11,80,132,63
tiantan_aq#12,80,136,60
tiantan_aq#13,82,137,61
tiantan_aq#14,80,135,62
tiantan_aq#15,81,128,63
tiantan_aq#16,81,132,62
tiantan_aq#17,81,139,60
tiantan_aq#18,86,138,61
tiantan_aq#19,83,130,61
tiantan_aq#20,82,131,60
tiantan_aq#21,84,138,61
tiantan_aq#22,81,132,62
tiantan_aq#23,80,138,62
tiantan_aq#24,82,138,62
tiantan_aq#25,84,134,64
tiantan_aq#26,82,136,62
tiantan_aq#27,81,134,65
tiantan_aq#28,83,132,61
tiantan_aq#29,83,136,61
tiantan_aq#30,80,137,64
tiantan_aq#31,84,133,66
tiantan_aq#32,78,132,65
tiantan_aq#33,80,133,60
tiantan_aq#34,87,137,61
tiantan_aq#35,82,136,63
tiantan_aq#36,87,130,62
tiantan_aq#37,86,129,63
tiantan_aq#38,86,132,61
tiantan_aq#39,84,136,64
tiantan_aq#40,79,129,64
tiantan_aq#41,83,137,63
tiantan_aq#42,83,135,60
tiantan_aq#43,80,136,63
tiantan_aq#44,79,138,60
tiantan_aq#45,84,139,61
tiantan_aq#46,80,133,60
tiantan_aq#47,79,127,61
guanyuan_aq#0,85,123,60
guanyuan_aq#1,80,129,60
guanyuan_aq#2,84,131,61
guanyuan_aq#3,82,130,57
guanyuan_aq#4,81,131,61
guanyuan_aq#5,85,130,60
guanyuan_aq#6,82,130,58
guanyuan_aq#7,82,131,58
guanyuan_aq#8,80,126,56
guanyuan_aq#9,83,127,61
guanyuan_aq#10,81,123,58
guanyuan_aq#11,81,128,61
guanyuan_aq#12,86,133,58
guanyuan_aq#13,85,128,58
guanyuan_aq#14,80,125,58
guanyuan_aq#15,84,132,62
guanyuan_aq#16,82,127,57
guanyuan_aq#17,80,130,57
guanyuan_aq#18,87,130,58
guanyuan_aq#19,81,122,61
guanyuan_aq#20,85,128,57
guanyuan_aq#21,81,128,60
guanyuan_aq#22,83,125,62
guanyuan_aq#23,79,124,59
guanyuan_aq#24,87,133,60
guanyuan_aq#25,82,122,58
guanyuan_aq#26,86,122,62
guanyuan_aq#27,82,124,60
guanyuan_aq#28,79,125,61
guanyuan_aq#29,83,122,61
guanyuan_aq#30,80,130,60
guanyuan_aq#31,79,127,57
guanyuan_aq#32,80,132,59
guanyuan_aq#33,81,124,60
guanyuan_aq#34,82,123,58
